Evaluations, Played
1269, 5
705, 3
1489, 5
921, 5
501, 4
652, 3
1000, 5
1189, 6
1140, 4
217, 3
935, 5
1291, 5
1281, 5
545, 5
1387, 5
1285, 6
1245, 6
1356, 5
1481, 6
1149, 3
467, 4
1305, 5
1414, 5
1239, 5
503, 5
881, 5
709, 4
1189, 6
350, 4
1253, 4
1264, 5
1537, 6
7, 3
1057, 4
1179, 6
1227, 4
1237, 7
1150, 6
517, 5
660, 5
1001, 7
1572, 7
225, 5
417, 5
1557, 4
80, 4
1489, 5
425, 3
1115, 4
70, 3
1381, 4
846, 6
1132, 5
1319, 4
1505, 5
855, 5
1155, 6
1233, 5
1385, 6
437, 3
683, 5
547, 4
414, 5
795, 5
1185, 6
1477, 6
370, 5
315, 5
1113, 5
1295, 5
1121, 5
532, 5
1253, 6
1121, 5
886, 7
674, 4
417, 4
1149, 5
989, 5
1332, 4
345, 4
1468, 4
1400, 7
995, 5
927, 5
1037, 4
1398, 6
732, 5
1460, 7
660, 3
505, 4
649, 5
705, 6
1563, 7
1246, 6
710, 3
1058, 4
1025, 5
694, 5
1300, 6
335, 4
1169, 5
1037, 5
1295, 6
709, 5
345, 4
1103, 5
485, 4
881, 6
1156, 6
1235, 6
1349, 7
1084, 6
705, 5
921, 5
929, 3
1299, 6
825, 6
779, 6
1279, 5
762, 4
1266, 6
1137, 5
1173, 6
1477, 4
1192, 4
655, 4
19, 3
1181, 4
1393, 4
1177, 6
1339, 5
1357, 5
1493, 6
1483, 7
1303, 6
666, 5
1024, 4
1212, 5
662, 3
1237, 6
1196, 6
926, 5
989, 5
235, 4
970, 5
1253, 6
1308, 7
44, 3
1171, 5
1429, 6
640, 5
985, 5
723, 6
1290, 5
1097, 5
1415, 5
649, 6
417, 4
1495, 4
417, 4
718, 6
1157, 5
1248, 5
1551, 6
1299, 5
1201, 5
89, 4
844, 5
774, 5
1425, 7
1233, 5
1159, 4
767, 4
1345, 4
1063, 3
1527, 5
962, 4
1325, 7
89, 4
615, 4
1237, 5
382, 4
1293, 5
417, 4
1291, 6
497, 4
551, 3
366, 3
925, 5
474, 4
664, 4
1138, 5
717, 4
1113, 5
1349, 7
320, 3
1241, 6
605, 4
937, 5
1306, 4
849, 5
635, 4
1279, 4
1113, 5
1265, 5
1141, 6
917, 5
875, 5
1151, 5
966, 5
1152, 6
775, 6
1311, 5
385, 5
1160, 6
712, 5
1379, 6
1560, 7
720, 6
1177, 6
1035, 5
1244, 6
1197, 6
592, 6
878, 5
837, 5
1289, 6
1272, 5
1285, 5
1417, 4
1467, 5
1233, 6
1352, 6
255, 5
779, 3
698, 5
653, 4
1173, 4
1509, 6
1297, 5
966, 6
417, 5
921, 5
598, 3
766, 5
623, 4
803, 5
975, 5
227, 4
1264, 5
1068, 3
1471, 5
391, 4
1238, 8
1319, 5
717, 5
655, 4
553, 5
1306, 5
217, 3
1313, 6
1157, 5
