Evaluations, Played
1654, 5
1955, 6
1354, 5
1354, 5
1053, 4
1053, 4
1805, 6
1354, 5
903, 4
1354, 5
1353, 4
1354, 5
903, 4
1204, 5
602, 3
602, 3
1804, 5
1805, 6
1204, 5
1053, 4
1053, 4
1053, 4
1954, 5
1053, 4
1654, 5
1053, 4
903, 4
602, 3
1354, 5
1805, 6
1052, 3
903, 4
1203, 4
1805, 6
1655, 6
1504, 5
602, 3
1504, 5
1204, 5
1203, 4
1805, 6
2105, 6
1804, 5
1354, 5
1354, 5
1353, 4
1053, 4
1354, 5
1053, 4
1805, 6
903, 4
2106, 7
1203, 4
1504, 5
2105, 6
1654, 5
1203, 4
1354, 5
1053, 4
1804, 5
1354, 5
1053, 4
1053, 4
1204, 5
1504, 5
602, 3
1354, 5
602, 3
4505, 6
1354, 5
1805, 6
1354, 5
903, 4
903, 4
1053, 4
1053, 4
1504, 5
1052, 3
1504, 5
1805, 6
1053, 4
1204, 5
1503, 4
1354, 5
3754, 5
1354, 5
3754, 5
1354, 5
903, 4
1504, 5
1053, 4
1655, 6
1354, 5
1204, 5
1504, 5
1053, 4
1654, 5
1053, 4
1504, 5
1655, 6
1654, 5
903, 4
1354, 5
1353, 4
2105, 6
1053, 4
1504, 5
2404, 5
1353, 4
1053, 4
602, 3
1654, 5
1504, 5
1204, 5
602, 3
2104, 5
902, 3
301, 2
1354, 5
1203, 4
1504, 5
903, 4
1654, 5
3604, 5
1504, 5
1203, 4
1354, 5
903, 4
1353, 4
1053, 4
1504, 5
602, 3
752, 3
1204, 5
2255, 6
1354, 5
2253, 4
1805, 6
1655, 6
1053, 4
1504, 5
1503, 4
1353, 4
1504, 5
1655, 6
1354, 5
1203, 4
1654, 5
1354, 5
602, 3
1954, 5
1053, 4
1354, 5
1502, 3
1654, 5
1953, 4
903, 4
4504, 5
2555, 6
1805, 6
903, 4
1655, 6
1504, 5
1354, 5
1654, 5
903, 4
1805, 6
1504, 5
1203, 4
752, 3
1504, 5
1654, 5
1053, 4
1053, 4
903, 4
1504, 5
1805, 6
1805, 6
1354, 5
1654, 5
1955, 6
903, 4
1504, 5
1203, 4
1354, 5
1053, 4
1353, 4
1354, 5
903, 4
602, 3
1504, 5
1504, 5
602, 3
1353, 4
903, 4
2256, 7
5104, 5
903, 4
1053, 4
2106, 7
2106, 7
1504, 5
1805, 6
1053, 4
902, 3
1504, 5
752, 3
1204, 5
903, 4
1654, 5
1053, 4
1203, 4
1804, 5
3752, 3
1805, 6
1504, 5
1053, 4
1053, 4
1954, 5
2405, 6
1954, 5
1655, 6
1353, 4
1654, 5
1354, 5
1654, 5
1203, 4
1654, 5
1504, 5
1504, 5
1354, 5
1504, 5
1804, 5
903, 4
1655, 6
1203, 4
1504, 5
602, 3
1204, 5
1955, 6
1805, 6
1655, 6
1504, 5
1354, 5
1955, 6
1354, 5
2105, 6
2105, 6
1353, 4
1053, 4
1504, 5
3453, 4
1504, 5
1053, 4
1354, 5
602, 3
301, 2
1203, 4
1053, 4
1803, 4
1353, 4
602, 3
1053, 4
1354, 5
1203, 4
1503, 4
903, 4
1804, 5
1654, 5
903, 4
1504, 5
1504, 5
1053, 4
903, 4
1354, 5
1353, 4
903, 4
1354, 5
1053, 4
1203, 4
2254, 5
4354, 5
1504, 5
1504, 5
1053, 4
1203, 4
903, 4
1353, 4
1955, 6
1053, 4
1053, 4
1353, 4
1504, 5
1955, 6
451, 2
2854, 5
1203, 4
1353, 4
1504, 5
903, 4
1053, 4
1053, 4
