Evaluations, Played
6793, 6
1359, 5
1661, 5
1359, 5
906, 4
1208, 5
3772, 5
5886, 4
1359, 5
1510, 6
1359, 4
1208, 5
604, 3
906, 4
906, 4
906, 4
4376, 5
6038, 5
1812, 4
1963, 5
1359, 5
1208, 5
1812, 6
604, 3
1661, 6
1359, 5
906, 4
604, 3
1208, 5
1208, 5
906, 4
1208, 5
1510, 4
8150, 4
6340, 5
1510, 6
1359, 5
1510, 5
1661, 5
604, 3
1359, 4
1661, 6
1661, 5
1057, 4
1208, 4
906, 4
755, 3
604, 3
2114, 5
1359, 4
1359, 5
1208, 5
2265, 5
1510, 5
3020, 4
1812, 5
1510, 5
1510, 5
1812, 6
1057, 4
906, 4
1661, 5
3623, 5
4075, 5
906, 4
604, 3
906, 4
1359, 4
906, 4
906, 4
1510, 5
906, 4
2567, 5
604, 3
1812, 6
1510, 6
906, 4
1057, 3
4981, 6
3623, 5
906, 4
906, 4
1812, 4
1661, 5
1208, 5
1359, 5
1208, 4
1510, 4
1812, 5
4377, 4
3922, 5
8152, 5
906, 4
1963, 5
604, 3
906, 4
604, 3
1208, 5
1661, 6
1812, 4
604, 3
1208, 5
906, 4
3320, 4
4526, 5
4982, 4
906, 4
1208, 4
1812, 5
1812, 5
1057, 4
906, 4
1661, 5
6189, 5
2718, 5
4526, 6
2265, 5
906, 4
1208, 5
1661, 5
3923, 5
906, 4
906, 4
1510, 5
1510, 5
1208, 5
1661, 5
906, 4
1359, 4
1208, 4
1661, 6
1057, 4
2717, 2
4076, 5
1208, 5
1208, 5
2718, 6
1208, 5
906, 4
3926, 6
3320, 4
1359, 5
1208, 5
1661, 6
1661, 6
1208, 5
5736, 4
604, 3
1359, 5
604, 3
906, 4
1359, 5
2416, 6
1057, 4
604, 3
1510, 5
1359, 5
1208, 5
1359, 5
1510, 6
604, 3
906, 4
906, 4
1208, 4
1812, 6
906, 4
906, 4
906, 4
604, 3
4076, 5
1359, 5
1510, 5
1510, 5
906, 4
1208, 4
1661, 6
1510, 6
1661, 6
1963, 6
2114, 5
1359, 4
1208, 3
1963, 5
302, 2
1057, 4
1963, 5
906, 4
2718, 6
1963, 4
3621, 4
3320, 4
1661, 5
906, 3
906, 4
906, 4
1661, 5
2114, 7
2567, 6
906, 4
1661, 4
1661, 5
604, 3
5887, 4
4378, 5
1208, 5
2416, 5
3621, 5
3924, 4
1812, 6
1510, 5
1661, 5
4076, 6
3923, 5
1057, 4
1208, 5
1208, 5
1208, 5
1208, 5
604, 3
906, 4
1208, 5
906, 4
906, 4
1208, 4
1359, 5
1812, 5
906, 4
1963, 5
906, 4
906, 4
1661, 5
4224, 6
906, 4
906, 4
1359, 5
906, 4
1208, 5
906, 4
2265, 5
1208, 5
1208, 5
1208, 5
1661, 5
1057, 4
755, 3
1057, 4
906, 4
1208, 5
1208, 4
1359, 5
1510, 5
8755, 6
1208, 5
604, 3
1057, 4
1208, 5
604, 3
604, 3
1208, 5
604, 3
1963, 6
1359, 5
1208, 5
906, 4
1208, 5
2265, 6
1208, 5
4077, 6
906, 4
1359, 5
906, 4
2265, 4
906, 4
1510, 4
1208, 5
1057, 4
604, 3
1208, 5
906, 3
6791, 5
1661, 6
906, 4
1208, 5
1661, 5
1208, 5
1963, 5
1510, 5
3623, 5
906, 4
906, 4
2114, 4
2265, 5
1963, 5
1208, 5
1812, 5
1359, 4
4526, 6
1208, 5
1812, 5
1208, 5
604, 3
1208, 5
2114, 6
906, 4
1208, 5
604, 3
7699, 5
906, 4
1359, 5
2416, 5
906, 3
1359, 5
2114, 5
1661, 5
906, 4
1963, 6
604, 3
604, 3
1661, 6
1510, 4
906, 4
1963, 6
604, 3
1208, 5
1208, 5
1208, 5
1661, 5
1661, 2
1510, 6
1963, 5
1208, 5
3774, 5
1510, 3
906, 4
1661, 5
1208, 5
3471, 4
1208, 5
1208, 5
1359, 5
1208, 4
1661, 5
1812, 6
906, 4
1208, 5
1057, 4
1661, 5
906, 4
906, 4
1208, 5
1661, 5
2114, 6
1812, 6
1661, 5
755, 3
1208, 5
906, 4
1359, 5
4378, 6
906, 4
3925, 6
3019, 3
906, 4
1359, 5
1208, 4
906, 4
1208, 5
1208, 5
1359, 5
1661, 4
604, 3
2114, 5
906, 4
1359, 5
1208, 5
1510, 6
2869, 6
2265, 6
1359, 5
1963, 5
1359, 5
2718, 3
1510, 6
1510, 4
2114, 5
906, 4
906, 4
604, 3
1208, 5
1661, 5
906, 3
1208, 5
2114, 5
2265, 6
906, 4
2416, 6
906, 4
906, 4
604, 3
1359, 5
1359, 5
1359, 5
1359, 4
1208, 5
1208, 5
1510, 5
906, 4
24754, 3
1661, 4
1208, 5
906, 4
1359, 4
1208, 5
1057, 4
1208, 5
906, 4
6036, 4
2114, 5
1963, 6
1359, 5
1661, 5
906, 4
1208, 5
1510, 6
1510, 5
1359, 5
3622, 5
604, 3
1208, 4
1661, 6
1510, 5
1057, 4
8453, 5
3623, 4
1208, 4
906, 4
3923, 5
1208, 5
1510, 5
1208, 5
1510, 6
906, 4
1661, 5
906, 4
1208, 5
2114, 6
1057, 4
604, 3
906, 4
604, 3
1208, 5
1359, 5
1208, 5
1208, 5
1510, 5
1510, 6
1208, 4
906, 4
1359, 5
1661, 5
906, 4
2869, 5
906, 4
604, 3
1359, 4
604, 3
1812, 6
1661, 5
1208, 4
3020, 5
1510, 4
906, 4
1963, 4
906, 4
3320, 4
1208, 5
4226, 6
1208, 5
3773, 5
2114, 5
1510, 5
906, 4
906, 4
906, 4
1208, 5
1359, 5
1359, 4
1057, 4
1208, 5
1208, 5
1208, 5
1661, 5
906, 4
1208, 5
1208, 5
1057, 4
2416, 5
3622, 5
1963, 6
604, 3
755, 3
1208, 5
1208, 4
1963, 5
604, 3
1661, 6
8906, 5
1208, 4
1812, 4
1661, 5
1661, 4
906, 4
906, 3
906, 4
906, 4
1359, 5
906, 4
1661, 6
1057, 3
1510, 6
2869, 5
1661, 5
1208, 5
1661, 5
604, 3
906, 4
1359, 5
1661, 5
1661, 6
1510, 5
3623, 5
2416, 5
1208, 5
906, 4
1661, 5
1661, 6
604, 3
1661, 5
1359, 5
3621, 5
906, 4
1510, 6
1208, 5
906, 4
1510, 6
1208, 4
6489, 6
1359, 4
906, 4
906, 4
1208, 4
1963, 5
1812, 5
1208, 5
1661, 6
4227, 6
6491, 5
755, 3
1661, 5
1208, 5
4831, 6
906, 4
1661, 5
1661, 5
1963, 6
2114, 6
1661, 5
2114, 5
6038, 5
1661, 5
1359, 5
4829, 6
1208, 5
2114, 5
1812, 6
1208, 5
906, 4
1208, 5
1812, 7
1359, 4
3321, 4
3772, 5
1963, 5
1359, 5
906, 4
3019, 3
1359, 5
11168, 5
906, 4
906, 4
906, 4
2567, 6
1661, 5
1208, 5
3320, 4
3923, 4
1208, 5
604, 3
1208, 4
906, 4
2265, 5
3772, 5
906, 4
1208, 5
1661, 4
1661, 5
1661, 5
4224, 7
1208, 5
1208, 5
3621, 5
6037, 5
2416, 6
604, 3
1208, 5
1208, 5
1208, 4
604, 3
604, 3
3925, 5
2869, 6
906, 4
1208, 5
2114, 6
906, 4
1963, 5
906, 4
4680, 6
1208, 5
1359, 5
1661, 5
604, 3
604, 3
1812, 5
1510, 5
1208, 5
3320, 4
906, 4
1057, 4
906, 4
3772, 5
906, 4
1812, 5
2114, 6
1661, 5
1208, 5
1661, 5
906, 4
906, 4
1359, 5
1661, 5
1510, 5
1510, 5
1963, 6
1208, 5
906, 4
906, 4
1510, 6
604, 3
1510, 6
3772, 5
906, 4
302, 2
1359, 5
1057, 4
2869, 5
1208, 4
604, 3
604, 3
906, 4
1208, 5
906, 4
1359, 5
1359, 5
1510, 6
1057, 4
2718, 5
1661, 6
1812, 6
1208, 5
1208, 4
2265, 7
1208, 5
604, 3
3924, 5
906, 4
906, 4
4376, 5
906, 4
3322, 5
2114, 4
755, 3
1661, 6
1208, 5
1057, 4
1963, 6
906, 4
1661, 5
4227, 5
906, 4
2567, 4
906, 4
1359, 4
1510, 5
1359, 5
2114, 5
906, 4
1057, 4
906, 4
1812, 6
1359, 5
1812, 5
1208, 5
906, 4
3923, 5
1812, 5
604, 3
906, 4
1359, 5
1208, 5
1057, 4
1208, 5
906, 4
2869, 5
906, 4
1208, 5
2114, 7
2718, 5
906, 4
2114, 5
1510, 6
1359, 5
1208, 5
604, 3
1208, 5
1208, 5
4831, 5
1510, 6
1963, 6
906, 4
1661, 6
4227, 5
1661, 4
1661, 6
1510, 5
1359, 5
3926, 6
1208, 5
906, 4
906, 4
604, 3
906, 4
1661, 5
906, 4
1359, 4
1208, 5
2265, 5
1208, 5
604, 3
906, 4
6339, 5
1510, 6
2265, 6
302, 2
906, 4
1963, 5
1510, 6
1208, 5
1661, 6
2114, 5
906, 4
1661, 6
1208, 5
1208, 5
1510, 5
1057, 4
1057, 4
604, 3
1510, 6
1812, 6
1510, 5
1661, 5
4527, 6
906, 4
1208, 5
755, 3
906, 4
1661, 5
604, 3
4225, 6
2265, 5
3472, 4
1208, 4
3321, 4
1208, 5
1208, 5
2114, 5
1510, 6
604, 3
906, 4
1208, 5
5585, 5
604, 3
1510, 5
4225, 4
1661, 6
1208, 5
604, 3
906, 4
1208, 4
1208, 4
1963, 5
906, 4
1510, 6
1963, 5
3621, 5
3925, 5
1359, 5
1057, 4
1963, 5
1208, 4
4376, 5
1359, 5
2718, 6
1510, 6
1359, 5
2567, 7
1208, 5
1510, 6
906, 4
1057, 4
906, 4
1208, 5
1208, 5
604, 3
2718, 5
2265, 5
1661, 4
1208, 5
1359, 5
1208, 4
6339, 5
1359, 5
1510, 6
1510, 5
1661, 4
2416, 3
1963, 7
1208, 4
1510, 5
2114, 5
906, 4
1510, 5
1963, 6
1661, 5
906, 4
1208, 5
1661, 6
1359, 5
604, 3
1208, 5
4073, 6
604, 3
906, 4
604, 3
1510, 5
1510, 5
2265, 4
1208, 5
1359, 5
1208, 5
1208, 5
1359, 4
2114, 5
906, 4
2416, 5
3772, 5
1359, 4
1359, 5
1057, 4
1510, 5
1208, 5
604, 3
1208, 5
3772, 5
1661, 6
1812, 7
755, 3
906, 4
1510, 5
3322, 5
1510, 5
1208, 5
1661, 6
906, 4
1510, 6
1208, 5
604, 3
1661, 6
604, 3
906, 4
1510, 6
906, 4
1661, 5
4073, 6
1963, 4
2265, 6
1510, 4
1057, 4
906, 4
3623, 5
604, 3
1208, 5
906, 4
3621, 4
3622, 5
1510, 4
1510, 6
1057, 4
604, 3
1359, 4
1661, 5
1510, 5
604, 3
1359, 5
1661, 5
3772, 5
1359, 5
1208, 5
1208, 5
906, 4
1661, 5
1208, 5
1963, 5
1812, 4
906, 4
906, 4
3621, 5
906, 4
1208, 5
1208, 5
906, 4
1510, 5
4074, 5
1510, 6
1208, 5
3925, 4
1057, 4
906, 4
1208, 5
3772, 4
3922, 6
1510, 5
1812, 5
1661, 5
6340, 5
604, 3
906, 4
1208, 5
906, 4
906, 4
302, 2
1661, 5
1208, 5
906, 4
1208, 4
906, 4
906, 4
1208, 5
1208, 5
3621, 5
906, 4
906, 4
906, 4
1510, 6
604, 3
1510, 5
1812, 5
1359, 5
604, 3
3623, 5
906, 4
906, 4
1208, 5
1510, 5
1208, 5
1359, 5
906, 4
1661, 5
604, 3
604, 3
1510, 5
1208, 5
3624, 5
1661, 4
6037, 4
1208, 4
3922, 5
1208, 5
1661, 5
