Evaluations, Played
1071, 5
3150, 5
1753, 6
4125, 6
712, 4
1632, 5
1895, 5
1054, 4
5400, 7
2850, 5
6825, 8
5700, 8
2400, 5
2025, 4
1575, 4
1941, 6
3000, 5
5850, 8
1303, 5
4500, 5
3600, 7
1127, 5
1875, 5
2175, 5
1807, 6
5175, 7
4050, 6
2400, 5
7050, 5
3375, 5
2850, 6
2945, 6
796, 5
2850, 5
4650, 6
2625, 5
987, 5
1350, 4
3225, 6
4125, 6
1895, 5
2250, 5
4575, 6
3825, 6
1974, 6
2400, 5
1449, 5
4200, 6
2221, 7
675, 3
1914, 5
5325, 7
2625, 5
1988, 6
1378, 5
4575, 7
3600, 6
3600, 6
4350, 6
4125, 6
2850, 5
3525, 6
2325, 5
2616, 6
3150, 5
2550, 5
2700, 5
4350, 7
4650, 7
3300, 6
3225, 6
2382, 7
3825, 6
5250, 7
4125, 6
3525, 5
3450, 6
4425, 7
3825, 6
5550, 7
5250, 6
3525, 5
3225, 5
66, 3
3900, 5
3900, 6
2325, 4
1950, 4
2025, 4
3975, 6
48, 2
3525, 6
300, 2
2100, 4
348, 3
3225, 4
4200, 6
2775, 5
3450, 6
2700, 5
2625, 5
2625, 6
2663, 6
1923, 5
3024, 6
3300, 6
3375, 5
3225, 6
356, 4
2550, 5
3750, 6
660, 6
999, 4
3825, 6
1027, 5
2775, 5
2625, 5
2025, 5
2925, 5
1950, 5
3000, 5
2100, 5
3123, 6
2775, 4
2550, 6
2598, 5
507, 5
4050, 6
3375, 5
4800, 7
1507, 5
5025, 7
2550, 5
5250, 7
2325, 5
2775, 5
2250, 4
3675, 5
2250, 3
72, 5
3225, 4
4425, 6
6600, 7
6450, 8
2475, 5
2925, 5
2250, 5
4050, 5
1200, 3
964, 5
2100, 5
473, 4
4125, 6
70, 4
1875, 5
2775, 5
2673, 5
2925, 5
3525, 5
1623, 5
1684, 6
1725, 4
2550, 5
975, 3
2129, 6
4125, 6
497, 4
1398, 5
525, 3
2925, 5
1425, 4
3150, 6
1575, 4
1500, 4
1950, 5
1894, 5
2073, 5
4275, 7
2049, 6
1623, 5
1725, 4
3750, 6
4275, 6
2775, 5
324, 3
3150, 5
2475, 5
948, 4
4425, 6
5700, 8
3648, 7
5475, 7
1658, 5
2775, 6
2775, 5
2175, 5
3525, 6
2925, 5
1163, 5
3750, 6
5550, 7
2775, 5
64, 3
3300, 5
2775, 5
3075, 5
4500, 7
1650, 4
1800, 4
66, 3
