Evaluations, Played
2547, 5
10600, 6
9000, 6
2498, 5
3648, 5
3400, 5
7400, 5
8200, 6
7800, 6
7600, 6
7600, 6
7400, 5
6000, 6
6400, 5
2397, 5
4800, 6
7800, 6
7600, 5
8600, 6
8800, 6
4600, 5
6800, 5
6800, 6
8400, 6
10800, 6
9000, 6
6000, 4
4248, 6
7600, 6
5200, 5
8200, 6
7624, 6
3198, 5
8400, 6
2772, 5
7600, 6
5200, 5
3198, 5
5400, 4
4600, 5
2397, 5
6400, 6
10200, 6
9400, 7
4622, 6
2449, 4
2824, 5
7000, 5
2711, 6
7200, 6
4000, 5
6400, 6
6600, 6
8600, 6
5511, 6
5400, 5
6623, 6
2397, 5
6800, 6
7600, 5
6000, 6
6600, 5
9800, 6
2647, 5
4000, 4
6400, 6
9200, 6
8000, 5
9400, 7
7000, 5
5200, 5
5800, 5
10000, 6
10600, 7
3424, 4
6600, 5
6600, 5
3400, 4
7600, 6
6200, 5
14000, 8
7000, 6
7200, 6
70, 4
4800, 5
2052, 5
6448, 6
5200, 4
8200, 5
5800, 5
74, 4
6200, 5
11000, 6
5400, 5
4452, 5
4248, 4
8600, 7
8800, 6
3800, 3
5248, 5
5600, 5
1248, 4
4048, 5
2800, 4
5600, 5
7200, 6
3800, 4
7000, 5
6800, 5
9000, 6
4248, 6
7400, 5
15600, 8
5200, 5
5600, 5
6200, 5
1847, 5
6800, 6
5800, 5
3652, 5
5624, 5
7600, 5
6000, 5
8600, 6
6248, 6
9000, 6
5647, 6
7400, 6
10200, 6
7400, 5
2696, 6
11800, 8
7800, 6
9000, 6
8200, 6
10800, 7
8800, 4
11600, 7
12400, 7
68, 4
11200, 7
5200, 4
6200, 4
10000, 6
6412, 6
10800, 6
5832, 6
8800, 6
6800, 5
3773, 5
7800, 6
3647, 6
12800, 7
70, 4
7000, 5
4200, 4
658, 5
7000, 5
5448, 5
5600, 5
6400, 5
7600, 5
5400, 5
8400, 5
10000, 6
3048, 4
4000, 4
8000, 5
6200, 5
7400, 5
8400, 5
6800, 5
5048, 5
9400, 6
2800, 4
3800, 4
4400, 4
4848, 5
4424, 5
5800, 4
5200, 5
7248, 6
3800, 4
7248, 5
10400, 6
7200, 6
8600, 6
7448, 6
6400, 5
8400, 6
7400, 5
6800, 5
1098, 4
6000, 4
5600, 4
6400, 6
6400, 6
9000, 6
4024, 5
3323, 5
8800, 7
4200, 4
72, 4
6800, 5
7848, 6
11800, 7
7000, 5
7000, 5
7000, 4
48, 2
11200, 7
7400, 5
600, 2
6048, 6
7200, 6
5800, 5
6200, 5
5400, 5
4400, 4
7600, 6
10600, 7
8200, 6
8400, 6
8000, 6
9000, 6
4800, 4
7400, 5
6600, 4
6000, 5
456, 4
6800, 6
5400, 5
8400, 6
7200, 6
10400, 7
6800, 6
7499, 6
4800, 5
4800, 4
5400, 5
4400, 4
7800, 5
7800, 6
2196, 6
3848, 5
1846, 5
5000, 5
4200, 4
7400, 5
4648, 5
5800, 5
8200, 6
5200, 5
7000, 5
8400, 6
9400, 7
3274, 4
5200, 5
6400, 5
8800, 6
1648, 4
6600, 5
4800, 4
8800, 7
6600, 6
8000, 6
5800, 5
5600, 4
8400, 6
5652, 6
8400, 6
3248, 5
3323, 5
4000, 5
8200, 6
6400, 5
3400, 4
448, 3
448, 3
1648, 4
6600, 5
1648, 4
5000, 5
2097, 5
6600, 5
5400, 5
5600, 5
4000, 4
1898, 4
7200, 6
6800, 6
8424, 7
6600, 5
6000, 5
7000, 5
3624, 5
8000, 6
5600, 5
8600, 7
7000, 6
6400, 6
5828, 6
4400, 5
8000, 6
4800, 5
6200, 5
4000, 4
4448, 5
6400, 5
5800, 5
3000, 4
7600, 6
7000, 5
3448, 5
3400, 5
7200, 6
7200, 6
458, 4
7400, 5
2024, 4
4949, 5
4024, 5
6800, 5
6200, 6
9400, 7
6923, 6
8400, 6
8800, 7
9600, 6
9400, 6
8200, 5
5600, 4
774, 3
6200, 5
1448, 4
10600, 6
3800, 4
5000, 5
9200, 6
6800, 5
3848, 5
8400, 6
3248, 5
5248, 6
7200, 5
6000, 5
5248, 4
4200, 4
7800, 6
727, 5
1546, 5
6200, 5
5824, 5
10200, 6
1546, 5
6800, 5
7800, 6
9200, 6
5448, 6
5600, 5
2647, 5
9400, 6
6200, 5
7200, 5
4428, 6
2298, 5
6600, 6
5200, 5
4224, 5
1298, 4
5800, 4
6400, 5
6000, 5
7400, 5
3698, 5
3048, 5
6800, 6
8800, 5
3200, 4
9600, 6
7800, 6
6624, 6
8600, 6
6000, 6
9200, 6
9800, 6
5800, 5
4024, 5
9800, 7
6400, 6
6200, 5
8698, 7
7000, 5
8000, 6
8400, 5
6200, 5
448, 3
5800, 4
1398, 4
4400, 5
7800, 6
11600, 6
10200, 7
3800, 3
5400, 4
1448, 4
1322, 5
8200, 6
4200, 4
6400, 5
5400, 4
3600, 4
7400, 7
3000, 3
10600, 6
8000, 6
400, 2
7199, 6
5800, 5
6000, 5
3800, 5
6000, 5
4200, 5
1452, 5
6624, 7
1800, 3
5648, 6
4400, 3
4248, 6
9400, 6
3448, 5
5200, 3
6200, 5
3098, 5
7000, 6
4824, 6
6800, 5
8200, 7
4600, 5
7200, 6
7000, 5
3600, 5
1847, 5
4248, 5
8000, 5
5648, 5
9400, 6
3800, 5
2898, 5
6000, 5
9000, 6
8200, 7
6400, 6
8600, 6
11600, 7
3772, 5
5200, 4
2397, 5
12000, 6
6600, 5
7800, 5
6800, 6
3048, 4
6400, 5
9400, 6
7600, 6
3400, 4
7000, 5
747, 4
5800, 5
4251, 7
7400, 6
7000, 6
5400, 4
5200, 5
11000, 7
4652, 6
7248, 6
8200, 5
8600, 7
5200, 5
8000, 6
8800, 6
1254, 5
6000, 5
7800, 6
448, 3
9600, 6
8800, 6
1546, 5
7600, 6
5448, 6
4048, 5
8600, 7
2048, 4
11400, 7
4424, 5
3923, 5
1848, 4
458, 4
4052, 6
2848, 5
6000, 5
5800, 5
4572, 6
7800, 6
9400, 6
5800, 5
9200, 5
13200, 8
3000, 4
4572, 6
5932, 6
7800, 6
5400, 5
8400, 5
6600, 5
2496, 6
4000, 4
6000, 5
4722, 5
1697, 5
7800, 6
800, 2
10800, 6
6400, 5
2624, 5
1800, 3
8000, 5
9600, 6
7600, 5
74, 4
3848, 4
6800, 5
656, 4
5600, 5
6400, 6
9400, 6
66, 3
7600, 6
7200, 5
6200, 4
5848, 5
6000, 5
5024, 5
7400, 6
9000, 6
9600, 7
8000, 6
9000, 6
4648, 5
6200, 5
4200, 5
9000, 6
9600, 6
10600, 7
6600, 6
6400, 6
5248, 6
6000, 5
12600, 7
6800, 5
4248, 5
7600, 6
4848, 5
7000, 5
8000, 6
1346, 5
5424, 6
7000, 5
2400, 3
6400, 5
3848, 6
7048, 6
3452, 6
8400, 6
9800, 6
2197, 5
8000, 6
9600, 6
7000, 5
8600, 6
7000, 5
9000, 6
8800, 6
1648, 5
2647, 5
6000, 5
3271, 6
3299, 4
2023, 4
3098, 5
6600, 5
6097, 7
9012, 7
6400, 6
5200, 5
1897, 5
1622, 5
3897, 5
10600, 6
