Evaluations, Played
1823, 4
2199, 4
5500, 5
6100, 5
7129, 6
4142, 5
6610, 6
3441, 6
4500, 4
3204, 5
7900, 5
9000, 4
5124, 5
3391, 5
8900, 6
3300, 4
7300, 5
11100, 7
8900, 6
6700, 5
5800, 5
8000, 6
8200, 5
7300, 5
2649, 4
5800, 5
5800, 5
7700, 6
5200, 5
6100, 5
2647, 5
8800, 5
5065, 6
8900, 6
6700, 5
8300, 6
5961, 6
7000, 5
6500, 6
3324, 5
3298, 5
5800, 5
6400, 5
7324, 6
3997, 5
6720, 6
6800, 6
9800, 6
6000, 6
5200, 5
7300, 5
2698, 5
4652, 6
9200, 6
4184, 5
6800, 6
5708, 5
12300, 7
3924, 5
3797, 6
5800, 5
6100, 5
8000, 6
3094, 5
2848, 5
6100, 5
12400, 8
9200, 6
2647, 5
2497, 5
10100, 6
2221, 6
5100, 4
2197, 5
7300, 5
6100, 5
1400, 3
6000, 4
9200, 6
7297, 5
3200, 3
9200, 6
4800, 4
70, 4
6100, 5
2048, 4
7300, 5
5100, 4
10700, 6
8300, 6
48, 2
8300, 6
6700, 5
10200, 7
7000, 5
7900, 5
5400, 4
9500, 6
5800, 5
10000, 5
7700, 6
1154, 5
2998, 5
6048, 5
6400, 5
5800, 5
7900, 5
5700, 4
5200, 5
8600, 6
2103, 6
5800, 5
1698, 4
6700, 5
6700, 5
10700, 6
6148, 6
1148, 4
7600, 5
8000, 6
8600, 6
7300, 5
6400, 5
8300, 6
1448, 4
8900, 6
6400, 5
8500, 5
9222, 7
6400, 5
6100, 5
10800, 7
9500, 6
9700, 5
2197, 5
9500, 6
8100, 4
3200, 3
13400, 6
68, 4
3200, 3
8500, 5
10000, 5
8200, 5
7600, 5
13300, 8
5800, 5
8900, 6
10400, 6
6700, 5
10300, 5
7000, 5
12100, 5
48, 2
6400, 5
9800, 6
5400, 4
4400, 3
8500, 5
6348, 5
12000, 7
8800, 5
8000, 6
4800, 4
7000, 5
6400, 5
4200, 4
2348, 4
4068, 5
700, 2
5100, 4
3200, 3
6900, 4
6100, 5
3000, 4
8300, 6
7600, 5
8900, 6
4800, 4
5400, 4
10400, 6
5200, 5
6100, 5
5500, 5
4800, 4
3900, 4
7300, 5
12900, 7
5800, 5
1148, 4
7300, 5
8600, 6
5458, 5
8300, 6
10400, 6
7300, 5
5800, 5
8300, 6
7324, 6
7700, 6
5100, 4
6900, 4
82, 6
6400, 5
8300, 6
4100, 3
9500, 6
11700, 7
8900, 6
74, 4
5100, 4
4200, 4
3548, 4
6100, 5
8200, 5
4548, 5
9500, 6
6100, 5
