Evaluations, Played
1433, 5
10400, 6
13200, 7
8300, 6
10000, 5
6755, 6
7900, 5
6674, 5
14100, 7
10100, 6
4800, 4
6300, 4
8200, 5
7400, 6
7300, 5
3445, 4
2507, 5
12600, 7
7300, 5
9200, 6
9800, 6
8924, 7
7000, 5
6400, 5
6100, 5
9100, 5
11600, 6
6100, 5
7000, 5
7300, 5
5500, 5
13700, 6
7600, 5
11000, 6
5124, 5
10100, 6
5213, 6
10400, 6
8300, 6
7924, 6
3773, 6
4500, 4
8200, 5
8300, 6
3900, 4
5610, 5
4388, 6
7000, 5
2999, 6
3448, 5
10400, 6
8600, 6
9500, 6
10000, 5
12200, 6
12300, 7
8208, 6
5500, 5
9200, 6
10700, 6
6700, 5
4575, 6
7600, 5
3368, 5
8800, 5
9500, 6
10900, 5
6300, 4
2497, 5
11000, 6
11100, 7
6400, 5
7286, 6
11600, 6
5700, 4
12800, 6
4800, 4
2797, 5
8068, 6
7300, 5
11600, 6
8900, 6
9200, 6
66, 3
5400, 4
7300, 5
7000, 5
8800, 5
10700, 6
10100, 6
48, 2
7200, 4
5748, 5
8800, 5
10100, 6
5500, 5
6700, 5
10000, 5
10600, 5
9400, 5
7300, 5
4548, 5
4800, 4
4500, 4
10400, 6
13400, 6
760, 5
2300, 3
1596, 5
4824, 5
7949, 6
9400, 5
7600, 5
11600, 6
2048, 4
11700, 7
8348, 7
8848, 6
8600, 6
7700, 6
9400, 5
14000, 6
11200, 5
14700, 7
9100, 5
4800, 4
1748, 4
4500, 4
10400, 6
10700, 6
3748, 5
10100, 6
773, 4
3391, 5
11900, 6
7000, 5
10500, 4
6000, 4
10000, 5
68, 4
12500, 6
15900, 7
8048, 4
10000, 5
3111, 5
8200, 5
6700, 5
11000, 6
18000, 4
10324, 6
9200, 6
7600, 5
13500, 7
64, 3
14400, 7
8700, 4
6600, 4
700, 2
5352, 5
7600, 5
13100, 6
6048, 5
13100, 6
13700, 6
10000, 5
9200, 6
1448, 4
5148, 5
7600, 5
6400, 5
11900, 6
12600, 7
4200, 4
11900, 6
9700, 5
9100, 5
6300, 4
3848, 4
8200, 5
2348, 4
9100, 5
8800, 5
3204, 5
2700, 4
4599, 4
12600, 7
13400, 6
11000, 6
10100, 6
6048, 5
11300, 6
10100, 6
3300, 4
9700, 5
9400, 5
7300, 5
6400, 5
8524, 6
7300, 5
7900, 5
13700, 6
13500, 7
70, 4
15400, 8
12500, 6
3848, 4
10600, 5
11900, 6
11300, 6
48, 2
6700, 5
11300, 6
72500, 4
6000, 4
9100, 5
3800, 3
4142, 5
16300, 8
14400, 7
10700, 6
8900, 6
10400, 6
9500, 6
12600, 7
8900, 6
7800, 4
754, 4
2986, 6
9200, 6
5048, 4
11700, 7
8200, 5
3578, 5
4448, 4
7200, 4
9200, 6
8500, 5
7600, 5
448, 3
9148, 6
13800, 7
7600, 5
2352, 5
8900, 6
2300, 3
2648, 4
8300, 6
12500, 6
6397, 5
10400, 6
7000, 5
11400, 7
805, 5
1148, 4
4852, 6
6700, 5
5100, 4
7900, 5
5124, 5
9800, 6
2310, 5
10100, 6
4839, 6
10400, 6
724, 3
8500, 5
6000, 4
12000, 7
4200, 4
6700, 5
6000, 4
12800, 6
6700, 5
2352, 5
5100, 4
8500, 5
11900, 6
11000, 6
12600, 7
7900, 5
4800, 4
3200, 3
6900, 4
9500, 6
7600, 5
5552, 7
8348, 7
1154, 5
5700, 4
11600, 6
3797, 6
10700, 6
5139, 6
2300, 3
1700, 3
4500, 4
12400, 5
11000, 6
3948, 5
2551, 6
6400, 5
10500, 7
7300, 5
4200, 4
6700, 5
9100, 5
1152, 5
4187, 6
8524, 6
9800, 6
7300, 5
7000, 5
8200, 5
10100, 6
10100, 6
3352, 6
4200, 4
6400, 5
10400, 6
7300, 5
4388, 6
12000, 7
7000, 5
6800, 6
7600, 5
4516, 5
9500, 6
10100, 6
11600, 6
2949, 4
8500, 5
5648, 4
8600, 6
7300, 5
11500, 5
9400, 5
9500, 6
12800, 6
