Evaluations, Played
2558, 4
10240, 6
6271, 5
11776, 6
13437, 7
13952, 5
7551, 5
8576, 5
15360, 7
12544, 6
8192, 5
14848, 6
536, 3
3389, 5
13568, 5
13312, 6
9856, 6
10112, 5
3773, 5
7680, 4
13312, 6
11392, 6
8576, 5
9856, 6
9728, 5
7680, 4
10240, 6
2623, 4
10240, 6
9728, 5
8960, 5
8320, 6
2350, 4
4992, 4
7680, 4
10496, 5
4653, 6
11008, 6
8704, 6
8576, 5
3773, 5
2006, 5
9728, 5
11008, 6
9472, 6
5277, 6
12544, 6
11392, 6
7807, 5
5760, 4
4285, 6
9856, 6
13440, 7
11776, 6
3179, 5
11264, 5
3934, 5
11648, 5
4030, 5
7808, 5
8960, 5
7808, 5
4248, 5
6144, 4
4494, 5
2431, 4
13184, 5
7808, 5
3456, 4
9728, 5
11392, 6
6912, 4
6912, 4
7808, 5
5376, 4
12928, 6
8216, 6
1790, 4
12160, 6
11288, 6
13696, 6
11776, 6
13696, 6
66, 3
8960, 5
12928, 6
9344, 5
6656, 5
9984, 4
12160, 6
74, 4
12416, 5
7296, 4
7296, 4
6528, 4
7680, 4
11648, 5
19584, 7
8960, 5
11392, 6
5628, 6
10928, 6
9344, 5
10559, 6
12928, 6
5725, 6
13184, 5
6064, 4
4992, 4
767, 3
2612, 5
9776, 6
10112, 5
13312, 6
3376, 4
8192, 5
4992, 4
5424, 5
9344, 5
7808, 5
4613, 6
10880, 5
8192, 5
9344, 5
3504, 5
12288, 7
6831, 6
8576, 5
10496, 5
9728, 5
11776, 6
13312, 6
7424, 5
11776, 6
11776, 6
12928, 6
7552, 3
8832, 4
14464, 6
60, 3
2100, 4
1332, 4
6528, 4
8064, 4
3391, 4
12800, 5
13696, 6
7680, 4
12160, 6
10496, 5
8576, 5
12928, 6
8832, 4
64, 3
11392, 6
6144, 4
8448, 4
11264, 5
2944, 3
3376, 4
9216, 4
6960, 5
10112, 5
8448, 4
11776, 6
11776, 6
14464, 6
1011, 5
12160, 6
8960, 5
15616, 6
17280, 7
8192, 5
3671, 5
13696, 6
13696, 6
6552, 5
9728, 5
15104, 5
10368, 4
2222, 5
10368, 4
2813, 5
14000, 6
11229, 7
11904, 7
12928, 6
9728, 5
8320, 6
11648, 5
14080, 6
12160, 6
11776, 6
13312, 6
4888, 4
11392, 6
8192, 5
12160, 6
17280, 7
7040, 5
13184, 5
7680, 4
78, 5
16256, 8
8192, 5
12160, 6
14464, 6
12160, 6
10880, 5
70, 4
11264, 5
7808, 5
9856, 6
10880, 5
4096, 3
10112, 5
4349, 5
17280, 7
14592, 7
8192, 5
7424, 5
14720, 5
9728, 5
7040, 5
6656, 5
8576, 5
8496, 5
3005, 5
6528, 4
2677, 6
6528, 4
7856, 6
6272, 5
10752, 4
4528, 4
8576, 5
9856, 6
9319, 6
7808, 5
1408, 3
10112, 5
6528, 4
11776, 6
6168, 5
9728, 5
9344, 5
6656, 5
7040, 5
12032, 5
6144, 4
6960, 5
14464, 6
4608, 4
9728, 5
11392, 6
11776, 6
8055, 6
10240, 6
15616, 6
16128, 7
7808, 5
15360, 7
7808, 5
5120, 5
11264, 5
536, 3
8064, 4
7424, 5
11392, 6
10496, 5
9344, 5
16896, 7
11264, 5
7680, 4
10112, 5
15744, 7
4285, 6
7040, 5
2671, 5
16512, 7
4992, 4
12928, 6
10032, 5
9088, 6
7808, 5
8576, 5
9008, 6
8192, 5
8576, 5
3836, 6
5376, 4
12928, 6
8960, 5
10240, 6
10904, 6
9472, 6
10520, 6
512, 2
6656, 5
3888, 5
6168, 5
10240, 6
2608, 4
4992, 4
9344, 5
11392, 6
6192, 5
5376, 4
11392, 6
4662, 6
6912, 4
11008, 6
8576, 5
12160, 6
8127, 5
560, 3
11392, 6
1460, 5
6656, 5
7808, 5
3389, 5
7424, 5
7040, 5
18432, 7
9728, 5
8287, 5
13312, 6
5376, 4
10112, 5
10112, 5
5760, 4
9216, 4
13952, 5
12800, 5
8576, 5
11648, 5
1816, 4
6912, 4
2813, 5
6528, 4
