Evaluations, Played
19200, 6
12750, 5
14220, 6
9060, 5
9040, 5
31800, 6
15450, 5
9600, 5
7320, 5
14820, 7
15000, 5
21450, 6
12725, 6
5076, 6
6523, 5
29850, 8
16800, 5
19500, 5
17400, 6
15840, 7
18900, 7
21300, 5
28650, 6
23250, 6
23250, 6
28650, 6
14100, 5
11850, 5
18300, 6
12540, 6
18300, 6
10620, 6
12900, 6
18750, 6
20250, 7
17400, 6
14100, 5
21150, 7
15900, 5
18750, 6
22350, 6
21450, 6
24150, 6
10110, 6
18750, 6
14250, 6
18750, 6
21600, 7
22500, 7
11890, 6
2220, 4
14700, 6
14250, 6
21900, 6
21900, 6
21750, 5
11910, 6
18750, 6
16050, 6
11850, 5
10950, 5
5970, 5
19200, 6
3221, 5
20100, 6
16050, 6
19650, 6
12750, 5
17850, 6
16500, 6
10170, 6
14100, 5
11040, 5
4300, 6
6102, 7
738, 5
17400, 6
5528, 6
10500, 5
16800, 5
9210, 6
18300, 6
12870, 6
25050, 6
15900, 5
17400, 6
15270, 7
4197, 5
19200, 6
3671, 5
18300, 6
13350, 6
16050, 6
5076, 6
16290, 7
22950, 7
12660, 5
19620, 6
15600, 6
18150, 5
25050, 6
18300, 6
14550, 5
17850, 6
22950, 7
20100, 6
14370, 7
16050, 6
720, 3
10740, 6
21000, 6
15450, 5
11850, 5
14100, 5
24150, 6
36750, 6
16800, 5
15000, 5
15450, 5
13200, 5
13440, 6
9900, 4
18450, 7
7200, 4
15450, 5
14550, 5
6098, 6
15450, 5
4346, 5
11250, 4
31500, 7
15150, 6
15690, 6
5696, 5
15960, 6
15570, 6
16050, 6
12750, 5
16950, 6
21000, 6
15600, 6
16800, 5
19770, 7
11250, 4
7500, 3
2670, 4
29250, 7
15150, 6
5528, 6
14100, 5
14820, 7
18150, 5
21450, 6
20550, 6
14700, 6
3956, 6
15900, 5
13650, 5
6597, 6
9960, 5
21900, 6
4590, 4
13470, 7
21450, 6
15508, 7
14070, 5
10050, 5
21000, 6
27000, 7
19650, 6
8700, 5
22800, 6
