Evaluations, Played
5460, 5
7800, 5
11850, 5
15600, 6
12900, 6
10740, 6
14250, 6
4176, 6
13800, 6
11100, 6
11524, 7
14700, 6
10050, 5
13350, 6
18450, 7
13470, 7
13200, 5
7770, 5
11400, 5
12900, 6
11970, 6
6300, 4
12900, 6
11400, 5
11850, 5
12000, 6
15270, 7
12000, 6
2100, 3
13800, 6
20700, 7
11970, 6
10200, 6
4170, 5
11550, 6
15600, 6
12344, 7
11070, 6
5970, 5
13800, 6
10200, 6
13350, 6
4750, 6
10050, 5
7770, 5
12810, 6
12818, 6
10200, 6
15000, 5
10090, 6
14250, 6
4050, 4
11850, 5
14550, 5
16050, 6
16650, 7
7860, 6
7437, 6
9150, 5
6990, 5
13350, 6
14100, 5
10170, 6
381, 5
13920, 7
5826, 5
7650, 4
11520, 6
1938, 6
16500, 6
2682, 6
15600, 6
12750, 5
13590, 7
8040, 6
12000, 6
15750, 7
11524, 7
14250, 6
2670, 4
8700, 5
3355, 7
15600, 6
9150, 5
14250, 6
12300, 5
11100, 6
15750, 7
10170, 6
4121, 5
12450, 6
13800, 6
9270, 6
10500, 5
12000, 6
15150, 6
16500, 6
14250, 6
6090, 5
19350, 7
10020, 5
8700, 5
7410, 6
8250, 5
12300, 5
17550, 7
13020, 7
12450, 6
1770, 4
6094, 6
17070, 7
14250, 6
10650, 6
3223, 4
3726, 6
4296, 6
12900, 6
10050, 5
5400, 4
4950, 4
12300, 5
9150, 5
10500, 5
9000, 4
13690, 6
12450, 6
15240, 6
9450, 4
3862, 5
15150, 6
15000, 5
11070, 6
11100, 6
2307, 5
10050, 5
10500, 5
10050, 5
11550, 6
14850, 4
12000, 6
13800, 6
9450, 4
15150, 6
12300, 5
17850, 6
12900, 6
10650, 6
9274, 7
16650, 7
12450, 6
12900, 6
19800, 7
8224, 6
9150, 5
14250, 6
2247, 4
18450, 7
5640, 5
12000, 6
2100, 3
11100, 6
5850, 4
2224, 5
16050, 6
16050, 6
10170, 6
16650, 7
14370, 7
10470, 5
9750, 6
10050, 5
7800, 5
12900, 6
11520, 6
10170, 6
11160, 7
10950, 5
9150, 5
11640, 6
9150, 5
6870, 5
9150, 5
5640, 5
11550, 6
10650, 6
11550, 6
14400, 7
16650, 7
15240, 6
9390, 6
4740, 5
