Evaluations, Played
26860, 6
57750, 7
39750, 7
37610, 7
33500, 6
58750, 8
23110, 6
23110, 6
12171, 6
61860, 8
24500, 6
31250, 6
35470, 6
78250, 8
36750, 7
50750, 6
15720, 5
9291, 5
19990, 6
54110, 7
34250, 6
29000, 6
39860, 7
38250, 7
25250, 6
29750, 6
9744, 7
36500, 6
54470, 7
40610, 7
27370, 6
10466, 7
47750, 6
53250, 7
23750, 6
17500, 5
19750, 5
34940, 7
11240, 7
39470, 7
22360, 6
31250, 6
23500, 5
55470, 8
19000, 5
39750, 7
30198, 7
21236, 8
48500, 6
36470, 7
49470, 8
12394, 6
31720, 6
424, 4
68190, 8
28250, 6
36000, 7
48000, 7
16000, 5
40250, 6
36500, 6
23470, 6
26500, 5
17250, 4
7327, 5
29250, 7
40500, 7
6120, 6
28750, 5
41750, 6
8982, 6
22250, 6
36750, 7
19364, 7
42970, 6
25250, 6
25250, 6
28364, 7
31250, 6
32000, 6
41250, 7
32250, 7
26000, 6
36500, 6
14980, 7
39000, 7
39500, 6
15720, 5
35000, 6
57750, 7
41000, 6
22000, 5
21226, 7
42500, 6
39750, 7
34750, 8
24500, 6
35750, 6
55500, 7
27610, 6
32750, 6
25970, 7
24970, 6
81500, 6
56970, 8
38690, 7
28610, 7
22250, 6
29000, 6
32750, 6
55950, 9
20740, 6
10872, 7
27976, 7
40250, 6
29000, 6
64750, 8
44000, 6
58500, 7
33500, 6
38720, 7
22360, 6
23000, 6
47000, 6
35750, 6
61750, 8
80500, 8
50250, 7
27000, 7
27250, 5
39000, 7
18610, 6
23750, 6
36000, 7
20000, 6
42110, 7
28060, 6
42500, 6
40750, 8
41750, 6
31610, 7
34000, 5
33470, 7
16500, 4
59720, 7
29860, 6
40750, 8
29750, 6
30970, 6
17220, 5
19690, 6
44724, 8
28250, 6
43500, 7
43000, 8
27474, 8
27500, 6
32476, 7
30000, 7
29000, 6
59250, 7
20220, 5
41360, 7
23110, 6
26750, 6
43750, 8
27236, 7
21610, 6
56240, 7
32360, 7
29000, 6
17673, 7
57750, 7
21970, 6
37250, 6
71250, 7
31250, 6
26000, 6
30500, 6
39000, 7
18250, 5
25474, 6
30500, 6
51000, 7
28726, 7
18220, 6
14250, 4
35000, 6
35750, 6
45500, 6
40250, 6
38000, 6
39000, 7
47940, 8
34970, 7
42000, 7
36000, 7
36970, 6
32750, 6
30610, 6
26000, 6
33000, 7
38750, 6
17500, 5
42000, 7
65720, 7
24042, 6
37970, 7
27000, 7
67500, 7
25250, 6
9738, 6
33000, 7
45500, 6
34250, 6
44000, 6
50700, 8
38750, 6
29240, 7
35000, 6
46620, 8
25610, 7
25720, 6
30500, 6
50250, 7
43500, 7
37500, 7
25250, 6
