Evaluations, Played
21500, 6
25250, 6
31000, 7
14500, 6
27000, 6
10946, 7
19250, 6
22114, 8
9169, 6
35250, 7
17250, 5
27476, 7
25750, 7
18750, 6
8126, 5
25226, 8
39250, 8
11115, 6
23500, 7
35750, 6
14482, 7
32750, 7
30500, 6
19720, 8
34000, 7
31500, 6
23720, 8
29500, 5
23750, 6
11118, 7
24620, 7
30190, 8
29750, 6
23750, 7
36250, 7
16750, 6
20240, 7
33750, 7
17970, 7
20220, 8
14114, 6
24250, 7
14750, 6
26720, 7
20750, 7
32250, 7
21500, 6
30000, 7
27940, 6
12500, 5
14480, 7
20251, 6
31000, 7
426, 5
14440, 6
28940, 8
33500, 7
20250, 6
16360, 6
37750, 6
10440, 5
26750, 6
33750, 7
16250, 5
14750, 5
9500, 5
24470, 6
25000, 5
33750, 8
39750, 7
23720, 7
21720, 8
21750, 6
15610, 7
22250, 5
12456, 7
17750, 6
29250, 6
22250, 6
21000, 7
23750, 7
31500, 7
31500, 7
27690, 8
20224, 7
22970, 7
28000, 7
37750, 7
15490, 6
10990, 5
25750, 8
14940, 7
20250, 6
19250, 6
16750, 7
38250, 7
28740, 8
21000, 6
26250, 7
19750, 6
26750, 6
37720, 7
25000, 7
17228, 6
18720, 7
36440, 8
22250, 7
21750, 6
30750, 7
13250, 4
36440, 8
29250, 7
25110, 7
18000, 6
17500, 6
28720, 6
12500, 5
33500, 6
9228, 6
28000, 7
32250, 6
17250, 6
30000, 6
28000, 6
15250, 6
26500, 8
21500, 7
54250, 8
15482, 8
27250, 6
4459, 6
28860, 8
27000, 7
28620, 7
21750, 7
28616, 7
18816, 6
19000, 6
25500, 6
38360, 8
57000, 8
22250, 6
39500, 6
29500, 6
38750, 7
27610, 7
9360, 5
36250, 8
29250, 6
26470, 6
26696, 7
18250, 7
21500, 6
9984, 9
17500, 5
27500, 7
24970, 7
23470, 7
40000, 7
4838, 6
21860, 8
25220, 7
27500, 7
50750, 8
29250, 7
27450, 9
25750, 6
18122, 6
26750, 6
22610, 7
11376, 6
7392, 7
38250, 7
30000, 5
32470, 8
26440, 7
17000, 6
24500, 7
26000, 6
8860, 5
22750, 6
16000, 5
19976, 7
19000, 7
27000, 7
30720, 8
20500, 6
25500, 6
29000, 6
50750, 6
39000, 6
12220, 5
14465, 7
14940, 6
30720, 8
21610, 7
31000, 6
11250, 5
21750, 5
22000, 6
42000, 7
33750, 7
20220, 7
17970, 6
16500, 4
37750, 7
8474, 6
37000, 8
31500, 7
23750, 6
32610, 7
6474, 5
31000, 7
24250, 7
28750, 6
23194, 8
8200, 6
22750, 7
23750, 6
37220, 8
30500, 7
21360, 7
27220, 8
14860, 6
19250, 7
6272, 7
32500, 6
19250, 6
26250, 8
34000, 9
33360, 7
18474, 8
21500, 7
23000, 5
36250, 6
16250, 5
20240, 7
17750, 6
26750, 6
30250, 7
12470, 6
29750, 8
37750, 8
22224, 8
10360, 5
8474, 6
32250, 7
20250, 6
13560, 7
20250, 6
27250, 6
31000, 6
18250, 5
33750, 7
30610, 7
15250, 6
26250, 6
7470, 5
31470, 7
20250, 6
26250, 7
41250, 6
28500, 7
23750, 7
26440, 7
24740, 7
7327, 5
35750, 8
22000, 6
23000, 6
30500, 6
20610, 7
37000, 6
32750, 8
32000, 6
11122, 6
34720, 7
20470, 6
46500, 8
36000, 7
30000, 7
33250, 6
12220, 6
31750, 7
24250, 6
38750, 7
7026, 7
11690, 5
27690, 8
27250, 5
21970, 7
24000, 7
21750, 6
18974, 8
21110, 7
33000, 6
33500, 7
43750, 7
40750, 6
35500, 7
30000, 7
5750, 6
22750, 6
28500, 7
15736, 7
22970, 7
23940, 8
29000, 6
31500, 7
14750, 6
20490, 6
24720, 7
14220, 5
23250, 7
17220, 7
19000, 7
26970, 6
26470, 8
31470, 8
25470, 7
32000, 7
37724, 8
27720, 8
25500, 8
30750, 5
21970, 7
19946, 8
28750, 7
33000, 6
26360, 6
25500, 6
15476, 8
32720, 8
14990, 5
27250, 7
32500, 7
30220, 7
33500, 6
49250, 7
23476, 8
13458, 6
20500, 7
22220, 7
36000, 6
490, 5
44000, 7
24250, 6
19750, 5
52750, 7
30750, 7
29750, 7
15250, 5
19000, 6
23440, 8
42750, 8
14476, 5
40750, 7
26750, 7
31500, 7
43000, 7
16970, 7
32750, 7
47720, 8
26360, 8
20720, 8
16448, 8
22500, 6
33500, 7
19720, 7
32000, 6
25250, 7
26956, 6
39110, 8
32000, 7
24000, 6
35250, 8
18500, 7
22500, 5
37250, 7
21870, 7
23000, 7
14250, 5
16250, 6
29500, 7
15500, 5
26000, 6
33000, 8
30750, 5
21500, 6
26750, 7
22250, 6
23110, 7
4384, 5
17224, 7
24690, 8
26250, 6
37000, 8
47250, 6
31250, 6
26500, 7
20250, 6
28250, 6
64250, 7
7616, 6
15000, 6
16750, 6
28970, 8
31740, 7
37250, 7
10720, 5
22190, 7
27000, 6
26750, 7
43750, 7
27110, 7
32720, 7
26250, 6
21470, 7
27750, 6
25440, 7
19000, 6
14500, 5
24750, 6
23000, 6
20976, 7
24470, 7
22860, 8
46000, 8
19250, 6
2748, 5
31750, 7
33250, 6
30250, 7
23500, 7
16250, 6
27000, 7
44860, 8
31500, 6
18250, 5
27000, 5
20750, 6
27000, 6
21500, 7
31500, 6
25450, 8
20000, 6
24500, 6
24500, 6
29220, 6
30750, 7
38000, 8
21970, 7
48000, 7
27000, 7
23750, 6
10952, 6
23500, 6
13720, 7
22750, 6
29750, 7
25114, 8
31220, 7
29860, 9
31000, 7
31750, 6
25360, 6
27000, 8
22500, 6
17720, 5
30750, 6
32500, 7
34750, 7
21250, 6
25220, 7
38000, 6
12250, 4
22250, 6
11235, 7
27000, 6
19092, 6
23250, 6
27500, 7
22970, 8
26250, 6
20000, 7
23000, 7
19500, 5
33750, 7
23000, 7
28750, 8
26720, 8
13458, 8
21866, 7
23220, 6
24750, 7
23000, 7
34000, 7
14000, 5
518, 5
5863, 7
34250, 7
23720, 8
22000, 7
25000, 7
32720, 7
24500, 6
49750, 8
22750, 6
32500, 6
12427, 6
21750, 6
12214, 7
15109, 6
9019, 6
24970, 8
25250, 7
25500, 6
12976, 8
5834, 5
13492, 7
34750, 6
23750, 6
17500, 5
28860, 7
25250, 7
23224, 8
14750, 5
34220, 7
28610, 6
25000, 6
34720, 8
25750, 7
31970, 8
27970, 7
21750, 7
26750, 7
39250, 6
15690, 6
22500, 7
17978, 8
22970, 8
20500, 6
31750, 8
19720, 7
32250, 7
30250, 8
7870, 6
24750, 6
27000, 6
19374, 8
22250, 6
25226, 8
13236, 7
31360, 7
30250, 7
29250, 7
22500, 6
23750, 7
47000, 8
27000, 7
20470, 6
20440, 7
16500, 6
17430, 6
16750, 6
25499, 8
30750, 7
20250, 7
24250, 8
20500, 6
38500, 6
28000, 7
21750, 6
496, 5
21000, 6
21110, 8
4090, 7
19470, 8
42500, 6
28940, 8
27750, 6
8614, 5
17750, 6
20750, 7
22370, 7
24000, 5
28720, 6
18470, 6
18500, 6
20500, 6
19750, 6
22750, 6
43720, 9
19250, 6
24000, 5
24220, 6
8500, 5
19750, 6
17000, 6
19750, 5
22470, 6
35250, 7
11809, 7
25470, 7
20750, 7
20970, 6
16940, 7
40500, 7
32000, 7
29190, 8
32500, 6
22690, 7
29250, 6
24500, 6
33500, 7
36360, 8
25750, 5
33000, 7
36000, 8
27000, 6
23474, 7
21750, 6
17500, 4
15750, 5
20500, 6
38726, 8
25500, 6
32500, 7
27190, 7
22870, 6
18940, 7
22226, 8
39250, 7
15500, 5
12224, 6
26500, 7
33940, 7
38750, 6
23000, 6
36500, 8
19470, 8
28750, 7
31250, 8
34750, 7
28750, 7
18724, 7
24250, 6
35860, 8
12732, 7
23500, 6
18750, 6
16250, 6
20690, 7
32720, 8
12690, 6
11476, 5
9360, 6
31500, 6
17250, 6
20360, 6
23470, 7
13110, 5
19720, 7
21720, 7
16612, 6
19000, 6
23750, 7
16110, 6
23250, 6
27724, 8
29500, 7
29250, 6
22500, 7
25000, 6
31690, 7
12720, 5
38000, 6
37000, 6
14750, 5
25250, 7
20474, 7
24750, 7
24250, 6
31500, 8
11190, 5
21110, 7
32500, 6
34500, 7
25220, 8
14500, 5
37250, 8
26220, 7
19190, 6
38000, 6
21000, 6
18470, 7
29720, 6
