Evaluations, Played
1,  103
2,  15
3,  13
4,  2
1,  106
2,  36
3,  18
4,  6
5,  1
1,  33
2,  10
3,  12
4,  2
5,  1
1,  23
2,  11
3,  11
4,  6
5,  4
6,  1
1,  95
2,  14
3,  13
4,  3
5,  3
1,  26
2,  13
3,  8
4,  8
1,  66
2,  19
3,  10
4,  2
1,  85
2,  12
3,  10
4,  10
5,  1
1,  46
2,  27
3,  10
4,  10
1,  101
2,  16
3,  16
4,  4
1,  42
2,  24
3,  11
4,  11
5,  11
1,  46
2,  10
3,  11
4,  6
5,  1
1,  80
2,  10
3,  15
4,  2
1,  87
2,  12
3,  16
4,  9
5,  1
1,  128
2,  12
3,  27
4,  4
5,  1
1,  128
2,  15
3,  14
4,  1
1,  27
2,  10
3,  5
4,  4
5,  3
6,  2
7,  1
1,  10
2,  21
3,  10
4,  10
1,  101
2,  17
3,  15
4,  13
5,  3
6,  1
1,  138
2,  23
3,  2
1,  67
2,  22
3,  17
4,  9
5,  1
1,  31
2,  14
3,  10
4,  4
1,  136
2,  10
3,  11
4,  6
5,  1
1,  43
2,  16
3,  10
4,  4
5,  1
1,  48
2,  11
3,  14
4,  10
5,  2
6,  2
1,  122
2,  19
3,  10
4,  3
1,  133
2,  29
3,  13
4,  13
5,  13
1,  121
2,  15
3,  10
4,  10
1,  82
2,  17
3,  21
4,  10
5,  10
6,  10
1,  93
2,  13
3,  21
4,  4
5,  1
1,  35
2,  19
3,  10
4,  1
1,  88
2,  13
3,  27
4,  13
5,  2
1,  137
2,  30
3,  10
4,  10
5,  1
1,  102
2,  19
3,  11
4,  5
5,  1
1,  106
2,  17
3,  12
4,  7
1,  136
2,  20
3,  16
4,  7
5,  1
1,  83
2,  10
3,  11
4,  7
5,  1
1,  61
2,  15
3,  10
4,  2
1,  54
2,  25
3,  15
4,  3
1,  57
2,  15
3,  16
4,  10
5,  2
6,  2
1,  62
2,  35
3,  12
4,  4
5,  2
1,  99
2,  15
3,  13
4,  11
5,  1
1,  126
2,  22
3,  22
4,  10
5,  10
1,  42
2,  19
3,  7
1,  65
2,  23
3,  23
4,  23
1,  105
2,  13
3,  21
4,  5
5,  5
1,  107
2,  32
3,  11
4,  3
1,  122
2,  19
3,  18
4,  11
5,  1
1,  104
2,  28
3,  16
4,  7
5,  1
1,  65
2,  16
3,  12
4,  7
5,  7
1,  76
2,  24
3,  14
4,  14
1,  89
2,  19
3,  20
4,  10
5,  1
1,  64
2,  31
3,  14
4,  4
1,  17
2,  15
3,  15
4,  4
1,  23
2,  15
3,  17
4,  7
5,  1
1,  15
2,  12
3,  4
4,  1
1,  100
2,  15
3,  21
4,  10
5,  3
6,  1
1,  107
2,  24
3,  10
4,  2
5,  1
1,  84
2,  18
3,  12
1,  37
2,  42
3,  11
4,  4
1,  84
2,  14
3,  22
4,  10
5,  2
6,  1
1,  106
2,  27
3,  13
4,  12
5,  4
6,  4
7,  4
1,  101
2,  10
3,  11
4,  3
5,  1
1,  257
2,  11
3,  4
4,  1
1,  91
2,  23
3,  12
4,  2
1,  33
2,  13
3,  19
4,  3
5,  1
1,  17
2,  10
3,  6
4,  2
1,  57
2,  12
3,  20
4,  8
5,  1
1,  131
2,  28
3,  13
4,  1
1,  107
2,  24
3,  10
4,  8
5,  1
1,  85
2,  10
3,  12
4,  6
5,  1
1,  53
2,  38
3,  12
4,  9
5,  2
1,  105
2,  22
3,  17
4,  8
5,  8
6,  8
1,  152
2,  35
3,  21
4,  21
1,  96
2,  12
3,  12
4,  12
5,  12
1,  59
2,  24
3,  10
4,  2
1,  107
2,  23
3,  15
4,  10
5,  2
1,  104
2,  12
3,  21
4,  7
1,  138
2,  24
3,  14
4,  10
5,  1
1,  131
2,  30
3,  24
4,  5
5,  1
1,  97
2,  22
3,  10
4,  4
1,  127
2,  24
3,  19
4,  2
5,  1
1,  52
2,  36
3,  14
4,  5
1,  42
2,  15
3,  13
4,  5
5,  2
1,  38
2,  10
3,  3
4,  3
1,  104
2,  17
3,  12
4,  12
1,  128
2,  24
3,  13
1,  97
2,  11
3,  21
4,  12
5,  2
1,  39
2,  12
3,  13
4,  2
1,  264
2,  14
3,  3
4,  3
1,  45
2,  14
3,  10
4,  2
1,  48
2,  12
3,  5
4,  2
5,  1
1,  105
2,  19
3,  14
4,  7
5,  1
6,  1
1,  109
2,  27
3,  11
4,  15
5,  9
6,  1
1,  141
2,  32
3,  12
4,  2
1,  46
2,  26
3,  11
4,  1
1,  58
2,  33
3,  8
1,  132
2,  27
3,  17
4,  5
1,  82
2,  33
1,  30
2,  15
3,  18
4,  1
1,  35
2,  13
3,  2
4,  2
1,  89
2,  19
3,  10
4,  3
1,  96
2,  18
3,  16
4,  6
1,  135
2,  24
3,  10
4,  12
5,  3
1,  59
2,  18
3,  11
4,  8
5,  8
1,  53
2,  16
3,  13
4,  13
1,  87
2,  14
3,  16
4,  16
5,  16
1,  148
2,  17
3,  10
4,  10
1,  97
2,  19
3,  12
4,  10
5,  5
6,  1
1,  103
2,  13
3,  19
4,  10
5,  10
1,  66
2,  14
3,  10
4,  10
5,  1
1,  66
2,  12
3,  10
4,  2
1,  98
2,  30
3,  11
4,  10
5,  1
1,  50
2,  30
3,  24
4,  1
5,  1
1,  116
2,  17
3,  29
4,  29
1,  57
2,  36
3,  20
4,  11
5,  3
1,  53
2,  36
3,  16
4,  4
1,  93
2,  17
3,  10
4,  3
5,  1
1,  101
2,  20
3,  18
4,  10
5,  3
1,  97
2,  32
3,  10
4,  4
1,  85
2,  10
3,  11
4,  3
5,  1
