Evaluations, Played
14123, 6
29750, 6
36000, 7
35250, 7
14500, 5
25250, 6
26000, 6
22250, 6
16750, 5
24500, 6
20750, 6
25250, 6
27500, 6
22250, 6
15250, 5
28000, 5
34000, 5
21250, 5
18500, 6
14500, 5
23750, 6
25250, 6
10500, 4
35750, 6
29750, 6
25870, 6
16250, 6
9872, 6
32744, 7
6252, 6
14490, 5
12120, 5
16750, 5
30500, 6
23750, 6
4337, 5
26000, 6
30750, 7
23000, 6
22250, 6
19870, 6
15994, 6
3748, 5
26750, 6
17500, 5
9810, 5
9710, 5
16000, 5
31250, 6
24250, 5
32750, 6
13750, 5
9870, 5
16000, 5
16000, 5
24750, 7
15774, 6
14310, 5
21500, 6
30500, 6
5992, 6
16000, 5
23870, 7
6372, 4
29614, 7
22250, 6
12040, 5
20500, 5
1274, 5
17540, 6
20620, 6
4376, 5
4490, 4
28490, 7
16244, 7
27500, 6
13750, 5
20500, 5
10496, 6
24500, 6
22250, 6
3620, 4
13620, 5
20000, 6
16500, 4
21620, 7
10870, 6
24250, 5
20750, 6
4872, 4
5816, 5
32000, 6
9120, 5
14624, 7
35750, 6
16500, 4
28250, 6
29000, 6
12240, 5
22250, 6
20500, 5
19000, 5
5213, 5
13124, 7
13990, 6
21500, 6
26000, 6
35250, 7
8380, 6
13740, 5
34250, 6
22750, 5
20000, 6
5768, 5
21500, 6
23750, 6
23000, 6
22060, 6
12500, 3
22750, 5
38000, 6
22120, 6
27500, 6
16000, 5
27000, 7
19120, 6
26990, 7
19000, 5
7246, 5
28250, 6
32250, 7
11250, 4
28250, 6
4872, 4
26750, 6
28250, 6
28250, 6
23000, 6
16874, 7
16750, 5
23750, 6
30250, 5
23000, 6
9990, 5
16750, 5
33500, 6
27500, 6
20500, 5
26000, 6
9990, 5
19250, 6
14620, 6
25000, 5
20500, 5
27500, 6
4497, 4
12620, 4
32240, 7
16870, 6
22250, 6
25000, 5
26500, 5
26250, 7
4370, 4
20500, 5
29750, 6
21500, 6
21500, 6
18370, 6
21750, 7
28250, 6
28250, 6
2630, 4
30500, 6
24370, 6
20560, 6
29750, 6
53250, 7
3050, 7
8750, 3
5124, 5
18250, 5
23750, 6
26750, 6
24250, 5
24500, 6
22370, 7
34500, 7
21500, 6
19750, 5
19250, 6
6121, 5
15990, 5
32000, 6
24620, 7
26750, 6
16624, 6
38000, 6
26000, 6
26750, 6
26750, 6
17740, 6
4242, 5
27500, 6
32500, 5
15790, 5
18500, 6
30500, 6
13750, 5
17560, 6
11174, 6
10740, 5
26120, 7
7621, 5
23750, 6
13876, 7
13790, 6
23000, 6
30740, 7
44000, 6
5371, 5
6121, 5
31250, 6
12250, 5
15240, 5
24250, 5
13000, 5
16146, 6
22990, 6
28250, 6
19000, 5
17750, 6
17500, 5
21250, 5
20178, 6
21250, 5
26500, 5
5307, 5
19870, 6
21750, 7
25250, 6
29990, 7
26750, 6
26500, 5
13000, 5
19750, 5
15250, 5
18240, 5
13620, 5
17500, 5
33500, 6
23000, 6
25250, 6
22000, 5
