Evaluations, Played
1184, 4
4948, 5
17850, 6
17400, 6
12450, 6
19200, 6
21150, 7
10650, 6
9150, 5
25650, 7
17850, 6
16950, 6
16500, 6
16350, 5
20250, 7
10650, 6
14100, 5
15000, 5
15150, 6
14790, 6
16320, 5
8670, 5
15150, 6
11850, 5
16350, 5
4176, 6
8820, 6
18900, 7
2352, 5
16950, 6
11400, 5
3128, 5
11550, 6
13800, 6
22350, 6
14250, 6
10950, 5
13650, 5
14700, 6
9600, 5
16950, 6
14700, 6
9600, 5
12750, 5
14550, 5
13710, 6
17100, 7
15900, 5
16350, 5
17740, 6
18750, 6
11400, 5
16800, 5
10050, 5
1178, 4
11370, 5
6810, 5
8700, 5
14550, 5
3694, 5
14250, 6
24900, 8
744, 4
823, 3
13350, 6
13320, 6
12900, 6
15120, 6
8346, 6
5322, 5
10500, 5
11400, 5
9600, 5
2344, 5
8340, 5
14700, 6
10500, 5
11974, 7
11550, 6
9600, 5
19650, 6
4178, 6
15120, 6
10474, 6
10920, 5
19200, 6
10050, 5
18750, 6
10920, 5
4121, 5
4500, 4
13350, 6
744, 4
16050, 6
9840, 6
20700, 7
10050, 5
15720, 7
17400, 6
14977, 6
1626, 4
5937, 5
13200, 5
9750, 6
16590, 6
16050, 6
13500, 7
18300, 6
9574, 6
9600, 5
18750, 6
21000, 6
4197, 5
4818, 5
4628, 6
2806, 6
862, 4
18300, 6
17400, 6
12450, 6
18990, 7
8670, 5
11850, 5
18300, 6
11850, 5
17400, 6
8352, 7
10950, 5
4346, 5
2352, 5
17850, 6
13650, 5
15390, 7
1116, 5
10050, 5
20100, 6
14250, 6
12750, 5
15570, 6
9150, 5
19200, 6
15600, 6
12300, 5
15150, 6
6150, 3
8550, 4
9600, 5
18300, 6
16050, 6
13440, 6
16500, 6
20100, 6
7500, 3
16200, 7
16050, 6
3147, 4
16500, 6
3690, 4
21000, 6
18750, 6
14100, 5
3252, 5
12450, 6
12870, 6
4872, 5
13800, 6
12900, 6
3343, 5
4620, 5
16050, 6
11970, 6
20550, 6
16950, 6
14700, 6
16050, 6
15600, 6
9600, 5
9600, 5
15150, 6
9150, 5
10500, 5
6810, 5
10590, 5
19500, 5
9720, 6
14658, 5
5970, 5
21420, 6
14550, 5
10950, 5
15240, 6
2305, 6
12540, 6
4620, 5
16020, 6
15510, 6
18000, 7
9840, 6
8700, 5
16500, 6
16500, 6
20790, 7
3048, 6
13800, 6
20100, 6
15150, 6
15900, 5
18870, 7
13800, 6
13800, 6
5658, 5
15450, 5
13200, 5
2922, 4
12300, 5
18450, 7
12300, 5
18300, 6
3240, 4
15990, 5
5995, 6
3717, 5
11850, 5
9150, 5
11400, 5
14100, 5
12300, 5
12000, 6
12090, 6
19200, 6
19650, 6
13350, 6
9900, 4
8550, 4
9600, 5
15150, 6
13650, 5
1048, 3
10050, 5
20100, 6
18450, 7
9900, 4
11400, 5
11400, 5
14250, 6
15120, 6
13650, 5
7890, 5
18300, 6
14260, 7
2230, 5
20250, 7
12990, 6
8700, 5
11970, 6
9246, 6
7690, 5
16050, 6
13800, 6
16170, 7
