Evaluations, Played
21000, 6
22125, 6
19500, 5
46125, 7
24315, 6
20958, 7
23250, 6
25860, 7
8332, 5
30375, 7
26224, 8
19095, 6
31095, 8
32625, 7
25860, 7
28845, 8
27750, 6
8540, 6
24375, 6
6901, 6
37845, 8
30375, 7
18750, 6
27000, 7
19875, 6
21750, 5
33750, 7
31500, 7
32250, 6
39375, 7
30120, 7
29190, 7
33750, 7
24375, 6
29250, 7
29250, 7
36000, 7
17565, 6
25875, 7
7480, 6
29235, 7
35595, 8
24735, 7
36000, 7
13110, 6
25500, 6
5627, 5
27000, 7
45000, 7
13470, 6
28125, 7
6118, 6
24750, 7
426, 6
22125, 6
22125, 6
32625, 7
3206, 6
14235, 6
47250, 7
24375, 6
15720, 6
33750, 7
29625, 5
23250, 6
17970, 6
21750, 5
19500, 5
21000, 6
7148, 7
28125, 7
10103, 7
15000, 5
33750, 7
11226, 7
33750, 7
30375, 7
29250, 7
10489, 6
37500, 8
18750, 6
9874, 6
31500, 7
23565, 7
23970, 7
14595, 6
17625, 6
26625, 6
17490, 6
31500, 7
7482, 6
40125, 6
11226, 7
34470, 8
24375, 6
9743, 7
21000, 6
32625, 7
21000, 6
24375, 6
27345, 7
15720, 6
32625, 7
36720, 8
18351, 8
14200, 7
38610, 8
15360, 6
25500, 6
36000, 7
23565, 7
19875, 6
24375, 6
38625, 8
16125, 5
13470, 6
84375, 7
25864, 8
15720, 6
9720, 5
28125, 7
28875, 6
22875, 5
15000, 5
30000, 6
29595, 7
27375, 5
27750, 6
2442, 6
38625, 8
30375, 7
37125, 7
12351, 7
13999, 7
19620, 6
26625, 6
13560, 5
60000, 8
24375, 6
21000, 6
19500, 5
8214, 6
23970, 7
20989, 7
27750, 6
9364, 6
13110, 6
28125, 7
33750, 7
23250, 6
13069, 7
23250, 6
30000, 6
28125, 7
16875, 4
22125, 6
29250, 7
12353, 7
23250, 6
22125, 6
5985, 5
25095, 7
32625, 7
10864, 7
26625, 6
5805, 7
25875, 7
23250, 6
23250, 6
23250, 6
19875, 6
17290, 6
45375, 8
24375, 6
29595, 7
26625, 6
35685, 7
23250, 6
34875, 7
27750, 6
22875, 5
28875, 6
21345, 6
31500, 7
30720, 7
29250, 7
22125, 6
22365, 7
27345, 7
9832, 6
37875, 6
23595, 6
22125, 6
36000, 7
28125, 7
34875, 7
19875, 6
20595, 7
28875, 6
31125, 6
37125, 7
10095, 6
52875, 7
30375, 7
39375, 7
11224, 7
7202, 6
17625, 6
29595, 7
49500, 7
16860, 7
22125, 6
38250, 7
19110, 7
36000, 7
43065, 8
25500, 6
23250, 6
8123, 6
16125, 5
16249, 7
26610, 6
100125, 7
31500, 7
18990, 7
26625, 6
34875, 7
37125, 7
13875, 5
3788, 6
19875, 6
17250, 5
19875, 6
14595, 6
41625, 7
16125, 5
22500, 7
40470, 9
23614, 8
23595, 6
35595, 8
26985, 7
23250, 6
9000, 4
24735, 7
8332, 5
13065, 6
26625, 6
9165, 6
39375, 7
32625, 7
15360, 6
17970, 6
12750, 5
24375, 6
25095, 7
38250, 7
32625, 7
12353, 7
25500, 6
25500, 6
31440, 7
34875, 7
33750, 7
22125, 6
33990, 8
30375, 7
11124, 6
41250, 6
21000, 6
16845, 6
19500, 5
38250, 7
15000, 5
25815, 7
54360, 8
28875, 6
25095, 7
20235, 7
4514, 6
27750, 6
22125, 6
9726, 6
15366, 7
36000, 7
25860, 7
19875, 6
13075, 7
25819, 8
22875, 5
27720, 8
13071, 7
23250, 6
29250, 7
31500, 7
29250, 7
23190, 6
43125, 8
24696, 8
16845, 6
16095, 7
26224, 8
19470, 7
30720, 7
34500, 6
21720, 7
24690, 7
13875, 5
24375, 6
27750, 6
21240, 7
27000, 7
33750, 7
27345, 7
22845, 7
27345, 7
40500, 7
25875, 7
26625, 6
18375, 5
26625, 6
34875, 7
28125, 7
19500, 5
23250, 6
36000, 7
24375, 6
16845, 6
16125, 5
24375, 6
19740, 6
27000, 7
27750, 6
42750, 7
27750, 6
33375, 6
11224, 7
31125, 6
29250, 7
42000, 8
32625, 7
21240, 7
28125, 7
22245, 7
506, 5
9128, 6
22485, 7
17614, 7
37470, 7
11625, 5
21720, 7
18750, 6
17625, 6
24690, 7
23370, 7
9726, 6
22125, 6
28125, 7
15000, 5
29250, 7
19470, 7
33375, 6
25875, 7
13110, 6
12345, 6
19815, 6
41625, 7
17220, 7
11234, 8
19500, 5
12375, 4
24375, 6
30375, 7
10500, 5
22125, 6
22470, 6
28125, 7
74250, 7
17250, 5
14457, 7
23370, 7
25500, 6
24375, 6
27750, 6
15728, 7
21240, 7
29115, 7
17625, 6
20235, 7
32625, 7
25095, 7
16125, 5
29250, 7
32625, 7
23250, 6
22845, 7
33990, 8
27750, 6
36375, 8
32625, 7
32625, 7
32250, 6
18375, 5
17610, 6
31500, 7
26625, 6
24375, 6
31125, 6
32625, 7
28470, 7
26940, 7
20625, 5
30375, 7
22470, 6
57750, 8
17220, 7
39375, 7
11226, 7
25875, 7
8234, 7
30375, 7
29250, 7
21724, 8
20595, 7
27345, 7
28875, 6
28875, 6
40875, 8
32625, 7
23970, 7
23250, 6
41625, 7
40500, 7
19500, 5
30375, 7
29250, 7
34875, 7
26625, 6
32625, 7
37125, 7
7124, 6
17625, 6
23250, 6
56250, 7
16444, 7
18345, 7
24750, 7
36720, 8
23250, 6
31125, 6
29196, 8
39375, 7
15240, 6
29250, 7
21360, 7
23625, 7
19875, 6
6365, 6
27000, 7
20595, 7
33000, 8
26625, 6
33750, 7
26869, 8
43125, 8
32625, 7
26224, 8
24726, 7
24375, 6
37125, 7
41985, 8
23610, 7
34875, 7
19875, 6
29565, 8
23250, 6
6990, 5
3873, 6
13875, 5
19875, 6
21720, 7
23745, 7
28875, 6
11985, 6
32220, 8
21720, 7
36000, 7
24375, 6
41250, 6
27750, 6
7486, 6
20940, 6
28125, 7
29595, 7
21000, 6
31500, 7
13470, 6
10125, 4
524, 5
3281, 8
29970, 8
28875, 6
16125, 5
38250, 7
30375, 7
27990, 7
37125, 7
22845, 7
18750, 6
4434, 5
17250, 5
16440, 6
33375, 6
21000, 6
13482, 7
31500, 7
32625, 7
6355, 6
7915, 6
17250, 5
37125, 7
16440, 6
16845, 6
6858, 6
30375, 7
25500, 6
21000, 6
21720, 7
26625, 6
30720, 7
22845, 7
22125, 6
30375, 7
28875, 6
19071, 8
51000, 8
22125, 6
25500, 6
25500, 6
21000, 6
31500, 7
19860, 6
25500, 6
31125, 6
32625, 7
20224, 7
37125, 7
11664, 7
25500, 6
36000, 7
26625, 6
13470, 6
29250, 7
20625, 5
26625, 6
4887, 7
32625, 7
24750, 7
14190, 6
40875, 8
42750, 7
25819, 8
34470, 8
12930, 6
7484, 6
15724, 7
37125, 7
13110, 6
6345, 5
10500, 5
19875, 6
35940, 7
23250, 6
494, 4
44625, 6
14243, 7
18345, 7
24375, 6
38250, 7
36000, 7
34875, 7
8957, 5
12750, 5
51000, 8
23250, 6
5994, 6
35625, 6
22470, 6
49875, 8
27000, 7
30000, 6
27750, 6
25500, 6
32625, 7
11220, 6
27750, 6
19500, 5
43125, 8
28875, 6
17250, 5
25500, 6
36375, 8
3852, 6
17220, 7
32940, 8
32625, 7
8206, 6
46125, 7
11989, 7
19500, 5
31500, 7
54375, 8
26625, 6
11228, 7
37470, 7
27750, 6
17490, 6
21345, 6
39375, 7
24375, 6
19875, 6
27720, 8
10460, 6
23970, 7
24375, 6
11230, 7
7480, 6
21000, 6
28065, 7
9661, 6
19815, 6
21000, 6
33750, 7
18375, 5
25125, 5
7116, 6
26940, 7
20235, 7
13875, 5
30375, 7
31500, 7
25860, 7
37125, 7
33750, 7
14235, 6
29595, 7
14235, 6
22125, 6
13474, 7
27750, 6
28125, 7
39375, 7
13065, 6
30375, 7
3170, 5
16708, 6
16860, 7
9368, 6
36000, 7
26985, 7
7486, 7
27750, 6
15720, 6
14601, 7
4261, 5
39750, 8
19875, 6
23250, 6
39750, 8
37125, 7
27345, 7
29235, 7
32220, 8
35250, 8
23250, 6
33375, 6
17974, 7
34875, 7
28125, 7
22125, 6
33750, 7
22125, 6
28125, 7
30375, 7
27750, 6
34875, 7
34125, 8
22125, 6
34470, 8
30375, 7
45375, 8
20224, 7
34815, 7
7124, 6
31500, 7
25095, 7
30720, 7
32625, 7
28845, 8
29250, 7
27345, 7
25500, 6
7707, 5
21240, 7
16485, 6
28125, 7
26625, 6
11220, 6
47625, 8
25819, 8
29250, 7
32625, 7
19474, 8
43110, 8
38250, 7
11625, 5
