Evaluations, Played
54750, 7
18490, 6
41750, 6
39750, 7
47250, 7
40698, 7
66864, 8
54250, 8
4584, 4
10616, 5
6524, 6
23470, 6
18720, 5
41750, 6
32750, 6
30984, 7
23970, 5
17352, 6
60250, 8
19110, 5
22250, 6
41000, 6
44750, 6
42500, 6
32480, 7
25360, 6
38474, 7
27500, 6
18230, 7
23866, 7
18870, 5
44500, 8
51000, 7
29000, 6
23000, 6
17500, 5
31490, 7
30190, 6
39000, 7
43500, 7
22250, 6
45470, 7
42860, 7
22750, 5
39750, 7
40500, 7
33440, 7
26470, 6
16500, 4
20220, 5
24970, 6
63000, 7
29750, 6
408, 3
39444, 8
41500, 5
23110, 6
10110, 5
21250, 5
46250, 6
62694, 8
32250, 7
33110, 7
33000, 4
27624, 8
27500, 6
26000, 6
64500, 7
39500, 6
43500, 7
31500, 7
52974, 8
60740, 7
39360, 8
74500, 8
43444, 9
40500, 7
27500, 6
20500, 5
28250, 6
57250, 8
59250, 7
36500, 6
17190, 5
50250, 7
41970, 8
34250, 6
19000, 5
22750, 5
35250, 7
77000, 9
35500, 5
38720, 7
8970, 5
27220, 6
38250, 7
44250, 7
16110, 5
39500, 6
26360, 7
33750, 7
35250, 7
41000, 6
28974, 8
45470, 7
24694, 6
41000, 6
25610, 7
25000, 5
51000, 7
32940, 8
38244, 8
27614, 7
13470, 5
59250, 7
44220, 8
26000, 6
20250, 4
36000, 7
29750, 6
65250, 7
33000, 7
15250, 5
32000, 6
33500, 6
56250, 7
38250, 7
30500, 6
5032, 6
29750, 6
29240, 7
41250, 7
33000, 7
16000, 5
29000, 6
25360, 6
18257, 6
37500, 7
22360, 6
33500, 6
49860, 8
42440, 7
29500, 5
33500, 6
33000, 7
23860, 6
25000, 5
72750, 7
42500, 6
39500, 6
46190, 7
32970, 8
22750, 5
40940, 7
39500, 6
23220, 5
43500, 7
17228, 6
45750, 7
41720, 7
46610, 7
25250, 6
63750, 7
27250, 5
27974, 7
28696, 7
38750, 6
53250, 7
9258, 6
71500, 8
43500, 7
10725, 5
40500, 7
29000, 6
25728, 7
27250, 5
40250, 6
21220, 6
27500, 6
23500, 5
32750, 6
132750, 6
38000, 6
17478, 7
53500, 8
37500, 7
34250, 6
70750, 8
21970, 6
41250, 7
22250, 6
28720, 6
25666, 6
57750, 7
47500, 8
23864, 7
4248, 6
29720, 7
32500, 5
76500, 7
35750, 6
29720, 7
43220, 7
37500, 7
19750, 5
28220, 7
13200, 6
44750, 6
33470, 7
32750, 6
24610, 6
22734, 7
42740, 7
31250, 6
5983, 5
45444, 8
57000, 7
21976, 7
41250, 7
31250, 6
11560, 6
28364, 7
70500, 7
41250, 7
32250, 7
22720, 6
37250, 6
30500, 6
17970, 5
29470, 6
42000, 7
30000, 7
34970, 7
20220, 5
30500, 6
35000, 6
40250, 6
45750, 7
36750, 7
62720, 7
45000, 7
32360, 7
69000, 7
32470, 6
53610, 8
8052, 6
53250, 7
50250, 7
13560, 7
25250, 6
40250, 6
35000, 6
42476, 8
41250, 7
26500, 5
20000, 6
20500, 5
1792, 4
45750, 7
38250, 7
27750, 7
35250, 7
32750, 6
35750, 6
58190, 7
34494, 8
38120, 7
48000, 7
37250, 6
13500, 4
6504, 7
20860, 6
30500, 6
54720, 8
21940, 6
35750, 6
29470, 6
23474, 7
48360, 8
39440, 7
30500, 6
40500, 7
22750, 5
34500, 7
27500, 6
31610, 7
48000, 7
43940, 7
33454, 9
23500, 5
11232, 6
43500, 7
25750, 5
38000, 6
10124, 6
35750, 6
41250, 7
45500, 6
27440, 7
25488, 6
22470, 5
42000, 7
33224, 7
42000, 7
27470, 7
30500, 6
26448, 7
48720, 8
25244, 7
32250, 7
35240, 7
31250, 6
27500, 6
29720, 7
65500, 8
30470, 7
26500, 5
61500, 7
21980, 7
54750, 7
50720, 7
45500, 6
18240, 8
22360, 6
32000, 6
26000, 6
28190, 7
33500, 6
41060, 7
57750, 7
45740, 7
41750, 6
10488, 7
24250, 5
27946, 7
23220, 5
48750, 7
45750, 7
36220, 6
41250, 7
26000, 6
39000, 7
44750, 6
24500, 6
518, 4
28250, 6
23000, 6
40250, 6
40250, 6
9754, 8
46470, 8
27500, 6
30750, 7
7240, 6
55500, 7
32750, 6
26750, 6
40720, 6
43500, 7
34250, 6
40250, 6
44250, 7
62250, 7
33500, 6
39000, 7
28940, 7
32000, 6
21250, 5
54750, 7
17970, 5
22750, 5
25698, 7
15905, 6
43500, 7
23864, 7
31500, 7
31250, 6
33750, 7
47720, 7
24250, 5
34370, 7
36000, 7
24843, 7
26750, 6
38000, 6
50250, 7
42740, 7
19750, 5
33000, 7
26750, 6
27974, 7
21250, 5
21983, 7
25970, 7
49190, 7
15220, 6
48750, 7
30940, 6
36500, 6
36750, 7
48500, 6
28500, 7
18250, 5
39500, 6
39500, 6
35724, 8
54250, 8
54250, 5
16500, 4
37250, 6
32956, 6
29500, 5
44000, 6
52500, 7
29000, 6
53720, 7
52500, 7
31220, 7
44250, 7
66440, 7
53250, 7
60250, 8
24982, 7
33234, 8
37970, 7
28500, 7
16360, 6
35250, 7
17470, 6
35720, 7
24220, 6
36500, 6
54000, 7
37500, 7
43250, 6
41720, 7
43500, 7
34440, 6
40500, 7
25000, 5
19360, 6
22220, 7
66000, 7
56478, 7
22696, 7
37250, 6
34250, 6
30220, 6
60500, 6
28250, 6
46250, 6
56250, 7
26000, 6
23000, 6
37610, 7
41250, 7
55750, 8
30500, 6
22250, 6
38250, 7
45500, 6
7970, 4
42360, 8
31240, 6
50864, 7
52500, 7
27500, 6
11970, 5
41720, 7
28750, 5
47250, 7
34500, 7
11230, 7
34970, 7
40000, 5
42500, 6
34490, 7
9726, 5
31940, 7
38750, 6
45470, 7
42000, 7
40220, 7
46750, 8
30000, 7
33000, 7
35750, 6
36750, 7
28000, 5
56250, 7
36750, 7
44190, 8
33500, 6
25250, 6
60750, 7
27980, 7
