Evaluations, Played
14700, 6
22650, 5
23250, 6
18660, 6
16950, 6
15000, 5
25650, 7
2230, 5
22800, 6
21450, 6
12150, 4
14250, 6
15600, 6
13320, 6
3972, 5
11400, 5
9450, 4
15450, 5
14700, 6
17644, 8
16350, 5
19050, 5
19114, 7
12300, 5
13950, 4
5530, 6
6420, 5
3972, 5
2808, 5
12840, 5
16440, 5
12900, 6
26400, 6
8820, 6
12420, 6
6973, 5
9600, 5
9600, 5
23400, 7
19650, 6
15600, 6
8100, 4
10950, 5
15900, 5
11400, 5
18810, 7
7800, 5
17850, 6
15750, 7
20700, 7
21900, 6
16950, 6
13800, 6
7170, 4
14550, 5
4920, 4
12810, 6
3964, 6
20700, 7
15450, 5
22950, 7
12900, 6
9600, 5
2233, 4
6870, 5
16020, 6
6971, 6
14100, 5
15000, 5
26400, 6
11400, 5
15600, 6
16800, 5
10500, 5
17640, 7
27000, 7
18300, 6
11070, 6
6750, 4
12450, 6
23850, 7
12424, 7
14524, 6
3132, 5
16650, 4
11070, 6
18450, 7
20250, 7
19200, 6
4346, 5
9960, 5
11850, 5
18150, 5
19200, 6
2350, 5
18450, 4
15450, 5
14250, 6
22590, 7
8610, 5
21600, 7
10950, 5
16050, 6
12570, 7
11940, 5
12900, 6
10350, 4
13350, 6
16920, 6
15690, 6
21300, 5
7650, 4
14700, 6
6973, 5
10474, 6
10050, 5
3696, 5
4499, 5
17250, 5
16950, 6
18450, 7
11850, 5
17400, 6
10500, 5
14250, 6
14550, 5
3258, 5
25500, 6
5212, 5
17850, 6
3750, 2
18600, 5
13290, 5
3597, 4
13710, 6
14550, 5
19050, 8
25500, 6
4620, 5
11640, 6
30900, 6
15600, 6
15270, 7
19500, 5
18450, 7
25950, 6
21450, 6
7350, 5
10500, 5
15600, 6
10500, 5
14700, 6
12450, 6
18720, 6
15120, 6
3207, 5
12420, 6
28440, 7
11850, 5
16050, 6
18750, 6
10890, 4
12300, 5
2686, 6
9510, 5
12870, 6
11290, 5
6870, 5
20100, 6
14250, 6
10950, 5
6640, 4
18000, 7
18300, 6
16950, 6
15450, 5
13500, 4
16950, 6
8790, 5
17850, 6
17100, 7
9510, 5
25740, 7
17850, 6
20100, 6
17010, 7
15600, 6
10050, 5
20100, 6
12990, 6
15000, 5
3267, 5
18390, 6
9270, 6
16920, 6
16500, 6
16350, 5
6540, 5
23400, 7
5504, 6
12900, 6
16050, 6
3042, 5
8168, 6
18000, 7
11440, 6
15750, 7
17850, 6
22350, 6
9600, 5
10027, 6
3252, 5
28800, 7
2757, 5
13800, 6
6342, 6
11400, 5
17850, 6
10440, 4
3450, 3
4836, 6
4121, 5
8550, 4
16800, 5
13200, 5
8340, 5
15870, 5
9600, 5
32640, 8
15900, 5
13624, 6
15570, 6
1110, 3
22590, 7
15600, 6
4350, 3
9870, 4
6371, 5
7320, 5
19050, 5
13320, 6
8340, 5
13200, 5
16950, 6
13650, 5
24270, 7
10350, 4
10650, 6
12870, 6
18450, 7
17400, 6
17550, 7
4140, 4
15150, 6
20250, 7
15540, 5
12340, 6
14700, 6
16050, 6
2220, 4
14100, 5
2352, 5
13200, 5
21600, 7
12990, 6
15000, 5
10500, 5
14100, 5
2892, 5
15420, 5
10500, 5
10050, 5
19200, 6
17190, 7
6300, 4
8250, 5
12810, 6
9514, 6
10624, 7
3240, 4
12420, 6
17400, 6
12750, 5
22800, 6
21900, 6
21000, 6
13620, 5
16020, 6
4123, 4
23250, 6
12972, 5
15000, 5
13350, 6
18750, 6
16350, 5
2220, 4
18660, 6
14670, 6
3792, 5
22500, 7
15450, 5
18300, 6
18750, 6
9558, 5
13660, 6
13800, 6
18750, 6
13650, 5
29700, 7
31050, 7
17250, 5
14700, 6
13800, 6
10050, 5
5300, 6
16350, 5
12270, 5
16500, 6
20100, 6
10500, 5
5921, 5
6876, 6
15000, 5
15060, 6
10950, 5
20850, 5
16050, 6
18900, 7
15570, 6
20550, 6
13350, 6
11400, 5
18541, 5
18750, 6
13770, 6
3147, 4
13350, 6
10650, 6
19200, 6
16950, 6
15150, 6
15000, 5
17850, 6
17250, 5
8070, 4
17400, 6
20250, 7
7200, 4
19350, 7
17700, 5
10797, 7
18750, 6
14550, 5
14550, 5
19950, 5
23250, 6
15900, 5
9900, 4
9570, 5
20250, 7
20100, 6
11960, 6
21450, 6
8700, 5
12300, 5
21900, 6
24300, 7
25200, 7
7770, 5
17700, 5
17700, 5
19200, 6
24150, 6
10500, 5
20100, 6
12120, 7
15000, 5
21540, 6
17850, 6
19200, 6
17850, 6
13320, 6
14700, 6
25950, 6
20700, 7
12424, 7
12750, 5
15690, 6
10500, 5
17850, 6
11400, 5
13350, 6
4649, 4
19620, 6
31350, 6
23250, 6
4500, 4
10500, 5
14700, 6
5070, 5
23700, 6
16050, 6
20550, 6
10500, 5
23400, 7
15600, 6
13950, 4
12000, 6
5970, 5
12900, 6
19200, 6
13200, 5
24960, 6
4645, 6
11640, 6
9000, 4
3717, 5
11850, 5
18540, 7
13200, 5
14490, 7
22350, 6
7013, 6
11670, 7
15600, 6
9600, 5
18300, 6
21000, 6
15150, 6
11400, 5
12300, 5
12090, 6
12300, 5
4860, 4
10050, 5
16110, 7
20100, 6
15900, 5
21450, 6
17400, 6
16200, 7
25950, 6
17400, 6
18150, 5
4958, 6
17370, 6
8794, 6
12870, 6
19200, 6
13650, 5
9600, 5
16950, 6
14700, 6
15120, 6
16140, 6
16650, 7
19770, 7
18300, 6
18900, 7
13260, 6
15570, 6
10050, 5
11400, 5
20550, 6
23100, 5
4500, 4
18600, 5
11850, 5
13624, 6
17700, 5
16500, 6
10500, 5
15600, 6
13290, 5
10950, 5
299, 2
12750, 5
22350, 6
16050, 6
24750, 7
13894, 7
22350, 6
25050, 6
8550, 4
17550, 7
19200, 6
23700, 6
12750, 5
17400, 6
12750, 5
17250, 5
2812, 6
11640, 6
6300, 4
2220, 4
14700, 6
15150, 6
16800, 5
20550, 6
13050, 4
11850, 5
17040, 6
17550, 4
18750, 6
22920, 7
6782, 5
10350, 4
16050, 6
20850, 5
11400, 5
9570, 5
21600, 7
4800, 5
12300, 5
2749, 5
15150, 6
15270, 7
14140, 6
5954, 5
10050, 5
18750, 6
18750, 6
14260, 7
19050, 5
19500, 5
17400, 6
16500, 6
18750, 6
3147, 4
10500, 5
21000, 6
5921, 5
13350, 6
5944, 5
10950, 5
11400, 5
15990, 5
16020, 6
17400, 6
14520, 5
15600, 6
16350, 5
18300, 6
4474, 5
13800, 6
16050, 6
9660, 6
24000, 8
16950, 6
4796, 5
23550, 5
15000, 5
23370, 7
12900, 6
6941, 6
4140, 4
5202, 7
8160, 5
15000, 5
2224, 5
14700, 6
8250, 5
20550, 6
15000, 5
10950, 5
20100, 6
25050, 6
18300, 6
21900, 6
1310, 5
3570, 4
29100, 6
13176, 6
12300, 5
16950, 6
21900, 6
3120, 4
16500, 6
23400, 7
23760, 7
13770, 6
18990, 7
16950, 6
17700, 5
12750, 5
15150, 6
9600, 5
10500, 5
10950, 5
17850, 6
15419, 7
16800, 5
21870, 6
15240, 6
11970, 6
16158, 6
11400, 5
10500, 5
15150, 6
17400, 6
15150, 6
3574, 5
7946, 6
18750, 6
9720, 6
25200, 7
15150, 6
18750, 6
15150, 6
17940, 6
14670, 6
1654, 5
15000, 5
15900, 5
21450, 6
2220, 4
9994, 5
21570, 7
16950, 6
16920, 6
13410, 7
2540, 5
16050, 6
22800, 6
24000, 8
18300, 6
11400, 5
13350, 6
21900, 6
20550, 6
18300, 6
17400, 6
18750, 6
29250, 7
17850, 6
23700, 6
10050, 5
12691, 5
15600, 6
20340, 7
12750, 5
17400, 6
24600, 6
18750, 6
12900, 6
14550, 5
13774, 7
4346, 5
16050, 6
20700, 7
12420, 6
16500, 6
16950, 6
13800, 6
16950, 6
12300, 5
11850, 5
12300, 5
6220, 5
11100, 6
14700, 6
11400, 5
10948, 6
14010, 5
11490, 5
9570, 5
11850, 5
22350, 6
9000, 4
21900, 6
13350, 6
14250, 6
20850, 5
8944, 7
22350, 6
16500, 6
14400, 4
8280, 6
10500, 5
24300, 7
15300, 4
6300, 4
24150, 6
16390, 6
11400, 5
16170, 7
1170, 3
16500, 6
12300, 5
14220, 6
9574, 6
10500, 5
14700, 6
16950, 6
22500, 7
15120, 6
20550, 6
13710, 6
12090, 6
24510, 6
8397, 6
19367, 6
12870, 6
14700, 6
2228, 5
15450, 5
14700, 6
20100, 6
14100, 5
7200, 4
10050, 5
14100, 5
8670, 5
9570, 5
25200, 7
8700, 5
17850, 6
22800, 6
17400, 6
5850, 4
20100, 6
15120, 6
11940, 5
10500, 5
14700, 6
16800, 5
4263, 6
2224, 5
23400, 7
14100, 5
16050, 6
15450, 5
18000, 7
20700, 7
9248, 6
18300, 6
9750, 6
7272, 6
12750, 5
13350, 6
9600, 5
13176, 6
16950, 6
14190, 5
6750, 4
28500, 8
25500, 6
12300, 5
13440, 6
20250, 7
24600, 6
22650, 5
25950, 6
1192, 4
8790, 5
12750, 5
5534, 6
24300, 7
15900, 5
12750, 5
23250, 6
10200, 6
26700, 8
2680, 5
16050, 6
12900, 6
16950, 6
20550, 6
18900, 7
24600, 6
19500, 5
19200, 6
12300, 5
15150, 6
8226, 6
13200, 5
20550, 6
29250, 7
6840, 4
2228, 5
14700, 6
15450, 5
14700, 6
15600, 6
13200, 5
22800, 6
14046, 5
20998, 7
10050, 5
11709, 6
15300, 4
17250, 5
3570, 4
16950, 6
12750, 5
18870, 7
7200, 4
9000, 4
23250, 6
26550, 7
10140, 5
16950, 6
20100, 6
14550, 5
15600, 6
20100, 6
12660, 5
12300, 5
17208, 7
24600, 6
16500, 6
17940, 6
13200, 5
9600, 5
7200, 4
4121, 5
12300, 5
35850, 6
16170, 7
18300, 6
16140, 6
23798, 7
16500, 6
21900, 6
10950, 5
19290, 6
8610, 5
20550, 6
14400, 4
19200, 6
19200, 6
7740, 4
10950, 5
5526, 6
16020, 6
19200, 6
12420, 6
8358, 5
15150, 6
17400, 6
21870, 6
19200, 6
18300, 6
12300, 5
21240, 7
5696, 5
16950, 6
15600, 6
15900, 5
16350, 5
20100, 6
22500, 7
2683, 4
13200, 5
15120, 6
19350, 7
18840, 6
16170, 7
14670, 6
4497, 4
10950, 5
11850, 5
22500, 7
15450, 5
7260, 5
15900, 5
15600, 6
21600, 7
23700, 6
12750, 5
7650, 4
16050, 6
13200, 5
23250, 6
1778, 5
18150, 5
13200, 5
7196, 6
21150, 7
7770, 5
22800, 6
10050, 5
15000, 5
381, 5
12900, 6
14400, 7
11400, 5
13350, 6
18720, 6
13350, 6
22140, 7
5824, 5
10050, 5
9150, 5
12000, 6
13650, 5
13770, 6
16050, 6
21450, 6
14670, 6
11460, 6
16050, 6
10050, 5
8164, 6
8528, 5
17250, 5
14700, 6
15600, 6
11850, 5
14220, 6
13350, 6
9600, 5
7271, 5
22440, 6
14100, 5
15450, 5
10744, 7
18750, 6
7770, 5
22800, 6
24600, 6
12846, 6
12390, 5
22050, 7
11850, 5
12300, 5
22500, 7
1338, 5
13350, 6
7298, 5
20100, 6
24750, 7
9000, 4
14700, 6
6420, 5
10050, 5
14849, 6
20100, 6
19200, 6
10500, 5
20550, 6
180, 4
12450, 6
9150, 5
13650, 5
11400, 5
15900, 5
882, 5
21940, 7
8790, 5
3807, 6
14850, 4
18300, 6
3717, 5
15450, 5
19990, 6
16200, 7
6862, 6
16050, 6
17850, 6
24150, 6
11940, 5
19200, 6
16500, 6
20550, 6
10590, 5
10273, 6
2398, 3
19170, 6
8674, 6
11970, 6
16500, 6
8140, 5
5921, 5
7324, 6
9600, 5
14850, 7
4624, 6
12300, 5
10920, 5
16500, 6
17850, 6
13774, 7
10500, 5
23850, 7
17400, 6
14100, 5
764, 5
17250, 5
5940, 4
5948, 5
12900, 6
16920, 6
18300, 6
8172, 6
14590, 6
16500, 6
15150, 6
18000, 7
14550, 5
1340, 5
18300, 6
12750, 5
12300, 5
16050, 6
10050, 5
19740, 6
6750, 4
2472, 4
14670, 6
11550, 6
2623, 3
11400, 5
2220, 4
10950, 5
13650, 5
15900, 5
12900, 6
5547, 5
19650, 6
4107, 5
15000, 5
3058, 5
3254, 5
7320, 5
24300, 7
9900, 4
12000, 6
9450, 4
13200, 5
15900, 5
10950, 5
18750, 6
19320, 7
18870, 7
6146, 5
13200, 5
22050, 7
7650, 4
15720, 7
20250, 7
8610, 5
15450, 5
3690, 4
27450, 7
18360, 7
16350, 5
12450, 6
17850, 6
15150, 6
23850, 7
3702, 6
1190, 5
15450, 5
30000, 6
5848, 5
11040, 5
16950, 6
14160, 6
15600, 6
14700, 6
4590, 4
15750, 7
11550, 6
18150, 5
10500, 5
19350, 4
18540, 7
10050, 5
12750, 5
17400, 6
10350, 4
13200, 5
13650, 5
18150, 5
22458, 6
12000, 6
14700, 6
11400, 5
17250, 5
8100, 4
17550, 7
15450, 5
16350, 5
7770, 5
19800, 7
15600, 6
11850, 5
16500, 6
14940, 7
17700, 5
9450, 4
9490, 5
5070, 5
16500, 6
15150, 6
11400, 5
17400, 6
7260, 5
25950, 6
25050, 6
17250, 5
23400, 7
8940, 6
11550, 6
13200, 5
15150, 6
18750, 6
16500, 6
18900, 7
14700, 6
19320, 7
19650, 6
3882, 5
17850, 6
2232, 5
6814, 6
7650, 4
30900, 6
14340, 6
16050, 6
18450, 7
9450, 4
16500, 6
12750, 5
14550, 5
1770, 5
13650, 5
3446, 5
9000, 4
14700, 6
19200, 6
12396, 6
6971, 6
22350, 6
11400, 5
10950, 5
23850, 7
19050, 5
12900, 6
15570, 6
21900, 6
7033, 6
8220, 5
12750, 5
11850, 5
11250, 4
10950, 5
11381, 6
2697, 4
26400, 6
16500, 6
10050, 5
15900, 5
19200, 6
16050, 6
20100, 6
15600, 6
15000, 5
4842, 5
15600, 6
15120, 6
17220, 5
24600, 6
8610, 5
9270, 6
8700, 5
5217, 6
17400, 6
17250, 5
5850, 4
12150, 4
3570, 4
14100, 5
15900, 5
21600, 7
18750, 6
5232, 5
18750, 6
9246, 6
20100, 6
62550, 6
8220, 5
10050, 5
16500, 6
22590, 7
23550, 5
18300, 6
9210, 6
18450, 7
12750, 5
11850, 5
13200, 5
10500, 5
14250, 6
9090, 4
1783, 4
18750, 6
13350, 6
12300, 5
3147, 4
15900, 5
11550, 6
16500, 6
22500, 7
7170, 4
21690, 7
3124, 5
21000, 6
11820, 5
11250, 4
18450, 7
20400, 5
7770, 5
14550, 5
21900, 6
9150, 5
3492, 5
1290, 3
10950, 5
17700, 5
19650, 6
5970, 5
19650, 6
18600, 5
2100, 3
19200, 6
10500, 5
17400, 6
16950, 6
16050, 6
14340, 6
13320, 6
19650, 6
2922, 4
15600, 6
14250, 6
24750, 7
12300, 5
9000, 4
13650, 5
16020, 6
9495, 7
12300, 5
16920, 6
14140, 6
16920, 6
17400, 6
18150, 5
10050, 5
11550, 6
13200, 5
2678, 5
21450, 6
9840, 6
27000, 7
4121, 5
17850, 6
23550, 8
13800, 6
24600, 6
19650, 6
15600, 6
22800, 6
14220, 6
22050, 7
23250, 6
10950, 5
16500, 6
15000, 5
13350, 6
24150, 6
18450, 7
16020, 6
9720, 6
18450, 7
10050, 5
21600, 7
21150, 7
14670, 6
10800, 4
21000, 6
12000, 3
18750, 6
17550, 7
8220, 5
17850, 6
16500, 6
19650, 6
15120, 6
32400, 7
5921, 5
22050, 7
3120, 4
13800, 6
19200, 6
12900, 6
17850, 6
15450, 5
21600, 7
3000, 3
16050, 6
4628, 6
18750, 6
17670, 5
15600, 6
29400, 8
10594, 6
17850, 6
15600, 6
10500, 5
19200, 6
16590, 6
14670, 6
24150, 6
9150, 5
19200, 6
19650, 6
12750, 5
14550, 5
19770, 7
12300, 5
13650, 5
12750, 5
19650, 6
16440, 5
16500, 6
11850, 5
19350, 7
10144, 6
20250, 7
19650, 6
24300, 7
16500, 6
21000, 6
13200, 5
18000, 7
9000, 4
11850, 5
14100, 5
12900, 3
10800, 4
18450, 7
17850, 6
14220, 6
15000, 5
9690, 5
15150, 6
10050, 5
12900, 6
22500, 7
18750, 6
10950, 5
16950, 6
22350, 6
16950, 6
4800, 3
20646, 7
9120, 5
16290, 7
12300, 5
15900, 5
14196, 6
23250, 6
9598, 5
17850, 6
27000, 7
21000, 6
19170, 6
13200, 5
2394, 7
17550, 7
27300, 6
9720, 6
21000, 6
17400, 6
17850, 6
25950, 6
16050, 6
8250, 5
15150, 6
32700, 6
15000, 5
6821, 5
16050, 6
10050, 5
14820, 7
17400, 6
4796, 5
21000, 6
4346, 5
14850, 4
10175, 7
20550, 6
10050, 5
23100, 5
7401, 5
19650, 6
14700, 6
11400, 5
15900, 5
10024, 6
20400, 5
22350, 6
2794, 5
21900, 6
19350, 7
10474, 6
20700, 7
7264, 6
13650, 5
10500, 5
16350, 5
15450, 5
13650, 5
14220, 6
8340, 5
24750, 7
19200, 6
10500, 5
2670, 4
14550, 5
24300, 7
10050, 5
11400, 5
13500, 4
18270, 6
3258, 6
883, 4
8220, 5
22350, 6
8700, 5
13200, 5
12450, 6
21450, 6
17850, 6
1338, 5
8700, 5
19650, 6
14220, 6
10950, 5
6870, 5
25050, 6
3972, 5
18360, 7
3896, 5
16050, 6
10740, 6
14250, 6
16500, 6
21690, 7
16800, 5
6296, 6
18300, 6
14100, 5
25050, 6
21150, 7
17400, 6
16950, 6
13200, 5
10500, 5
10500, 5
18750, 6
22800, 6
11850, 5
21450, 6
10950, 5
18000, 7
9450, 4
17400, 6
13200, 5
1758, 5
13350, 6
19950, 5
11070, 6
7650, 4
18600, 5
5921, 5
14700, 6
7770, 5
16454, 8
20100, 6
15900, 5
11400, 5
12300, 5
18300, 6
12300, 5
19024, 6
9150, 5
15000, 5
11940, 5
22500, 7
5848, 5
4874, 4
8550, 4
15150, 6
18840, 6
