Move, IsIn
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0
3,  0
4,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0.25
3,  0.5
0,  0
1,  0
2,  0.25
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.166666666666667
0,  0
1,  0
2,  0.2
3,  0.25
4,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.142857142857143
3,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.25
3,  0.333333333333333
0,  0
1,  0
2,  0.166666666666667
3,  0.333333333333333
0,  0
1,  0
2,  0.2
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0.0833333333333333
2,  0.25
0,  0
1,  0.1
2,  0.25
0,  0
1,  0
2,  0
3,  0.333333333333333
4,  0.5
0,  0
1,  0
2,  0.25
3,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0
3,  0.333333333333333
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
3,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0.142857142857143
2,  0.25
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0
4,  0.5
0,  0
1,  0.0833333333333333
2,  0.333333333333333
0,  0
1,  0
2,  0
3,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.333333333333333
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.25
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0.166666666666667
3,  0.5
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0.25
3,  0.333333333333333
0,  0
1,  0
2,  0.333333333333333
3,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0
0,  0
1,  0.0833333333333333
0,  0
1,  0
2,  0
0,  0.00595238095238095
1,  0.027027027027027
2,  0.25
3,  0.333333333333333
0,  0
1,  0.0833333333333333
2,  0.25
3,  0.333333333333333
4,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0.142857142857143
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.25
3,  0.333333333333333
4,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0
1,  0.5
0,  0.00568181818181818
1,  0.0277777777777778
2,  0.25
0,  0.00568181818181818
1,  0.0476190476190476
2,  0.333333333333333
0,  0.00568181818181818
1,  0.0277777777777778
2,  0.25
3,  0.5
0,  0.00568181818181818
1,  0.142857142857143
2,  0.2
3,  0.5
0,  0.00595238095238095
1,  0.027027027027027
2,  0.25
3,  0.333333333333333
0,  0
1,  0
2,  0
3,  0.5
0,  0.166666666666667
1,  0.5
0,  0
1,  0
2,  0
3,  0.5
0,  0.00568181818181818
1,  0.0277777777777778
2,  0.5
3,  0.5
0,  0.00568181818181818
1,  0.0277777777777778
