Evaluations, Played
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  1
1,  105
2,  17
3,  2
1,  84
2,  16
3,  2
1,  84
2,  16
3,  4
4,  2
1,  84
2,  10
3,  3
1,  84
2,  10
3,  2
1,  84
2,  10
3,  2
4,  1
1,  84
2,  12
3,  3
4,  2
1,  84
2,  16
3,  3
1,  84
2,  10
3,  2
1,  84
2,  13
3,  2
4,  1
1,  84
2,  10
3,  3
1,  84
2,  14
3,  4
4,  2
1,  84
2,  23
3,  3
4,  2
1,  84
2,  23
3,  2
1,  84
2,  13
3,  2
1,  84
2,  14
3,  3
1,  84
2,  6
1,  84
2,  4
3,  3
1,  84
2,  10
3,  3
1,  84
2,  17
3,  2
4,  1
1,  84
2,  23
3,  3
4,  1
1,  230
2,  20
3,  3
1,  230
2,  17
3,  4
1,  230
2,  20
3,  3
4,  1
1,  230
2,  20
3,  3
4,  1
1,  230
2,  20
3,  3
1,  230
2,  27
3,  2
1,  230
2,  19
3,  5
4,  1
1,  230
2,  11
3,  2
4,  1
1,  230
2,  20
3,  3
1,  230
2,  20
3,  3
4,  1
1,  230
2,  31
3,  5
4,  1
1,  230
2,  20
3,  3
4,  1
1,  230
2,  19
3,  5
4,  1
1,  230
2,  39
3,  10
4,  1
1,  230
2,  19
3,  5
4,  1
1,  230
2,  31
3,  2
4,  1
1,  230
2,  31
3,  5
4,  1
1,  230
2,  11
3,  2
1,  230
2,  31
3,  5
4,  1
1,  230
2,  20
3,  3
1,  230
2,  6
3,  1
1,  230
2,  31
3,  2
1,  230
2,  19
3,  5
4,  1
1,  230
2,  43
3,  3
4,  1
1,  230
2,  31
3,  5
4,  1
1,  230
2,  6
3,  1
1,  230
2,  6
3,  3
1,  230
2,  31
3,  5
4,  1
1,  230
2,  20
3,  2
1,  230
2,  19
3,  1
1,  40
2,  11
3,  1
1,  40
2,  11
3,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  3
1,  40
2,  11
3,  1
1,  40
2,  11
3,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  3
1,  84
2,  14
3,  2
4,  1
1,  84
2,  16
3,  3
1,  84
2,  9
3,  3
4,  2
1,  84
2,  9
3,  3
4,  2
5,  1
1,  84
2,  9
3,  2
4,  1
1,  84
2,  23
3,  3
4,  1
1,  84
2,  10
3,  3
4,  2
5,  1
1,  84
2,  12
