Evaluations, Played
1,  500
2,  24
3,  2
4,  1
1,  936
2,  61
3,  15
4,  2
5,  1
1,  936
2,  110
3,  4
4,  1
1,  936
2,  110
3,  11
4,  3
5,  1
1,  976
2,  174
3,  12
4,  2
5,  1
1,  976
2,  64
3,  4
1,  976
2,  112
3,  21
4,  1
1,  976
2,  21
3,  1
1,  216
2,  64
3,  4
4,  2
1,  660
2,  42
3,  8
4,  1
1,  204
2,  33
3,  3
1,  204
2,  70
3,  11
4,  3
5,  2
6,  1
1,  660
2,  108
3,  12
4,  3
5,  2
6,  1
1,  660
2,  147
3,  5
4,  2
5,  1
1,  660
2,  141
3,  23
4,  3
5,  1
1,  660
2,  42
3,  6
4,  3
5,  1
1,  660
2,  81
3,  9
4,  3
5,  1
1,  224
2,  50
3,  8
4,  2
5,  1
1,  936
2,  110
3,  12
4,  1
1,  224
2,  50
3,  10
4,  2
1,  936
2,  165
3,  18
4,  3
1,  936
2,  188
3,  32
4,  6
5,  1
1,  936
2,  188
3,  14
4,  3
1,  936
2,  165
3,  35
4,  6
5,  2
1,  660
2,  81
3,  5
1,  224
2,  24
3,  8
4,  3
5,  2
1,  224
2,  61
3,  10
4,  2
5,  1
1,  936
2,  52
3,  10
4,  1
1,  936
2,  165
3,  30
4,  5
5,  1
1,  936
2,  110
3,  4
4,  1
1,  936
2,  200
3,  39
4,  5
1,  936
2,  200
3,  21
4,  1
1,  500
2,  62
3,  13
4,  2
5,  1
1,  936
2,  110
3,  22
4,  2
5,  1
1,  936
2,  61
3,  7
4,  2
5,  1
1,  936
2,  52
3,  6
4,  1
1,  976
2,  112
3,  16
4,  3
5,  1
1,  976
2,  228
3,  44
4,  6
5,  1
1,  976
2,  179
3,  35
4,  5
5,  1
1,  976
2,  112
3,  14
4,  1
1,  500
2,  90
3,  8
4,  2
1,  936
2,  165
3,  35
4,  5
5,  1
1,  936
2,  200
3,  16
4,  3
1,  936
2,  188
3,  34
4,  2
5,  1
1,  976
2,  64
3,  18
4,  3
1,  976
2,  112
3,  23
4,  4
5,  1
1,  976
2,  179
3,  15
1,  976
2,  64
3,  17
4,  2
1,  500
2,  117
3,  16
4,  1
1,  936
2,  61
3,  16
1,  936
2,  61
3,  5
4,  2
5,  1
1,  936
2,  188
3,  26
4,  7
5,  1
1,  976
2,  71
3,  15
1,  976
2,  179
3,  28
4,  3
5,  1
1,  976
2,  179
3,  34
4,  2
5,  1
1,  976
2,  174
3,  36
4,  8
5,  3
1,  500
2,  62
3,  15
4,  2
5,  1
1,  936
2,  110
3,  9
4,  1
1,  936
2,  52
3,  6
4,  1
1,  936
2,  188
3,  41
4,  5
5,  1
1,  976
2,  179
3,  35
4,  3
5,  1
