Evaluations, Played
1,  36
2,  21
3,  6
4,  1
1,  79
2,  33
3,  17
4,  4
5,  2
1,  68
2,  22
3,  8
4,  1
1,  74
2,  33
3,  2
1,  68
2,  28
3,  14
4,  1
1,  72
2,  24
3,  12
4,  1
1,  73
2,  23
3,  16
4,  1
1,  74
2,  22
3,  9
4,  1
5,  1
1,  33
2,  25
3,  13
4,  1
1,  51
2,  28
3,  8
4,  1
1,  31
2,  27
3,  4
4,  3
5,  2
6,  1
1,  25
2,  21
3,  1
1,  45
2,  26
3,  4
4,  3
1,  49
2,  22
3,  5
4,  1
1,  52
2,  28
3,  4
4,  2
5,  1
1,  52
2,  24
3,  5
4,  1
1,  54
2,  24
3,  21
4,  2
5,  1
1,  36
2,  21
3,  4
4,  3
5,  2
6,  1
1,  81
2,  24
3,  11
4,  1
1,  33
2,  21
3,  7
4,  3
1,  77
2,  41
3,  10
4,  1
1,  70
2,  32
3,  21
4,  3
5,  1
1,  71
2,  23
3,  14
1,  71
2,  31
3,  7
4,  3
5,  2
1,  54
2,  21
3,  20
4,  2
1,  40
2,  24
3,  4
4,  3
1,  43
2,  21
3,  5
4,  3
1,  77
2,  25
3,  20
4,  3
5,  1
1,  53
2,  26
3,  21
4,  1
5,  2
6,  1
1,  65
2,  23
3,  10
4,  2
1,  72
2,  22
3,  4
4,  3
5,  2
6,  1
1,  61
2,  37
3,  21
4,  1
5,  1
1,  43
2,  23
3,  16
4,  16
5,  16
1,  67
2,  39
3,  20
4,  5
5,  1
1,  69
2,  31
3,  5
4,  1
1,  62
2,  29
3,  20
4,  3
1,  64
2,  20
3,  3
1,  74
2,  21
3,  14
4,  2
5,  1
1,  71
2,  25
3,  16
4,  1
1,  71
2,  13
3,  9
4,  5
5,  3
1,  37
2,  21
3,  4
4,  1
1,  77
2,  12
3,  4
4,  3
5,  2
6,  1
1,  68
2,  36
3,  12
4,  1
1,  68
2,  30
3,  12
4,  2
1,  68
2,  30
3,  7
4,  1
1,  74
2,  35
3,  20
4,  2
5,  1
1,  81
2,  41
3,  26
4,  2
5,  1
1,  88
2,  22
3,  20
4,  1
1,  35
2,  20
3,  3
4,  1
1,  68
2,  28
3,  21
4,  6
5,  1
1,  74
2,  27
3,  20
4,  6
5,  2
1,  68
2,  25
3,  8
4,  1
1,  67
2,  20
3,  8
4,  1
1,  57
2,  38
3,  4
4,  2
1,  73
2,  26
3,  16
4,  1
1,  64
2,  29
3,  21
4,  5
5,  1
1,  44
2,  18
3,  4
4,  1
1,  62
2,  22
3,  6
4,  2
1,  72
2,  20
3,  21
4,  1
1,  75
2,  29
3,  21
4,  2
1,  70
2,  26
3,  20
4,  2
1,  75
2,  20
3,  20
4,  1
1,  83
2,  22
3,  18
4,  3
5,  1
1,  67
2,  29
3,  18
4,  5
5,  5
1,  50
2,  20
3,  16
4,  2
5,  1
1,  67
2,  28
3,  13
4,  1
1,  35
2,  20
3,  5
4,  2
1,  25
2,  20
3,  8
4,  1
1,  75
2,  24
3,  15
4,  2
5,  1
1,  77
2,  20
3,  16
4,  6
5,  1
1,  82
2,  27
3,  22
4,  1
5,  1
1,  58
2,  31
3,  13
4,  2
1,  39
2,  16
3,  6
4,  2
1,  54
2,  27
3,  13
4,  2
1,  27
2,  23
3,  5
4,  5
1,  24
2,  23
3,  2
4,  1
1,  46
2,  23
3,  17
4,  1
1,  44
2,  26
3,  26
1,  50
2,  20
1,  51
2,  24
3,  14
4,  3
1,  27
2,  23
3,  1
4,  1
5,  1
1,  43
2,  20
3,  8
4,  2
5,  1
1,  22
2,  26
3,  15
4,  2
1,  0
2,  0
1,  36
2,  23
3,  4
4,  2
1,  41
2,  22
3,  8
4,  1
1,  25
2,  28
3,  10
4,  2
5,  1
1,  40
2,  23
3,  23
4,  23
1,  21
2,  20
3,  9
4,  1
1,  26
2,  23
3,  7
4,  1
1,  0
2,  0
3,  0
4,  0
1,  22
2,  21
3,  4
4,  3
5,  2
1,  32
2,  21
3,  3
4,  2
1,  24
2,  21
3,  7
4,  2
5,  1
1,  33
2,  20
3,  5
1,  40
2,  27
3,  4
