Evaluations, Played
1,  102
2,  17
3,  2
4,  1
1,  100
2,  14
3,  1
1,  97
2,  17
3,  1
1,  102
2,  17
3,  2
1,  98
2,  16
3,  1
4,  1
1,  96
2,  15
3,  2
1,  101
2,  16
3,  1
1,  101
2,  16
3,  1
1,  97
2,  17
3,  1
1,  99
2,  17
3,  1
1,  80
2,  10
3,  2
1,  79
2,  13
3,  2
1,  79
2,  9
3,  1
4,  1
1,  78
2,  9
3,  2
4,  1
1,  78
2,  9
3,  1
4,  1
1,  83
2,  6
3,  3
4,  2
1,  77
2,  12
3,  3
4,  2
1,  76
2,  13
3,  3
1,  77
2,  8
3,  2
1,  76
2,  2
3,  1
4,  1
1,  80
2,  9
3,  3
4,  2
5,  1
1,  81
2,  13
3,  2
1,  80
2,  13
3,  1
4,  1
1,  80
2,  8
3,  3
4,  2
1,  79
2,  14
3,  4
4,  2
5,  1
1,  79
2,  4
1,  78
2,  9
3,  1
1,  82
2,  16
3,  4
1,  74
2,  13
3,  2
1,  76
2,  14
3,  3
4,  2
5,  1
1,  182
2,  20
3,  2
1,  184
2,  28
3,  2
4,  2
1,  210
2,  29
3,  2
4,  1
1,  201
2,  20
3,  3
4,  1
1,  215
2,  20
3,  3
4,  1
1,  214
2,  30
3,  5
4,  1
1,  213
2,  29
3,  5
4,  1
1,  214
2,  18
3,  2
4,  1
1,  212
2,  6
3,  1
1,  209
2,  20
3,  3
4,  1
1,  214
2,  6
3,  2
4,  1
1,  205
2,  15
3,  3
1,  207
2,  20
3,  2
1,  208
2,  17
3,  2
4,  1
1,  215
2,  18
3,  1
1,  203
2,  6
3,  1
1,  209
2,  19
3,  3
1,  213
2,  6
3,  1
1,  212
2,  6
3,  1
1,  213
2,  6
3,  1
1,  197
2,  20
3,  3
4,  1
1,  202
2,  6
3,  1
1,  217
2,  20
3,  3
4,  1
1,  215
2,  20
3,  3
4,  1
1,  169
2,  6
3,  1
1,  211
2,  16
3,  2
1,  194
2,  30
3,  1
4,  1
1,  223
2,  22
3,  1
1,  217
2,  9
3,  2
4,  1
1,  198
2,  24
3,  2
4,  1
1,  38
2,  10
3,  1
1,  36
2,  11
3,  1
1,  40
2,  11
3,  3
4,  1
1,  36
2,  10
3,  1
4,  2
5,  1
1,  37
2,  10
3,  1
1,  37
2,  7
3,  1
4,  2
5,  1
1,  38
2,  11
3,  3
4,  1
1,  37
2,  11
3,  1
1,  38
2,  11
3,  1
1,  36
2,  6
3,  2
4,  1
1,  77
2,  8
3,  1
4,  1
1,  76
2,  16
3,  2
1,  79
2,  11
3,  2
4,  1
1,  73
2,  13
3,  2
1,  78
2,  17
3,  1
4,  2
5,  1
1,  81
2,  6
3,  3
1,  81
2,  9
3,  2
1,  81
2,  14
3,  1
4,  1
1,  83
2,  4
3,  1
4,  2
5,  1
1,  79
2,  13
3,  2
4,  1
1,  0
1,  0
2,  0
1,  0
2,  0
1,  0
1,  0
2,  0
1,  0
1,  0
1,  0
1,  0
2,  0
1,  0
2,  0
1,  76
2,  10
3,  1
1,  80
2,  14
3,  1
1,  77
2,  10
3,  2
4,  1
1,  81
2,  13
3,  1
1,  82
2,  12
3,  12
1,  79
2,  9
1,  82
2,  13
3,  1
1,  78
2,  9
3,  1
1,  75
2,  7
3,  2
1,  77
1,  81
2,  12
3,  2
4,  1
1,  84
2,  12
1,  78
2,  14
3,  1
1,  81
2,  12
3,  1
1,  79
2,  10
3,  1
1,  78
2,  10
3,  1
1,  73
2,  6
3,  6
1,  81
2,  9
3,  1
1,  82
2,  82
3,  82
1,  74
2,  7
1,  82
2,  10
3,  10
1,  78
2,  16
3,  1
1,  78
2,  8
3,  3
4,  2
1,  75
2,  6
3,  1
1,  80
2,  8
3,  1
1,  71
2,  71
1,  78
2,  6
3,  1
1,  79
2,  13
3,  1
1,  76
2,  14
3,  2
1,  77
2,  4
1,  19
2,  8
3,  3
4,  3
1,  20
2,  8
1,  20
2,  6
3,  3
4,  2
1,  18
2,  8
1,  19
2,  8
3,  3
4,  2
5,  1
1,  20
2,  9
3,  4
4,  3
5,  1
1,  20
2,  8
3,  3
4,  2
1,  20
2,  7
1,  20
2,  8
1,  20
2,  7
1,  0
2,  0
1,  0
2,  0
1,  0
2,  0
1,  0
2,  0
1,  0
2,  0
3,  0
1,  0
1,  0
2,  0
1,  0
1,  0
2,  0
1,  0
2,  0
1,  39
2,  3
1,  39
2,  3
1,  40
2,  3
3,  1
1,  40
2,  11
3,  2
1,  33
2,  3
3,  1
1,  37
2,  9
3,  2
4,  1
1,  39
2,  3
3,  2
1,  38
2,  3
1,  35
2,  11
3,  2
4,  1
1,  40
2,  1
3,  2
4,  1
1,  39
2,  4
3,  2
1,  39
2,  3
3,  2
4,  1
1,  37
2,  10
1,  37
2,  8
3,  1
1,  35
2,  8
3,  2
1,  34
2,  3
1,  37
2,  11
3,  1
1,  39
2,  4
3,  2
4,  1
1,  38
2,  10
3,  1
1,  40
2,  3
3,  2
1,  39
2,  2
1,  39
2,  8
3,  1
1,  40
2,  6
1,  40
2,  4
3,  1
1,  36
2,  10
3,  1
1,  39
2,  10
3,  2
4,  1
1,  40
2,  4
3,  2
4,  1
1,  36
2,  10
3,  1
1,  35
2,  9
1,  40
2,  11
1,  40
2,  1
3,  2
4,  1
1,  38
2,  3
1,  37
2,  3
1,  37
2,  7
3,  1
1,  37
2,  11
3,  2
1,  39
2,  3
1,  39
2,  10
3,  2
4,  1
1,  39
2,  8
3,  1
1,  39
2,  4
3,  1
1,  40
2,  1
3,  1
1,  100
2,  28
3,  2
1,  97
2,  25
3,  3
4,  1
1,  98
2,  17
3,  3
4,  3
1,  96
2,  10
3,  3
1,  99
2,  24
3,  3
4,  3
1,  100
2,  28
3,  3
1,  96
2,  13
3,  2
1,  99
2,  11
3,  2
4,  1
1,  97
2,  26
3,  3
4,  1
1,  100
2,  26
3,  2
4,  1
