Evaluations, Played
1,  100
2,  17
3,  1
1,  103
2,  17
3,  2
4,  1
1,  100
2,  17
3,  1
1,  103
2,  17
3,  2
4,  1
1,  103
2,  17
3,  1
1,  103
2,  17
3,  1
1,  101
2,  17
3,  1
1,  104
2,  17
3,  1
1,  99
2,  16
3,  2
4,  1
1,  101
2,  17
3,  2
4,  1
1,  83
2,  10
3,  2
4,  1
1,  83
2,  21
3,  3
4,  1
1,  82
2,  11
3,  1
1,  82
2,  16
3,  2
1,  84
2,  6
3,  4
4,  3
1,  82
2,  12
3,  3
4,  2
5,  1
1,  81
2,  6
3,  3
1,  82
2,  12
3,  3
4,  2
5,  1
1,  83
2,  11
3,  4
4,  3
5,  2
1,  84
2,  10
3,  1
4,  1
1,  83
2,  23
3,  3
4,  2
5,  1
1,  82
2,  14
3,  4
1,  83
2,  13
3,  2
4,  1
1,  75
2,  12
3,  1
1,  84
2,  13
3,  3
1,  80
2,  10
3,  3
4,  2
5,  1
1,  76
2,  9
3,  3
1,  80
2,  9
3,  1
1,  84
2,  10
3,  2
4,  1
1,  82
2,  9
3,  2
4,  1
1,  225
2,  11
3,  2
4,  1
1,  225
2,  20
3,  3
4,  1
1,  219
2,  6
3,  1
1,  225
2,  27
3,  2
4,  1
1,  223
2,  20
3,  3
4,  1
1,  227
2,  20
3,  3
4,  1
1,  221
2,  20
3,  3
4,  1
1,  218
2,  20
3,  3
4,  1
1,  223
2,  17
3,  4
4,  1
1,  225
2,  19
3,  1
1,  223
2,  20
3,  3
4,  1
1,  227
2,  20
3,  2
1,  228
2,  36
3,  10
4,  1
1,  223
2,  43
3,  3
4,  1
1,  228
2,  31
3,  5
4,  1
1,  211
2,  15
3,  3
4,  1
1,  222
2,  20
3,  3
4,  1
1,  215
2,  6
3,  1
1,  225
2,  31
3,  2
1,  224
2,  31
3,  5
4,  1
1,  227
2,  30
3,  5
4,  1
1,  222
2,  38
3,  9
4,  1
1,  225
2,  20
3,  3
4,  1
1,  224
2,  20
3,  3
1,  226
2,  19
3,  5
4,  1
1,  224
2,  31
3,  5
4,  1
1,  222
2,  20
3,  3
4,  1
1,  227
2,  18
3,  5
4,  1
1,  221
2,  19
3,  5
4,  1
1,  222
2,  6
3,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  1
1,  40
2,  9
3,  3
4,  1
1,  40
2,  11
3,  1
1,  40
2,  11
3,  3
4,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  1
1,  40
2,  11
3,  3
1,  40
2,  11
3,  3
4,  1
1,  40
2,  11
3,  3
1,  84
2,  9
3,  2
1,  84
2,  15
3,  4
4,  1
1,  81
2,  10
3,  2
1,  81
2,  9
3,  2
4,  1
1,  80
2,  10
3,  2
1,  78
2,  6
3,  3
1,  84
2,  9
3,  2
4,  1
