Evaluations, Played
1,  500
2,  62
3,  13
4,  5
5,  1
1,  936
2,  118
3,  9
4,  1
1,  936
2,  174
3,  21
4,  4
5,  1
1,  936
2,  110
3,  4
4,  2
5,  1
1,  976
2,  174
3,  26
4,  2
1,  976
2,  21
3,  1
1,  976
2,  165
3,  20
4,  3
5,  1
1,  976
2,  174
3,  16
4,  2
1,  216
2,  64
3,  4
1,  660
2,  81
3,  14
4,  2
5,  1
1,  204
2,  16
3,  5
4,  4
5,  3
6,  2
7,  1
1,  204
2,  70
3,  21
4,  3
5,  2
6,  1
1,  660
2,  147
3,  6
4,  1
1,  660
2,  170
3,  36
4,  4
5,  2
6,  1
1,  660
2,  200
3,  28
4,  3
5,  1
1,  660
2,  108
3,  13
4,  2
1,  660
2,  118
3,  22
4,  4
5,  1
1,  224
2,  52
3,  10
4,  2
5,  1
1,  936
2,  97
3,  9
4,  1
1,  224
2,  50
3,  3
4,  2
1,  936
2,  188
3,  8
4,  2
5,  1
1,  936
2,  266
3,  46
4,  2
5,  1
1,  936
2,  130
3,  27
4,  2
5,  1
1,  936
2,  152
3,  17
4,  2
5,  1
1,  660
2,  147
3,  14
4,  1
1,  224
2,  23
3,  3
4,  2
5,  1
1,  224
2,  50
3,  12
4,  2
1,  936
2,  188
3,  11
4,  3
5,  1
1,  936
2,  250
3,  7
4,  4
5,  2
6,  1
1,  936
2,  174
3,  24
4,  3
5,  1
1,  936
2,  190
3,  17
4,  3
1,  936
2,  110
3,  18
4,  2
1,  500
2,  62
3,  13
4,  5
1,  936
2,  170
3,  30
4,  4
5,  1
1,  936
2,  66
3,  18
4,  2
5,  1
1,  936
2,  188
3,  36
4,  8
5,  2
6,  1
1,  976
2,  114
3,  14
4,  3
5,  1
1,  976
2,  64
3,  4
4,  1
1,  976
2,  228
3,  25
4,  3
5,  1
1,  976
2,  245
3,  50
4,  5
1,  500
2,  62
3,  1
1,  936
2,  152
3,  32
4,  5
5,  1
1,  936
2,  188
3,  17
4,  1
1,  936
2,  196
3,  17
4,  6
5,  1
1,  976
2,  228
3,  23
4,  5
5,  1
1,  976
2,  114
3,  10
4,  2
5,  1
1,  976
2,  71
3,  7
4,  1
1,  976
2,  174
3,  37
4,  7
5,  2
1,  500
2,  117
3,  13
4,  2
5,  1
1,  936
2,  165
3,  4
4,  2
5,  1
1,  936
2,  66
3,  12
4,  4
5,  1
1,  936
2,  170
3,  36
4,  6
5,  1
1,  976
2,  165
3,  30
4,  5
5,  1
1,  976
2,  238
3,  41
4,  9
5,  1
1,  976
2,  114
3,  10
4,  2
5,  1
1,  976
2,  174
3,  8
4,  3
5,  1
1,  500
2,  90
3,  5
4,  1
1,  936
2,  266
3,  44
4,  2
5,  1
1,  936
2,  165
3,  5
1,  936
2,  165
3,  9
4,  1
1,  976
2,  114
3,  23
4,  2
5,  1
1,  976
2,  245
3,  45
4,  11
5,  1
1,  976
2,  154
3,  12
4,  2
5,  1
1,  976
2,  123
3,  2
1,  660
2,  72
3,  6
4,  3
5,  1
1,  936
2,  188
3,  14
4,  4
1,  224
2,  50
3,  4
1,  224
2,  23
3,  8
4,  3
1,  936
2,  165
3,  20
4,  2
5,  1
1,  936
2,  97
3,  24
4,  2
5,  1
1,  936
2,  97
3,  18
4,  1
1,  936
2,  188
3,  29
4,  5
5,  1
1,  216
2,  36
3,  13
1,  660
2,  108
3,  21
4,  2
1,  204
2,  70
3,  5
4,  2
1,  204
2,  16
3,  5
4,  3
5,  2
1,  660
2,  147
3,  10
4,  1
1,  660
2,  81
3,  6
1,  660
2,  108
3,  12
4,  1
1,  660
2,  41
3,  11
1,  204
2,  70
3,  6
4,  4
1,  224
2,  50
3,  6
4,  1
1,  224
2,  61
3,  15
4,  2
5,  1
1,  9
2,  2
3,  1
1,  224
2,  50
3,  4
4,  1
1,  224
2,  27
3,  8
1,  224
2,  50
3,  5
4,  1
1,  224
2,  50
3,  6
1,  204
2,  16
3,  4
4,  3
5,  2
6,  1
1,  224
2,  24
3,  8
1,  9
1,  224
2,  23
3,  4
4,  3
5,  2
6,  1
1,  224
2,  28
3,  8
4,  3
5,  2
1,  224
2,  60
3,  9
1,  224
2,  28
3,  2
1,  224
2,  28
3,  2
4,  1
1,  660
2,  10
3,  4
4,  1
1,  936
2,  170
3,  29
4,  4
5,  1
1,  224
2,  52
3,  2
1,  224
2,  28
3,  3
1,  936
2,  66
3,  3
4,  2
5,  1
1,  936
2,  165
3,  21
4,  4
5,  1
1,  936
2,  200
3,  31
4,  2
5,  1
1,  936
2,  165
3,  3
1,  660
2,  103
3,  9
4,  2
5,  1
1,  936
2,  174
3,  9
4,  2
5,  1
1,  224
2,  50
3,  11
1,  224
2,  63
3,  17
1,  936
2,  10
3,  1
1,  936
2,  26
3,  3
4,  2
1,  936
2,  52
3,  8
4,  2
5,  1
1,  936
2,  152
3,  11
4,  1
1,  660
2,  81
3,  17
4,  1
1,  936
2,  196
3,  20
4,  3
5,  1
1,  224
2,  28
3,  4
1,  224
2,  57
3,  1
1,  936
2,  102
3,  2
4,  1
1,  936
2,  180
3,  43
4,  7
5,  1
1,  936
2,  170
3,  29
4,  5
5,  1
1,  936
2,  188
3,  29
4,  2
5,  1
1,  660
2,  16
3,  3
4,  2
1,  936
2,  266
3,  7
4,  1
1,  224
2,  60
3,  3
1,  224
2,  63
3,  7
4,  1
1,  936
2,  19
1,  936
2,  174
3,  2
4,  1
1,  936
2,  200
3,  22
4,  6
5,  1
1,  936
2,  52
3,  4
4,  1
1,  216
2,  64
3,  4
4,  1
1,  204
2,  70
3,  5
4,  2
5,  1
1,  660
2,  147
3,  25
4,  2
5,  1
1,  204
2,  9
3,  5
4,  4
1,  660
2,  83
3,  21
4,  4
5,  1
1,  660
2,  141
3,  29
4,  6
5,  2
1,  660
2,  81
3,  5
4,  2
1,  660
2,  81
3,  9
4,  2
5,  1
1,  28
2,  18
1,  72
2,  28
3,  5
4,  3
1,  72
2,  14
3,  4
4,  3
5,  2
6,  1
1,  6
2,  4
1,  72
2,  14
3,  4
4,  3
5,  2
1,  72
2,  28
3,  1
1,  72
2,  28
3,  6
4,  1
1,  72
1,  216
2,  64
3,  4
4,  2
5,  1
1,  204
2,  40
3,  4
4,  1
1,  660
2,  81
3,  9
4,  1
1,  204
2,  70
3,  17
4,  4
1,  660
2,  170
3,  28
4,  2
1,  660
2,  170
3,  34
4,  9
5,  1
1,  660
2,  170
3,  29
4,  3
1,  660
2,  122
3,  48
4,  2
5,  1
1,  72
2,  5
3,  4
4,  3
5,  2
1,  8
2,  4
3,  3
4,  2
5,  1
1,  204
2,  26
3,  6
1,  204
2,  16
3,  5
4,  3
1,  204
2,  70
3,  16
4,  3
1,  204
2,  21
3,  6
4,  1
1,  204
2,  70
3,  7
4,  1
1,  204
2,  33
3,  4
4,  1
1,  216
2,  64
3,  6
4,  2
5,  1
1,  204
2,  70
3,  7
4,  2
5,  1
1,  660
2,  10
3,  4
4,  3
5,  2
6,  1
1,  204
2,  70
3,  6
4,  4
5,  3
6,  2
1,  660
2,  81
3,  17
4,  4
5,  2
6,  1
1,  660
2,  3
1,  660
2,  147
3,  17
4,  2
5,  1
1,  660
2,  108
3,  6
4,  2
1,  216
2,  10
1,  204
2,  40
3,  11
4,  2
1,  660
2,  108
3,  12
4,  1
1,  204
2,  33
3,  5
4,  2
1,  660
2,  72
3,  7
1,  660
2,  41
3,  4
4,  3
5,  2
6,  1
1,  660
2,  83
3,  18
4,  1
1,  660
2,  37
3,  17
4,  1
1,  216
2,  52
3,  8
4,  2
5,  1
1,  204
2,  33
3,  6
4,  1
1,  660
2,  81
3,  15
4,  1
1,  204
2,  16
3,  5
4,  3
5,  2
6,  1
1,  660
2,  16
3,  3
1,  660
2,  147
3,  29
4,  3
5,  1
1,  660
2,  200
3,  34
4,  2
1,  660
2,  108
3,  15
4,  4
5,  1
1,  216
2,  52
3,  8
4,  2
1,  204
2,  70
3,  12
4,  2
1,  660
2,  103
3,  11
4,  2
5,  1
1,  204
2,  26
3,  3
4,  2
5,  1
1,  660
2,  141
3,  6
4,  1
1,  660
2,  3
3,  1
1,  660
2,  29
3,  6
4,  1
1,  660
2,  170
3,  10
4,  3
5,  1
1,  660
2,  147
3,  10
1,  224
2,  24
3,  4
4,  3
5,  2
6,  1
1,  224
2,  52
3,  10
4,  2
1,  936
2,  174
3,  25
4,  5
5,  2
6,  1
1,  936
2,  165
3,  9
4,  1
1,  936
2,  69
3,  13
4,  2
1,  936
2,  180
3,  41
4,  6
5,  1
1,  936
2,  188
3,  5
4,  1
1,  72
2,  28
3,  4
4,  3
1,  204
2,  9
3,  3
1,  8
2,  4
3,  3
1,  204
2,  16
3,  9
4,  4
5,  3
6,  2
1,  204
2,  16
3,  1
1,  204
2,  70
3,  2
1,  204
2,  70
3,  13
4,  1
1,  204
2,  16
3,  4
4,  3
5,  2
6,  1
1,  204
2,  40
3,  11
4,  2
5,  1
1,  9
1,  224
2,  50
3,  8
4,  2
1,  224
2,  63
3,  4
4,  3
1,  224
2,  63
3,  14
4,  1
1,  224
2,  15
3,  1
1,  224
2,  57
3,  15
4,  2
1,  224
2,  52
3,  10
4,  1
1,  660
2,  72
3,  12
4,  2
1,  224
2,  24
3,  6
1,  224
2,  61
3,  6
4,  3
5,  2
1,  936
2,  110
3,  13
4,  1
1,  936
2,  188
3,  30
1,  936
2,  69
3,  9
4,  3
5,  2
6,  1
1,  936
2,  69
3,  18
4,  6
1,  936
2,  200
3,  22
4,  3
1,  660
2,  83
3,  18
4,  2
5,  1
1,  224
2,  28
3,  3
4,  2
1,  224
2,  3
1,  936
2,  188
3,  7
4,  1
1,  936
2,  170
3,  36
4,  2
1,  936
2,  69
3,  17
4,  3
5,  2
1,  936
2,  64
1,  936
2,  266
3,  42
4,  9
5,  1
1,  660
2,  147
3,  38
4,  3
1,  224
2,  15
3,  1
1,  224
2,  50
3,  2
1,  936
2,  196
3,  28
4,  1
1,  936
2,  200
3,  8
1,  936
2,  165
3,  6
4,  1
1,  936
2,  26
3,  1
1,  936
2,  170
3,  29
4,  4
5,  1
1,  660
2,  81
3,  9
4,  2
1,  224
2,  50
3,  10
4,  3
5,  2
1,  224
2,  50
3,  13
4,  2
1,  936
2,  208
3,  21
4,  3
1,  936
2,  266
3,  52
4,  7
1,  936
2,  118
3,  26
4,  3
5,  1
1,  936
2,  165
3,  29
4,  7
1,  936
2,  180
3,  29
4,  3
5,  1
1,  660
2,  42
1,  224
2,  60
3,  9
4,  1
1,  224
2,  60
3,  5
1,  936
2,  180
3,  5
4,  1
1,  936
2,  152
3,  31
4,  2
5,  1
1,  936
2,  170
3,  11
4,  3
1,  936
2,  152
3,  11
4,  1
1,  936
2,  188
3,  21
4,  1
1,  500
2,  90
3,  19
4,  3
5,  1
1,  936
2,  56
3,  12
4,  3
5,  2
6,  1
1,  936
2,  196
3,  37
4,  9
5,  2
6,  1
1,  936
2,  56
3,  19
4,  2
1,  976
2,  123
3,  10
4,  1
1,  976
2,  174
3,  24
4,  3
5,  1
1,  976
2,  114
3,  6
4,  2
5,  1
1,  976
2,  70
3,  15
4,  1
1,  216
2,  52
3,  7
4,  2
5,  1
1,  660
2,  118
3,  18
4,  1
1,  204
2,  33
3,  4
4,  3
1,  204
2,  9
3,  5
1,  660
2,  170
3,  18
4,  3
5,  1
1,  660
2,  103
3,  20
4,  3
1,  660
2,  83
3,  18
4,  2
5,  1
1,  660
2,  122
3,  15
4,  1
1,  660
2,  81
3,  15
4,  2
5,  1
1,  224
2,  60
3,  10
4,  1
1,  936
2,  200
3,  34
1,  224
2,  50
3,  11
4,  2
5,  1
1,  936
2,  180
3,  30
4,  1
1,  936
2,  200
3,  16
1,  936
2,  130
3,  20
4,  2
5,  1
1,  936
2,  170
3,  15
4,  4
5,  1
1,  660
2,  72
3,  7
4,  1
1,  224
2,  50
3,  1
1,  224
2,  27
3,  2
4,  1
1,  936
2,  188
3,  5
4,  1
1,  936
2,  250
3,  50
4,  3
5,  1
1,  936
2,  110
3,  2
1,  936
2,  26
3,  4
4,  2
5,  1
1,  936
2,  190
3,  18
4,  1
1,  500
2,  24
3,  1
1,  936
2,  52
3,  3
4,  1
1,  936
2,  118
3,  9
4,  2
5,  1
1,  936
2,  118
3,  24
4,  6
5,  2
6,  1
1,  976
2,  13
3,  5
4,  3
1,  976
2,  112
3,  30
4,  3
5,  1
1,  976
2,  179
3,  28
1,  976
2,  45
3,  13
4,  1
1,  500
2,  90
3,  17
4,  4
1,  936
2,  200
3,  33
4,  9
5,  1
1,  936
2,  18
3,  4
4,  3
5,  2
6,  1
1,  936
2,  196
3,  32
4,  9
5,  1
1,  976
2,  228
3,  42
4,  7
5,  3
1,  976
2,  166
3,  34
4,  4
5,  1
1,  976
2,  67
3,  21
1,  976
2,  179
3,  10
4,  3
1,  500
2,  90
3,  6
4,  1
1,  936
2,  165
3,  11
4,  2
5,  1
1,  936
2,  266
3,  46
4,  8
5,  1
1,  936
2,  61
1,  976
2,  228
3,  19
4,  6
5,  1
1,  976
2,  238
3,  19
4,  6
5,  1
1,  976
2,  166
3,  25
4,  1
1,  976
2,  67
3,  12
4,  2
1,  500
2,  21
3,  3
1,  936
2,  165
3,  10
4,  2
1,  936
2,  208
3,  11
4,  4
1,  936
2,  196
1,  976
2,  23
3,  2
1,  976
2,  159
3,  30
4,  2
5,  1
1,  976
2,  123
3,  12
4,  2
1,  976
2,  174
3,  18
4,  2
1,  500
2,  117
3,  20
4,  1
1,  936
2,  188
3,  43
4,  2
5,  1
1,  936
2,  52
3,  4
4,  3
1,  936
2,  165
3,  19
4,  1
1,  976
2,  123
3,  14
4,  3
5,  1
1,  976
2,  21
3,  4
4,  2
1,  976
2,  228
3,  29
4,  2
5,  1
1,  976
2,  67
3,  6
4,  1
1,  216
2,  52
3,  7
4,  3
5,  2
1,  660
2,  49
3,  3
4,  2
5,  1
1,  204
2,  40
3,  11
4,  3
5,  2
1,  204
2,  33
3,  6
4,  1
1,  660
2,  14
3,  2
1,  660
2,  147
3,  14
1,  660
2,  10
1,  660
2,  80
3,  17
4,  1
1,  660
2,  80
3,  19
4,  2
5,  1
1,  224
2,  61
3,  12
4,  3
5,  1
1,  936
2,  266
3,  25
4,  7
5,  1
1,  224
2,  61
3,  10
4,  1
1,  936
2,  44
3,  10
4,  2
1,  936
2,  52
3,  10
4,  1
1,  936
2,  56
3,  2
4,  1
1,  936
2,  200
3,  26
1,  660
2,  80
3,  12
4,  2
1,  224
2,  52
3,  14
4,  1
1,  224
2,  57
3,  10
1,  936
2,  110
3,  8
4,  1
1,  936
2,  52
3,  8
4,  1
1,  936
2,  266
3,  21
4,  5
5,  1
1,  936
2,  5
1,  936
2,  208
3,  35
4,  9
1,  500
2,  90
3,  4
4,  2
1,  936
2,  174
3,  35
4,  7
1,  936
2,  200
3,  36
4,  5
5,  1
1,  936
2,  52
3,  6
4,  1
1,  976
2,  123
3,  19
4,  6
5,  1
1,  976
2,  166
3,  26
1,  976
2,  228
3,  8
4,  1
1,  976
2,  228
3,  19
1,  500
2,  117
3,  24
4,  7
1,  936
2,  200
3,  35
4,  1
1,  936
2,  200
3,  11
4,  1
1,  936
2,  61
3,  12
4,  3
5,  2
6,  1
1,  976
2,  166
3,  32
4,  7
5,  1
1,  976
2,  64
3,  2
1,  976
2,  111
3,  6
4,  1
1,  976
2,  166
3,  13
4,  2
5,  1
1,  500
2,  39
3,  4
4,  2
1,  936
2,  200
3,  8
4,  1
1,  936
2,  170
3,  17
4,  4
5,  1
1,  936
2,  208
3,  33
4,  2
1,  976
2,  179
3,  37
4,  2
1,  976
2,  123
3,  10
4,  2
1,  976
2,  179
3,  29
4,  12
5,  2
6,  1
1,  976
2,  123
3,  13
4,  1
1,  500
2,  117
3,  18
4,  1
1,  936
2,  180
3,  43
4,  5
5,  1
1,  936
2,  60
3,  15
4,  2
5,  1
1,  936
2,  97
3,  8
4,  3
1,  976
2,  228
3,  34
4,  7
5,  1
1,  976
2,  165
3,  2
1,  976
2,  166
3,  7
4,  1
1,  976
2,  71
3,  3
4,  1
1,  500
2,  117
3,  10
4,  2
5,  1
1,  936
2,  61
3,  13
4,  3
5,  2
1,  936
2,  61
3,  9
4,  2
1,  936
2,  196
3,  39
4,  5
1,  976
2,  166
3,  32
4,  2
1,  976
2,  166
3,  26
4,  6
5,  2
6,  1
1,  976
2,  174
3,  12
4,  3
5,  1
1,  976
2,  228
3,  19
4,  1
1,  216
2,  64
3,  6
4,  2
5,  1
1,  660
2,  170
3,  25
4,  7
5,  2
6,  1
1,  204
2,  40
3,  4
4,  2
5,  1
1,  204
2,  40
3,  8
4,  1
1,  660
2,  147
3,  11
4,  2
5,  1
1,  660
2,  170
3,  10
4,  1
1,  660
2,  81
3,  17
4,  1
1,  660
2,  41
3,  1
1,  660
2,  83
3,  5
4,  3
5,  2
6,  1
1,  224
2,  26
3,  1
1,  936
2,  180
3,  30
4,  3
5,  1
1,  224
2,  3
1,  936
2,  196
3,  45
4,  1
1,  936
2,  250
3,  42
4,  1
1,  936
2,  200
3,  14
4,  5
5,  1
1,  936
2,  266
3,  4
1,  660
2,  147
3,  40
4,  7
5,  1
1,  224
2,  52
3,  8
4,  1
1,  224
2,  15
3,  1
1,  936
2,  56
3,  4
1,  936
2,  56
3,  12
4,  1
1,  936
2,  118
3,  20
4,  1
1,  936
2,  188
3,  20
4,  6
5,  1
1,  936
2,  200
3,  13
4,  4
5,  1
1,  500
2,  90
3,  19
4,  6
5,  1
1,  936
2,  52
3,  2
1,  936
2,  52
3,  11
4,  3
1,  936
2,  19
3,  4
4,  3
5,  2
6,  1
1,  976
2,  238
3,  13
4,  1
1,  976
2,  228
3,  19
4,  2
1,  976
2,  159
3,  30
4,  4
5,  1
1,  976
2,  166
3,  32
4,  2
5,  1
1,  500
2,  90
3,  27
1,  936
2,  110
3,  17
4,  2
5,  1
1,  936
2,  170
3,  35
4,  8
5,  1
1,  936
2,  200
3,  35
4,  4
5,  1
1,  976
2,  154
3,  15
4,  3
5,  1
1,  976
2,  71
3,  21
4,  1
1,  976
2,  245
3,  45
4,  7
5,  1
1,  976
2,  238
3,  41
4,  6
5,  1
1,  500
2,  117
3,  16
4,  3
5,  1
1,  936
2,  200
3,  35
4,  3
5,  1
1,  936
2,  52
3,  2
1,  936
2,  60
3,  5
1,  976
2,  179
3,  31
4,  10
5,  3
1,  976
2,  70
