Evaluations, Played
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
84, 5
84, 5
84, 4
84, 4
84, 5
84, 5
84, 4
84, 4
84, 5
84, 5
84, 5
84, 5
84, 4
84, 5
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
230, 5
230, 5
230, 5
230, 5
230, 4
230, 4
230, 4
230, 5
230, 5
230, 4
230, 4
230, 4
230, 4
230, 5
230, 4
230, 4
230, 4
230, 5
230, 4
230, 4
230, 5
230, 4
230, 4
230, 4
230, 5
230, 4
230, 5
230, 5
230, 4
230, 5
40, 4
40, 4
40, 4
40, 4
40, 4
40, 5
40, 4
40, 4
40, 4
40, 5
84, 4
84, 4
84, 5
84, 4
84, 5
84, 4
84, 5
84, 5
84, 4
84, 5
4, 3
4, 3
4, 3
4, 3
4, 2
4, 2
4, 3
4, 3
4, 2
4, 3
84, 4
84, 4
84, 4
84, 4
84, 5
84, 3
84, 4
84, 4
84, 5
84, 5
84, 5
84, 4
84, 4
84, 4
84, 5
84, 4
84, 4
84, 5
84, 3
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 3
84, 3
84, 4
84, 4
20, 6
20, 6
20, 6
20, 4
20, 4
20, 6
20, 6
20, 6
20, 4
20, 4
5, 3
5, 2
5, 3
5, 2
5, 4
5, 3
5, 2
5, 2
5, 2
5, 3
40, 3
40, 3
40, 4
40, 3
40, 4
40, 4
40, 5
40, 5
40, 4
40, 5
40, 4
40, 3
40, 4
40, 3
40, 4
40, 4
40, 4
40, 4
40, 5
40, 4
40, 4
40, 4
40, 5
40, 4
40, 3
40, 3
40, 5
40, 4
40, 5
40, 4
40, 4
40, 4
40, 4
40, 4
40, 4
40, 4
40, 4
40, 3
40, 4
40, 4
105, 5
105, 4
105, 5
105, 5
105, 4
105, 4
105, 4
105, 5
105, 4
105, 5
84, 4
84, 4
84, 4
84, 4
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 5
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
230, 4
230, 5
230, 5
230, 5
230, 4
230, 5
230, 5
230, 5
230, 4
230, 5
230, 5
230, 4
230, 4
230, 3
230, 3
230, 4
230, 4
230, 3
230, 3
230, 4
230, 4
230, 3
230, 3
230, 4
230, 4
230, 4
230, 4
230, 3
230, 3
230, 5
105, 4
105, 4
105, 4
105, 5
105, 4
105, 5
105, 5
105, 5
105, 4
105, 5
84, 5
84, 5
84, 4
84, 4
84, 5
84, 4
84, 4
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 5
84, 4
84, 4
84, 5
84, 4
84, 4
84, 4
230, 3
230, 3
230, 5
230, 4
230, 4
230, 5
230, 3
230, 4
230, 4
230, 4
230, 5
230, 5
230, 4
230, 4
230, 5
230, 5
230, 5
230, 4
230, 5
230, 4
230, 5
230, 4
230, 4
230, 2
230, 4
230, 4
230, 5
230, 2
230, 3
230, 3
105, 5
105, 5
105, 4
105, 5
105, 4
105, 4
105, 4
105, 4
105, 5
105, 5
84, 4
84, 4
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 3
84, 4
230, 4
230, 4
230, 3
230, 4
230, 3
230, 4
230, 4
230, 4
230, 4
230, 5
230, 5
230, 4
230, 4
230, 4
230, 4
230, 4
230, 5
230, 4
230, 4
230, 3
230, 5
230, 4
230, 5
230, 5
230, 6
230, 5
230, 5
230, 5
230, 5
230, 5
20, 4
20, 3
20, 5
20, 4
20, 4
20, 4
20, 6
20, 6
20, 3
20, 5
40, 5
40, 4
40, 5
40, 3
40, 5
40, 5
40, 3
40, 4
40, 4
40, 4
5, 3
5, 3
5, 4
5, 3
5, 4
5, 3
5, 3
5, 2
5, 3
5, 2
40, 4
40, 5
40, 4
40, 4
40, 5
40, 3
40, 3
40, 4
40, 4
40, 4
40, 4
40, 4
40, 4
40, 4
40, 3
40, 4
40, 5
40, 4
40, 3
40, 4
40, 5
40, 4
40, 3
40, 4
40, 4
40, 3
40, 3
40, 4
40, 4
40, 4
20, 6
20, 5
20, 5
20, 6
20, 5
20, 6
20, 5
20, 4
20, 6
20, 6
105, 4
105, 5
105, 5
105, 5
105, 4
105, 4
105, 4
105, 4
105, 3
105, 3
40, 3
40, 5
40, 5
40, 5
40, 4
40, 4
40, 3
40, 3
40, 5
40, 4
105, 4
105, 3
105, 5
105, 5
105, 5
105, 4
105, 4
105, 4
105, 4
105, 4
105, 5
105, 4
105, 5
105, 4
105, 4
105, 5
105, 4
105, 5
105, 4
105, 4
105, 3
105, 5
105, 5
105, 5
105, 4
105, 5
105, 5
105, 5
105, 3
105, 5
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
20, 3
20, 3
20, 3
20, 4
20, 3
20, 4
20, 3
20, 5
20, 5
20, 4
20, 6
20, 4
20, 5
20, 3
20, 4
20, 3
20, 6
20, 6
20, 4
20, 3
20, 3
20, 4
20, 4
20, 3
20, 3
20, 4
20, 3
20, 3
20, 6
20, 5
20, 6
20, 4
20, 6
20, 2
20, 2
20, 5
20, 6
20, 6
20, 2
20, 2
20, 3
20, 4
20, 2
20, 3
20, 6
20, 4
20, 3
20, 2
20, 4
20, 2
20, 3
20, 3
20, 3
20, 5
20, 5
20, 3
20, 5
20, 5
20, 4
20, 5
105, 4
105, 4
105, 5
105, 3
105, 4
105, 5
105, 6
105, 4
105, 3
105, 3
40, 3
40, 5
40, 5
40, 3
40, 3
40, 3
40, 5
40, 3
40, 4
40, 3
105, 5
105, 5
105, 6
105, 5
105, 6
105, 5
105, 5
105, 5
105, 5
105, 4
105, 3
105, 3
105, 4
105, 3
105, 4
105, 5
105, 4
105, 4
105, 5
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 3
105, 4
105, 4
105, 4
105, 4
20, 6
20, 5
20, 5
20, 6
20, 5
20, 6
20, 4
20, 5
20, 6
20, 4
105, 4
105, 4
105, 5
105, 5
105, 5
105, 3
105, 5
105, 5
105, 4
105, 5
40, 3
40, 3
40, 3
40, 3
40, 4
40, 4
40, 5
40, 5
40, 4
40, 3
105, 5
105, 3
105, 3
105, 3
105, 4
105, 4
105, 4
105, 4
105, 5
105, 5
105, 5
105, 5
105, 5
105, 5
105, 4
105, 5
105, 4
105, 5
105, 5
105, 3
105, 5
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 4
105, 3
105, 3
20, 5
20, 6
20, 5
20, 6
20, 4
20, 4
20, 5
20, 4
20, 3
20, 4
105, 5
105, 5
105, 4
105, 4
105, 3
105, 4
105, 4
105, 5
105, 5
105, 4
40, 5
40, 4
40, 3
40, 4
40, 3
40, 4
40, 3
40, 4
40, 4
40, 4
105, 4
105, 2
105, 3
105, 2
105, 5
105, 3
105, 4
105, 4
105, 5
105, 3
105, 4
105, 4
105, 3
105, 3
105, 4
105, 3
105, 5
105, 3
105, 5
105, 3
105, 5
105, 5
105, 4
105, 5
105, 5
105, 5
105, 4
105, 5
105, 5
105, 5
40, 4
40, 4
40, 5
40, 5
40, 5
40, 5
40, 4
40, 4
40, 4
40, 4
4, 3
4, 3
4, 3
4, 3
4, 3
4, 3
4, 3
4, 3
4, 3
4, 3
84, 5
84, 5
84, 5
84, 5
84, 4
84, 5
84, 4
84, 4
84, 4
84, 4
84, 3
84, 4
84, 4
84, 5
84, 5
84, 4
84, 4
84, 4
84, 5
84, 5
84, 5
84, 4
84, 4
84, 4
84, 4
84, 4
84, 4
84, 5
84, 5
84, 3
84, 4
84, 5
84, 4
84, 3
84, 4
84, 5
84, 5
84, 3
84, 5
84, 3
5, 4
5, 3
5, 3
5, 4
5, 4
5, 3
5, 4
5, 3
5, 4
5, 3
84, 6
84, 5
84, 6
84, 5
84, 6
84, 5
84, 3
84, 5
84, 6
84, 6
84, 4
84, 6
84, 6
84, 6
84, 3
84, 6
84, 5
84, 4
84, 3
84, 4
84, 5
84, 3
84, 5
84, 4
84, 5
84, 2
84, 4
84, 6
84, 2
84, 4
84, 3
84, 2
84, 5
84, 6
84, 3
84, 5
84, 6
84, 5
84, 5
84, 5
84, 5
84, 3
84, 3
84, 5
84, 4
84, 6
84, 5
84, 2
84, 3
84, 2
20, 5
20, 5
20, 5
20, 4
20, 4
20, 5
20, 4
20, 6
20, 4
20, 5
40, 4
40, 4
40, 5
40, 4
40, 4
40, 4
40, 5
40, 5
40, 5
40, 5
105, 4
105, 4
105, 4
105, 4
105, 4
105, 5
105, 4
105, 5
105, 3
105, 5
105, 4
105, 5
105, 5
105, 5
105, 4
105, 5
105, 5
105, 5
105, 4
105, 5
105, 5
105, 5
105, 4
105, 4
105, 6
105, 5
105, 6
105, 5
105, 4
105, 5
105, 4
105, 4
105, 6
105, 5
105, 5
105, 5
105, 5
105, 4
105, 5
105, 5
40, 4
40, 5
40, 5
40, 5
40, 3
40, 4
40, 4
40, 5
40, 4
40, 5
84, 4
84, 5
84, 5
84, 4
84, 3
84, 4
84, 5
84, 4
84, 5
84, 4
230, 4
230, 4
230, 5
230, 5
230, 5
230, 4
230, 5
230, 4
230, 5
230, 5
230, 5
230, 5
230, 4
230, 4
230, 5
230, 5
230, 4
230, 4
230, 5
230, 4
230, 6
230, 4
230, 5
230, 5
230, 5
230, 3
230, 6
230, 5
230, 4
230, 4
230, 5
230, 4
230, 5
230, 4
230, 3
230, 4
230, 5
230, 4
230, 4
230, 5
40, 5
40, 5
40, 4
40, 4
40, 5
40, 4
40, 3
40, 4
40, 4
40, 4
84, 5
84, 4
84, 5
84, 4
84, 5
84, 5
84, 4
84, 5
84, 3
84, 4
230, 5
