Evaluations, Played
229, 5
128, 4
128, 6
558, 7
558, 4
558, 6
558, 4
558, 5
28, 4
60, 4
5, 2
60, 4
60, 7
60, 6
60, 7
60, 5
60, 6
4, 3
128, 5
128, 5
128, 4
128, 4
128, 6
128, 4
229, 6
128, 6
128, 7
558, 6
558, 5
558, 5
558, 6
558, 6
229, 4
128, 4
128, 5
558, 5
558, 5
558, 3
558, 5
558, 5
229, 5
128, 4
128, 6
558, 5
558, 5
558, 6
558, 3
558, 6
229, 6
128, 5
128, 6
558, 7
558, 4
558, 4
558, 6
558, 5
229, 5
128, 5
128, 5
558, 5
558, 4
558, 5
558, 3
558, 5
60, 4
128, 4
4, 2
128, 4
128, 7
128, 7
128, 7
128, 4
28, 8
229, 5
60, 7
229, 3
229, 6
229, 4
229, 6
229, 7
5, 4
128, 8
128, 8
128, 7
128, 2
128, 2
128, 5
128, 2
60, 5
558, 6
128, 4
558, 5
558, 5
558, 7
558, 6
558, 5
60, 5
558, 5
128, 5
558, 4
558, 4
558, 5
558, 4
558, 5
60, 4
558, 6
128, 5
558, 5
558, 4
558, 5
558, 4
558, 5
60, 5
558, 5
128, 4
558, 6
558, 5
558, 5
558, 5
558, 5
60, 4
558, 6
128, 3
558, 4
558, 5
558, 5
558, 6
558, 5
28, 7
5, 3
60, 7
60, 6
60, 5
60, 5
60, 3
60, 4
0, 1
28, 3
28, 3
28, 8
28, 3
28, 6
28, 3
28, 3
28, 5
60, 7
229, 6
229, 6
229, 6
229, 5
229, 5
229, 3
28, 8
60, 7
229, 4
229, 5
229, 7
229, 5
229, 3
229, 5
28, 5
60, 4
229, 5
229, 6
229, 5
229, 5
229, 5
229, 4
28, 5
60, 4
229, 5
229, 5
229, 2
229, 7
229, 6
229, 5
28, 5
60, 7
229, 6
229, 5
229, 7
229, 7
229, 5
229, 5
28, 4
60, 7
229, 5
229, 6
229, 6
229, 3
229, 7
229, 7
229, 4
128, 7
128, 5
558, 5
558, 6
558, 6
558, 4
558, 4
28, 7
229, 6
60, 3
229, 6
229, 3
229, 5
229, 6
229, 6
60, 6
128, 5
558, 5
558, 6
558, 5
558, 6
558, 5
558, 4
229, 6
558, 7
558, 5
682, 5
682, 5
682, 6
682, 5
682, 6
229, 6
558, 5
558, 5
682, 5
682, 5
682, 4
682, 5
682, 5
229, 4
558, 6
558, 5
682, 5
682, 4
682, 5
682, 4
682, 6
229, 4
558, 4
558, 5
682, 6
682, 5
682, 3
682, 5
682, 4
229, 5
558, 5
558, 6
682, 4
682, 3
682, 5
682, 3
682, 5
229, 4
128, 5
128, 4
558, 5
558, 6
558, 5
558, 4
558, 6
28, 4
229, 5
60, 5
229, 5
229, 5
229, 5
229, 5
229, 6
60, 4
128, 4
558, 6
558, 5
558, 6
558, 5
558, 5
558, 5
229, 5
558, 4
558, 6
682, 5
682, 4
682, 4
682, 3
682, 4
229, 4
558, 5
558, 6
682, 6
682, 5
682, 5
682, 5
682, 4
229, 5
558, 4
558, 5
682, 2
682, 5
682, 5
682, 5
682, 5
229, 4
558, 5
558, 5
682, 5
682, 5
682, 5
682, 4
682, 5
229, 6
558, 5
558, 4
682, 4
682, 4
682, 5
682, 3
682, 5
229, 5
128, 4
128, 5
558, 4
558, 5
558, 6
558, 4
558, 6
28, 5
229, 6
60, 4
229, 4
229, 5
229, 6
229, 5
229, 7
60, 5
128, 6
558, 6
558, 6
558, 4
558, 5
558, 6
558, 5
229, 6
558, 3
558, 4
682, 4
682, 4
682, 4
682, 5
682, 5
229, 5
558, 4
558, 5
682, 6
682, 5
682, 4
682, 3
682, 5
229, 5
558, 5
558, 6
682, 6
682, 6
