Evaluations, Played
45360, 8
29990, 7
36000, 7
39610, 6
37940, 7
50694, 8
46250, 6
39860, 7
9309, 5
41500, 5
37224, 8
29750, 6
32474, 7
39750, 7
32000, 6
35000, 6
36470, 7
12366, 6
42750, 7
27610, 6
33750, 7
29000, 6
41860, 6
44970, 8
8244, 6
28250, 6
53250, 7
4270, 6
46500, 7
31250, 6
14783, 5
61194, 8
36000, 7
17618, 6
43500, 7
35250, 7
39000, 7
35940, 8
38000, 6
40970, 7
15610, 6
29476, 7
57750, 7
23750, 6
29860, 6
55470, 8
31702, 7
15059, 7
14196, 6
37220, 7
51000, 7
42750, 7
38250, 7
424, 4
22690, 6
24202, 7
20750, 6
36860, 7
9750, 4
41250, 7
29000, 6
25720, 6
36750, 7
26000, 6
23000, 6
42750, 7
23750, 6
30250, 5
42750, 7
18610, 6
28970, 7
15000, 4
39750, 7
51750, 7
50970, 8
31250, 6
27500, 6
37500, 7
39000, 7
24500, 6
24500, 6
32250, 7
40500, 7
30500, 6
31726, 7
44250, 7
32750, 6
41474, 7
39500, 6
24250, 5
1756, 4
42000, 7
34500, 7
53720, 7
22250, 6
28360, 6
41000, 6
34250, 6
34500, 7
37000, 8
36500, 6
34250, 6
27500, 6
34970, 7
32000, 6
18940, 6
41250, 7
13750, 5
31870, 6
54000, 7
14208, 6
60750, 7
32250, 7
37500, 7
41250, 7
31720, 6
44250, 7
40500, 7
20470, 6
32000, 6
34250, 6
29250, 7
29000, 6
27500, 6
34500, 7
19000, 5
35000, 6
38250, 7
1794, 5
34250, 6
31500, 7
32250, 7
19470, 5
29250, 7
38250, 7
23110, 6
39810, 8
42000, 7
27500, 6
37610, 7
38000, 6
36700, 6
21974, 7
19360, 6
32750, 6
35750, 6
25500, 7
55500, 7
38000, 6
64500, 7
32000, 6
51000, 7
22000, 5
40198, 8
43750, 8
9006, 6
19750, 5
42000, 7
36500, 6
8234, 6
9368, 6
22720, 6
56250, 7
41500, 8
30500, 6
27500, 6
25724, 7
34250, 6
51500, 6
38000, 6
41360, 7
8367, 7
21230, 8
15750, 4
1878, 6
39500, 6
30500, 6
33470, 7
23500, 5
32110, 6
31250, 6
20500, 5
34000, 5
43500, 7
39500, 6
22250, 6
41500, 8
22250, 6
35750, 6
31250, 6
29000, 6
44250, 7
23870, 7
47250, 7
