Evaluations, Played
113040, 8
239040, 8
123750, 7
249000, 9
91500, 6
180544, 9
48310, 8
174000, 8
165750, 6
171840, 8
108000, 7
174270, 9
32106, 7
59796, 7
126270, 8
192000, 8
164250, 7
175770, 8
186750, 7
165000, 8
114540, 7
155604, 9
174930, 8
99540, 8
86619, 7
128250, 7
94500, 7
176040, 8
137580, 7
246000, 8
114750, 7
126840, 8
35446, 6
118500, 6
129510, 8
137250, 7
216544, 9
169590, 8
155040, 7
121500, 7
155790, 8
151290, 8
87000, 6
183000, 8
135840, 8
148500, 7
141750, 7
135750, 8
156270, 9
219000, 8
82500, 6
130500, 7
46050, 8
157500, 7
106590, 8
92250, 7
109294, 7
126000, 7
164250, 7
144000, 7
93180, 7
177750, 7
152790, 7
160260, 7
73390, 9
102750, 6
157500, 7
144270, 8
205020, 8
123540, 7
101250, 7
87930, 6
101044, 8
140250, 8
166500, 7
88500, 5
97500, 5
151020, 8
8997, 4
118500, 6
132750, 7
194520, 9
96000, 6
115020, 8
126936, 8
162000, 7
198540, 8
158040, 8
88260, 7
176040, 8
117000, 7
142500, 8
109770, 7
140250, 8
165000, 8
91500, 6
136500, 6
119614, 8
75750, 6
134250, 6
111750, 6
213584, 9
138090, 8
165000, 5
201000, 8
190080, 8
144750, 8
153750, 8
28916, 6
267330, 9
104247, 8
174000, 8
111540, 6
132750, 7
32161, 8
110250, 7
78934, 7
157290, 7
204750, 7
148830, 7
226020, 9
114000, 6
204180, 8
312090, 9
115590, 8
161250, 6
209250, 7
142020, 8
88020, 8
155794, 9
223500, 8
104434, 8
165000, 8
111540, 6
135000, 7
109500, 6
232500, 8
211778, 9
117840, 8
102000, 8
146250, 7
146520, 8
180000, 7
105270, 7
64020, 6
145290, 6
155790, 8
114750, 7
128040, 7
174000, 8
157084, 7
95014, 8
214500, 8
98430, 8
189540, 8
77434, 8
173250, 7
153750, 8
114750, 7
71250, 6
133500, 8
176340, 8
144000, 7
113438, 8
105750, 7
168750, 7
203250, 8
107436, 9
149250, 8
80524, 8
175500, 7
209592, 9
91500, 6
135750, 8
130500, 7
239250, 8
137040, 7
119250, 7
117000, 7
191250, 7
130500, 7
167040, 8
220500, 7
108000, 7
180000, 7
166500, 7
146250, 7
116790, 7
172290, 9
121500, 7
124020, 8
196500, 8
114750, 7
92760, 7
112084, 7
159750, 7
256774, 9
144270, 8
80520, 7
150750, 7
177000, 6
160500, 8
141750, 7
189540, 8
192000, 8
152520, 7
111750, 6
57750, 6
103296, 8
119340, 7
297750, 8
99000, 7
112770, 8
95520, 6
132000, 6
109500, 6
71794, 8
158250, 8
189750, 8
261540, 8
143050, 7
105540, 7
173674, 9
140430, 7
128520, 8
173250, 7
99000, 7
139026, 8
90090, 7
100770, 7
108000, 7
141750, 7
149250, 8
193290, 7
111750, 6
91770, 7
110250, 7
199290, 9
99000, 7
81000, 7
176250, 8
91500, 6
126750, 8
121770, 8
162270, 8
133500, 8
121770, 8
140344, 9
138000, 8
105750, 7
191588, 8
147000, 8
84750, 6
113250, 8
142830, 8
104434, 8
112020, 7
96282, 8
101040, 7
212250, 8
126000, 7
115020, 8
219000, 8
76596, 8
100020, 6
179040, 9
53048, 7
67088, 7
75750, 6
79776, 7
25128, 7
105750, 7
115290, 8
221250, 8
54750, 5
73026, 7
123750, 7
216000, 7
144540, 8
173670, 8
171540, 8
181500, 6
83098, 10
182790, 8
118020, 6
101520, 8
76296, 8
118770, 7
144270, 8
122430, 7
133020, 8
73500, 6
205500, 8
148296, 8
137790, 8
75180, 7
229834, 8
80250, 6
112500, 7
89520, 7
126000, 7
185520, 9
167250, 8
148500, 7
22816, 8
119250, 7
101250, 7
75750, 6
111750, 6
193032, 8
270270, 8
105278, 8
148500, 7
98520, 7
143250, 6
126840, 8
150750, 7
144000, 7
118770, 7
143790, 7
227250, 7
198000, 7
187290, 8
137250, 7
156000, 8
162270, 8
177000, 9
118500, 9
160020, 8
171000, 7
162750, 8
25476, 7
148500, 7
125250, 6
87000, 6
138330, 8
168750, 7
171000, 7
187500, 8
153540, 8
96000, 6
129180, 7
128612, 9
169500, 8
108340, 8
203250, 8
143520, 7
164250, 7
186000, 6
241020, 8
228000, 8
119250, 7
199080, 8
178290, 8
141000, 6
96000, 6
188430, 8
77532, 7
109020, 6
114270, 7
147000, 8
162750, 8
162270, 8
52770, 6
52500, 5
130290, 7
210000, 8
265500, 7
84540, 6
245790, 8
162540, 8
126000, 7
146250, 7
144000, 7
91020, 6
111750, 6
144000, 7
135000, 7
155520, 8
94290, 7
71790, 7
137250, 7
120750, 6
144270, 8
119250, 7
185044, 9
177750, 7
145500, 6
98250, 6
117090, 7
176764, 9
192000, 8
121500, 7
148770, 8
200250, 7
219000, 8
126000, 7
187500, 8
214304, 10
142500, 8
175020, 7
91500, 6
164250, 7
178680, 7
180540, 8
106500, 8
112020, 7
157500, 7
162000, 7
