Evaluations, Played
4910, 4
8510, 4
6035, 4
9000, 4
7875, 4
6750, 4
6825, 5
6710, 4
5360, 4
7500, 5
6750, 4
6825, 5
11325, 5
10275, 6
6075, 4
9300, 5
6525, 4
8625, 5
5625, 4
7425, 4
8400, 5
5625, 4
8625, 5
8400, 5
6750, 4
7200, 4
5175, 4
9000, 4
7050, 5
7050, 5
5018, 5
6975, 4
7950, 5
4098, 4
4050, 4
6825, 5
5274, 5
6525, 4
5693, 5
5130, 5
8175, 5
10650, 5
8850, 5
4681, 5
6600, 5
5175, 4
5625, 4
5223, 4
4421, 4
6375, 5
3858, 4
7425, 4
5925, 5
3648, 4
7275, 5
6600, 5
4548, 4
4725, 4
4421, 4
10200, 5
6525, 4
6075, 4
6750, 4
15975, 4
7650, 4
6975, 4
7275, 5
5625, 4
6300, 4
6075, 4
9750, 5
5850, 4
8400, 5
7050, 5
8175, 5
9375, 6
6525, 4
6825, 5
7725, 5
8400, 5
32, 3
32, 3
32, 3
32, 3
32, 3
24, 2
32, 3
32, 3
32, 3
32, 3
5775, 3
4650, 3
3255, 4
5475, 2
4875, 3
7374, 4
9075, 5
6825, 5
8274, 4
6300, 4
7824, 4
6075, 4
5625, 4
5550, 3
3024, 3
7050, 5
6975, 4
7650, 4
7500, 5
5400, 4
8175, 5
6075, 4
4149, 3
3975, 3
8325, 4
6075, 4
5175, 4
7875, 4
7425, 4
6825, 5
4725, 4
3300, 3
4725, 4
6375, 5
4950, 4
4500, 4
5175, 4
4275, 4
5925, 5
3975, 3
34, 3
34, 3
24, 2
34, 3
34, 3
34, 3
24, 2
38, 4
34, 3
24, 2
5850, 4
6075, 4
3750, 3
6150, 5
6600, 5
6750, 4
5175, 4
6750, 4
6750, 4
5850, 4
4875, 3
6300, 4
6225, 3
8550, 4
5850, 4
7050, 5
6750, 4
4200, 3
6375, 5
5625, 4
3750, 3
6300, 4
4425, 3
5850, 4
7950, 5
7500, 5
6075, 4
6075, 4
6300, 4
6150, 5
3750, 3
5400, 4
7200, 4
3975, 3
6300, 4
5400, 4
6600, 5
4650, 3
4725, 4
5850, 4
6300, 4
7725, 5
6075, 4
5858, 5
6150, 5
6300, 4
6075, 4
6525, 4
7208, 5
6983, 5
5625, 4
6750, 4
6750, 4
9600, 6
7350, 3
6825, 5
6300, 4
8925, 6
6075, 4
6099, 5
6975, 4
6825, 5
5550, 3
6525, 4
5400, 4
6975, 4
4599, 3
6750, 4
6300, 4
8850, 5
5175, 4
6750, 4
4343, 5
4465, 5
5398, 3
8337, 5
3999, 3
3786, 4
8775, 4
7500, 5
6075, 4
5400, 4
6000, 3
6335, 5
2353, 4
6375, 5
6099, 5
6399, 6
5850, 4
4380, 4
3099, 4
4749, 5
4725, 4
6324, 5
5120, 5
7275, 5
7275, 5
6075, 4
5175, 4
7500, 5
5207, 5
6983, 5
6525, 4
6308, 5
6375, 5
5400, 4
6043, 5
7500, 5
5625, 4
5732, 5
11025, 7
6774, 5
3474, 3
6249, 4
7950, 5
6474, 4
7200, 4
6975, 4
6075, 4
8625, 5
5850, 4
3249, 3
3705, 4
4350, 2
7275, 5
2124, 3
6525, 4
7200, 4
5850, 4
6075, 4
4899, 4
3994, 5
4871, 4
7650, 4
7050, 5
6075, 4
9300, 5
4421, 4
4500, 4
7275, 5
4456, 5
6750, 4
3071, 4
9000, 4
5850, 4
5400, 4
6975, 4
10425, 5
7500, 5
6375, 5
4275, 4
5850, 4
3028, 4
5625, 4
5400, 4
5850, 4
5424, 5
3328, 5
5771, 4
14250, 5
6825, 5
5748, 5
5649, 4
7650, 4
7208, 5
6324, 4
6825, 5
6600, 5
6750, 4
7050, 5
7950, 5
7500, 5
7725, 5
6699, 4
7275, 5
7200, 4
7275, 5
6300, 4
8100, 4
8325, 4
6750, 4
8400, 5
6525, 4
5850, 4
3750, 3
4500, 4
6774, 5
4650, 3
7425, 4
5175, 4
4871, 4
5175, 4
8400, 5
3705, 4
4674, 4
4449, 4
6300, 4
3549, 4
9450, 4
7875, 4
4380, 4
6000, 3
6750, 4
5096, 4
5234, 6
6300, 4
7500, 5
7425, 4
3930, 4
2805, 4
3340, 5
5187, 5
5862, 5
6300, 4
4686, 4
6975, 4
3048, 4
6750, 4
2890, 5
4623, 4
5475, 5
3525, 3
6900, 6
6150, 5
4500, 4
4275, 4
2625, 3
5175, 4
5250, 5
4500, 4
5175, 4
4950, 4
5175, 4
5850, 4
4275, 4
5100, 3
4725, 4
5400, 4
6525, 4
5850, 4
24, 2
34, 3
34, 3
38, 4
24, 2
34, 3
34, 3
34, 3
34, 3
34, 3
3525, 3
4200, 3
6150, 5
5175, 4
6525, 4
6150, 5
3525, 3
4200, 3
3075, 3
5400, 4
5625, 4
4725, 4
6300, 4
5625, 4
5400, 4
4650, 3
6300, 4
6825, 5
4725, 4
4650, 3
5100, 3
6750, 4
6300, 4
6300, 4
4950, 4
5175, 4
3750, 3
6075, 4
6300, 4
6300, 4
8325, 7
3600, 4
7350, 6
6600, 5
3825, 4
7950, 5
4050, 4
4950, 4
7125, 6
6375, 5
6300, 4
6600, 5
5850, 4
6750, 4
5850, 4
4950, 4
5175, 4
5175, 4
6300, 4
5625, 4
4725, 4
5625, 4
5625, 4
7725, 5
4200, 3
5400, 4
6375, 5
6375, 5
5175, 4
5700, 5
3975, 3
6525, 4
6525, 4
7725, 5
7200, 4
6300, 4
6375, 5
4425, 3
6750, 4
7950, 5
5850, 4
6150, 5
6600, 5
6774, 5
4650, 3
7950, 5
6975, 4
6525, 4
7725, 5
6075, 4
9975, 5
8100, 4
7500, 5
8400, 5
6099, 5
7875, 4
6075, 4
6375, 5
6774, 5
6525, 4
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
6600, 5
7125, 6
3375, 4
4275, 4
2625, 3
1875, 2
6675, 6
6450, 6
4275, 4
7575, 6
5925, 5
1449, 3
6150, 5
5700, 5
6675, 6
5250, 5
1650, 2
6450, 6
5250, 5
4050, 4
7125, 6
5250, 5
4050, 4
5475, 5
2625, 3
5925, 5
1473, 3
5250, 5
2850, 3
2148, 3
4275, 4
5925, 5
4500, 4
8250, 6
3075, 3
6450, 6
1473, 3
6900, 6
1875, 2
7350, 6
6000, 6
7650, 7
5025, 5
1923, 3
6675, 6
4950, 4
7575, 6
4050, 4
5475, 5
5475, 5
4275, 4
6150, 5
4275, 4
6900, 6
4275, 4
4950, 4
5700, 5
6900, 6
6450, 6
8325, 7
7275, 5
6075, 4
4875, 3
4650, 3
6300, 4
6024, 4
6300, 4
4950, 4
7050, 5
7725, 5
3750, 3
4500, 4
3975, 3
7275, 5
5625, 4
6000, 3
6525, 4
2325, 2
3273, 3
3000, 2
8175, 5
6525, 4
7500, 5
7725, 5
8175, 5
7725, 5
8625, 5
4950, 4
7500, 5
5700, 5
6975, 4
8400, 5
8400, 5
5400, 4
4698, 4
2325, 2
6525, 4
3975, 3
8775, 4
5175, 4
3525, 3
6498, 4
8400, 5
4950, 4
6375, 5
6825, 5
3525, 3
4398, 3
6750, 4
5850, 4
5175, 4
5175, 4
5700, 5
5400, 4
2850, 3
5550, 6
6825, 5
7575, 6
6150, 5
6600, 5
5850, 4
9075, 5
7275, 5
6525, 4
5349, 4
8400, 5
6624, 6
3549, 4
7725, 5
5850, 4
7950, 5
2823, 3
2373, 3
4923, 4
2325, 2
3975, 3
2373, 3
5373, 4
2100, 2
2550, 2
6300, 4
4425, 3
5175, 4
6750, 4
6123, 5
5625, 4
4875, 3
6150, 5
5850, 4
5550, 3
8850, 5
7050, 5
8175, 5
6375, 5
7500, 5
6750, 4
5925, 5
8400, 5
7650, 4
7500, 5
7875, 4
5598, 4
6723, 4
5325, 3
3225, 2
8625, 5
4848, 3
5625, 4
5625, 4
6048, 4
7125, 6
6600, 5
4275, 4
5700, 5
3750, 3
6150, 5
7350, 6
3300, 3
3750, 3
9450, 7
4650, 3
7275, 5
7449, 5
6300, 4
6525, 4
7500, 5
6150, 5
7500, 5
5850, 4
7875, 4
4875, 3
2823, 3
6375, 5
2823, 3
4473, 4
6600, 5
6375, 5
3525, 3
2100, 2
5850, 4
4875, 3
4650, 3
7500, 5
5298, 3
7200, 4
7950, 5
3000, 2
3273, 3
5550, 3
6498, 4
4627, 4
5148, 4
6300, 4
4473, 4
3273, 3
7500, 5
3798, 4
6750, 4
5823, 4
6525, 4
5700, 5
4725, 4
5925, 5
8175, 5
6750, 4
6150, 5
6525, 4
7950, 5
6300, 4
5625, 4
6750, 4
6825, 5
7650, 4
6975, 4
7050, 5
4725, 4
7275, 5
17325, 4
5625, 4
5850, 4
32, 3
24, 2
32, 3
24, 2
32, 3
24, 2
32, 3
32, 3
32, 3
32, 3
6750, 4
6825, 5
7575, 6
9375, 6
8850, 5
5850, 4
9300, 5
6525, 4
6975, 4
7650, 4
4674, 4
6750, 4
6750, 4
8325, 4
7950, 5
3699, 3
6750, 4
3249, 3
7650, 4
3024, 3
9075, 5
7050, 5
8799, 5
6750, 4
6525, 4
5400, 4
5850, 4
7425, 4
6300, 4
4899, 4
9600, 6
6975, 4
5850, 4
4200, 3
7725, 5
8400, 5
6750, 4
6300, 4
3975, 3
4650, 3
38, 4
38, 4
38, 4
34, 3
38, 4
38, 4
38, 4
38, 4
38, 4
38, 4
3253, 4
7050, 5
7500, 5
8175, 5
10200, 5
7050, 5
7725, 5
8400, 5
6975, 4
8100, 4
6825, 5
9525, 5
8400, 5
3924, 3
8325, 4
10425, 5
6150, 5
7950, 5
6975, 4
8475, 6
6075, 4
6300, 4
4923, 4
3954, 4
4875, 3
5823, 4
8625, 5
8625, 5
6525, 4
5850, 4
4473, 4
8700, 6
3948, 3
5148, 4
8100, 4
5175, 4
4875, 3
7275, 5
5148, 4
6075, 4
5148, 4
8625, 5
8625, 5
3279, 4
7950, 5
7650, 4
4248, 4
4650, 3
5373, 4
7275, 5
7050, 5
5475, 5
6675, 6
8100, 7
4050, 4
3825, 4
6900, 6
5025, 5
6675, 6
4950, 4
5475, 5
7050, 5
5625, 4
6375, 5
4200, 3
5400, 4
6375, 5
7500, 5
5925, 5
5175, 4
5625, 4
5175, 4
5925, 5
6600, 5
3750, 3
4950, 4
8550, 4
4275, 4
5850, 4
6150, 5
7950, 5
6975, 4
7425, 4
4500, 4
8199, 6
5925, 5
10875, 5
7899, 5
7050, 5
8175, 5
8325, 4
3774, 4
4674, 4
8400, 5
6750, 4
6300, 4
6774, 5
3750, 3
7650, 4
5550, 3
7650, 4
7275, 5
4899, 4
7875, 4
5799, 4
6750, 4
7425, 4
8400, 5
6774, 5
8400, 5
6075, 4
6075, 4
4500, 4
5124, 4
7500, 5
3750, 3
6075, 4
7725, 5
6750, 4
5400, 4
6075, 4
5898, 5
3048, 3
8475, 6
5448, 5
5400, 4
6123, 5
5373, 4
8625, 5
6273, 4
7950, 5
7275, 5
7275, 5
7725, 5
7350, 6
6825, 5
6150, 5
5700, 5
6825, 5
6600, 5
5850, 4
8175, 5
3774, 4
8775, 4
5199, 5
4500, 4
7449, 5
6600, 5
5424, 5
6300, 4
6825, 5
7950, 5
3802, 5
7200, 4
4425, 3
6150, 5
5373, 4
6798, 5
4473, 4
5925, 5
3123, 4
5898, 5
9600, 6
5025, 5
8400, 5
4698, 4
6798, 5
7650, 4
5475, 5
5152, 5
5175, 4
6075, 4
5625, 4
7425, 4
6075, 4
6075, 4
9525, 5
6975, 4
4725, 4
6300, 4
10125, 4
5598, 4
5148, 4
3506, 4
5373, 4
8400, 5
6750, 4
7050, 5
9525, 5
3283, 4
7050, 5
15825, 5
8625, 5
6600, 5
9300, 5
4950, 4
6150, 5
7275, 5
7200, 4
6975, 4
6075, 4
5625, 4
6975, 4
5448, 5
6750, 4
4650, 3
5898, 5
5100, 3
9573, 6
3975, 3
6825, 5
6150, 5
5475, 5
6750, 4
9000, 4
4500, 4
6375, 5
5175, 4
5850, 4
6150, 5
5850, 4
6975, 4
7500, 5
5898, 5
7473, 5
4248, 4
7725, 5
4773, 5
5823, 4
4927, 5
4725, 4
4899, 4
7050, 5
5850, 4
7950, 5
5850, 4
3549, 4
7425, 4
8400, 5
6600, 5
8298, 4
5598, 4
4875, 3
6525, 4
5673, 5
6075, 4
3962, 5
5400, 4
5598, 4
3737, 5
6825, 5
4950, 4
4950, 4
7050, 5
8850, 5
7500, 5
6774, 5
5625, 4
5874, 5
5400, 4
4650, 3
6975, 4
5373, 4
4998, 5
4725, 4
10425, 5
6300, 4
7500, 5
4950, 4
5223, 5
5598, 4
6600, 5
7050, 5
8400, 5
4252, 5
6525, 4
7773, 6
6075, 4
8850, 5
6375, 5
7050, 5
6324, 5
6150, 5
5925, 5
5175, 4
7500, 5
6075, 4
5353, 5
7374, 4
6750, 4
7208, 5
4757, 5
4733, 5
5199, 4
4082, 5
7658, 5
5207, 5
5625, 4
5175, 4
6758, 5
5100, 3
3024, 3
6525, 4
6525, 4
6975, 4
7200, 4
7875, 4
6750, 4
4950, 4
6300, 4
3255, 4
5850, 4
6249, 4
7224, 5
7650, 4
6249, 4
9150, 6
5175, 4
7500, 5
7650, 4
8625, 5
10200, 5
7275, 5
3296, 4
6750, 4
6300, 4
7500, 5
2935, 4
9525, 5
3111, 4
4903, 5
6134, 6
3478, 4
6075, 4
6300, 4
6324, 5
9525, 5
6474, 4
5424, 5
5925, 5
3699, 3
7050, 5
5210, 5
5175, 4
7824, 4
5850, 4
5850, 4
7275, 5
7500, 5
5400, 4
5400, 4
8850, 5
6075, 4
8850, 5
